#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed
NR3458--MA0769.1.Tcf7	chr15	79729194	79729205	+	0.000	0.000	Merged-chr15-79729133-34
NR1257--MA0523.1.TCF7L2	chr10	98745529	98745542	-	0.000	0.000	Merged-chr10-98745748-77
NR3906--MA0769.1.Tcf7	chr16	95770572	95770583	+	0.000	0.000	Merged-chr16-95770718-9
NR1655--MA1421.1.TCF7L1	chr11	90257287	90257298	-	0.000	0.000	Merged-chr11-90257307-51
NR9267--MA0523.1.TCF7L2	chr9	96696536	96696549	-	0.000	0.000	Merged-chr9-96696442-50
NR1693--MA1421.1.TCF7L1	chr11	111792114	111792125	-	0.000	0.000	Merged-chr11-111792002-31
NR2852--MA0769.1.Tcf7	chr14	48226347	48226358	-	0.000	0.000	Merged-chr14-48226336-60
NR2325--MA1421.1.TCF7L1	chr13	52144340	52144351	-	0.000	0.000	Merged-chr13-52144310-15
NR7726--MA0523.1.TCF7L2	chr6	67105659	67105672	+	0.000	0.000	Merged-chr6-67105676-29
NR4244--MA0769.1.Tcf7	chr18	10154685	10154696	+	0.000	0.000	Merged-chr18-10154788-16
NR5428--MA0769.1.Tcf7	chr2	158723968	158723979	-	0.000	0.000	Merged-chr2-158724013-3
NR1680--MA1421.1.TCF7L1	chr11	100824191	100824202	-	0.000	0.000	Merged-chr11-100824336-61
NR6379--MA1421.1.TCF7L1	chr4	15929269	15929280	+	0.000	0.000	Merged-chr4-15929333-33
NR8520--MA0523.1.TCF7L2	chr7	117559194	117559207	-	0.000	0.000	Merged-chr7-117559166-31
NR6092--MA0523.1.TCF7L2	chr3	131190857	131190870	-	0.000	0.000	Merged-chr3-131190965-19
NR304--MA1421.1.TCF7L1	chr1	87378240	87378251	-	0.000	0.000	Merged-chr1-87378193-21
NR3060--MA0523.1.TCF7L2	chr14	103017269	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR1203--MA0769.1.Tcf7	chr10	89766144	89766155	-	0.000	0.000	Merged-chr10-89765992-47
NR629--MA0769.1.Tcf7	chr1	165063212	165063223	+	0.000	0.000	Merged-chr1-165063084-17
NR1682--MA0769.1.Tcf7	chr11	100824191	100824202	-	0.000	0.000	Merged-chr11-100824336-61
NR2660--MA0769.1.Tcf7	chr13	119472028	119472039	-	0.000	0.000	Merged-chr13-119472102-16
NR7523--MA0769.1.Tcf7	chr6	13650756	13650767	+	0.000	0.000	Merged-chr6-13650892-33
NR3275--MA0523.1.TCF7L2	chr15	35465167	35465180	-	0.000	0.000	Merged-chr15-35465086-12
NR7388--MA1421.1.TCF7L1	chr5	118678779	118678790	-	0.000	0.000	Merged-chr5-118678760-15
NR232--MA0523.1.TCF7L2	chr1	69331723	69331736	+	0.000	0.000	Merged-chr1-69331775-34
NR2674--MA0523.1.TCF7L2	chr14	7832268	7832281	-	0.000	0.000	Merged-chr14-7832137-26
NR213--MA0769.1.Tcf7	chr1	66552833	66552844	-	0.000	0.000	Merged-chr1-66552771-47
NR3728--MA0769.1.Tcf7	chr16	48745642	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR3513--MA0769.1.Tcf7	chr15	95826626	95826637	+	0.000	0.000	Merged-chr15-95826706-34
NR7337--MA1421.1.TCF7L1	chr5	100929944	100929955	-	0.000	0.000	Merged-chr5-100929891-31
NR110--MA0769.1.Tcf7	chr1	34831577	34831588	+	0.000	0.000	Merged-chr1-34831505-37
NR5451--MA1421.1.TCF7L1	chr2	164534498	164534509	-	0.000	0.000	Merged-chr2-164534526-17
NR7543--MA1421.1.TCF7L1	chr6	22412083	22412094	-	0.000	0.000	Merged-chr6-22412021-48
NR437--MA0769.1.Tcf7	chr1	127348987	127348998	-	0.000	0.000	Merged-chr1-127349004-28
NR1238--MA1421.1.TCF7L1	chr10	95942225	95942236	+	0.000	0.000	Merged-chr10-95942106-29
NR279--MA0523.1.TCF7L2	chr1	82443948	82443961	+	0.000	0.000	Merged-chr1-82443829-28
NR5392--MA0523.1.TCF7L2	chr2	150578759	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR8769--MA0523.1.TCF7L2	chr8	57828446	57828459	+	0.000	0.000	Merged-chr8-57828491-18
NR3764--MA0769.1.Tcf7	chr16	57319958	57319969	+	0.000	0.000	Merged-chr16-57319907-20
NR1141--MA0769.1.Tcf7	chr10	75417807	75417818	+	0.000	0.000	Merged-chr10-75417748-37
NR1553--MA0523.1.TCF7L2	chr11	46399251	46399264	+	0.000	0.000	Merged-chr11-46399258-50
NR1225--MA1421.1.TCF7L1	chr10	93205414	93205425	-	0.000	0.000	Merged-chr10-93205618-20
NR3727--MA0523.1.TCF7L2	chr16	48745640	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR9502--MA0769.1.Tcf7	chrX	153375286	153375297	-	0.000	0.000	Merged-chrX-153375365-26
NR1431--MA1421.1.TCF7L1	chr11	3345068	3345079	-	0.000	0.000	Merged-chr11-3345059-26
NR4740--MA0523.1.TCF7L2	chr2	6622361	6622374	-	0.000	0.000	Merged-chr2-6622331-33
