#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TH1_Associated--ATAC_peaks.bed all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed
Merged-chr6-88518766-67	chr6	88518477	88519078	+	0.000	0.000	Merged-chr6-88518766-67
Merged-chr7-139213268-54	chr7	139213054	139213476	+	0.000	0.000	Merged-chr7-139213268-54
Merged-chr3-137912599-6	chr3	137912471	137912724	+	0.000	0.000	Merged-chr3-137912599-6
Merged-chr14-20775848-16	chr14	20775590	20776035	+	0.000	0.000	Merged-chr14-20775848-16
Merged-chr13-23526612-2	chr13	23526485	23526742	+	0.000	0.000	Merged-chr13-23526612-2
Merged-chr9-41130680-18	chr9	41130454	41130850	+	0.000	0.000	Merged-chr9-41130680-18
Merged-chr5-32089637-4	chr5	32089495	32089789	+	0.000	0.000	Merged-chr5-32089637-4
Merged-chr19-55261616-5	chr19	55261480	55261739	+	0.000	0.000	Merged-chr19-55261616-5
Merged-chr11-11774439-6	chr11	11774193	11774727	+	0.000	0.000	Merged-chr11-11774439-6
Merged-chr2-101473037-52	chr2	101472708	101473500	+	0.000	0.000	Merged-chr2-101473037-52
Merged-chr10-118442657-4	chr10	118442512	118442805	+	0.000	0.000	Merged-chr10-118442657-4
Merged-chr14-67933517-151	chr14	67933056	67934128	+	0.000	0.000	Merged-chr14-67933517-151
Merged-chr2-79276460-24	chr2	79276154	79276730	+	0.000	0.000	Merged-chr2-79276460-24
Merged-chr12-91774838-26	chr12	91774523	91775091	+	0.000	0.000	Merged-chr12-91774838-26
Merged-chr1-166360361-34	chr1	166360133	166360566	+	0.000	0.000	Merged-chr1-166360361-34
Merged-chr4-117202479-67	chr4	117202284	117202697	+	0.000	0.000	Merged-chr4-117202479-67
Merged-chr11-82235744-34	chr11	82235514	82235973	+	0.000	0.000	Merged-chr11-82235744-34
Merged-chr16-75903251-33	chr16	75902941	75903483	+	0.000	0.000	Merged-chr16-75903251-33
Merged-chr11-87519443-2	chr11	87519333	87519556	+	0.000	0.000	Merged-chr11-87519443-2
Merged-chr8-115445363-15	chr8	115445192	115445512	+	0.000	0.000	Merged-chr8-115445363-15
Merged-chr11-99012536-12	chr11	99012382	99012756	+	0.000	0.000	Merged-chr11-99012536-12
Merged-chr5-74261391-1	chr5	74261293	74261491	+	0.000	0.000	Merged-chr5-74261391-1
Merged-chr11-53768829-11	chr11	53768677	53768990	+	0.000	0.000	Merged-chr11-53768829-11
Merged-chr17-48647315-60	chr17	48646804	48647815	+	0.000	0.000	Merged-chr17-48647315-60
Merged-chr3-30876888-40	chr3	30876345	30877697	+	0.000	0.000	Merged-chr3-30876888-40
Merged-chr18-3507740-84	chr18	3507473	3508029	+	0.000	0.000	Merged-chr18-3507740-84
Merged-chr10-69321352-47	chr10	69320939	69321628	+	0.000	0.000	Merged-chr10-69321352-47
Merged-chr1-193272785-4	chr1	193272561	193273019	+	0.000	0.000	Merged-chr1-193272785-4
Merged-chr19-56547872-1	chr19	56547774	56547972	+	0.000	0.000	Merged-chr19-56547872-1
Merged-chr16-95770718-9	chr16	95770552	95770884	+	0.000	0.000	Merged-chr16-95770718-9
Merged-chr3-67463507-135	chr3	67462837	67464120	+	0.000	0.000	Merged-chr3-67463507-135
Merged-chr8-72749613-1	chr8	72749515	72749713	+	0.000	0.000	Merged-chr8-72749613-1
Merged-chr5-85768889-1	chr5	85768791	85768989	+	0.000	0.000	Merged-chr5-85768889-1
Merged-chr16-8674308-21	chr16	8674139	8674519	+	0.000	0.000	Merged-chr16-8674308-21
Merged-chr15-31166017-1	chr15	31165919	31166117	+	0.000	0.000	Merged-chr15-31166017-1
Merged-chr2-131190584-2	chr2	131190486	131190684	+	0.000	0.000	Merged-chr2-131190584-2
Merged-chr10-99107143-4	chr10	99106935	99107283	+	0.000	0.000	Merged-chr10-99107143-4
Merged-chr17-35050359-6	chr17	35050200	35050603	+	0.000	0.000	Merged-chr17-35050359-6
Merged-chr2-9677324-22	chr2	9677112	9677547	+	0.000	0.000	Merged-chr2-9677324-22
Merged-chr1-97578670-1	chr1	97578572	97578770	+	0.000	0.000	Merged-chr1-97578670-1
Merged-chr15-51991500-126	chr15	51991090	51992060	+	0.000	0.000	Merged-chr15-51991500-126
Merged-chr3-100998344-3	chr3	100998187	100998527	+	0.000	0.000	Merged-chr3-100998344-3
Merged-chr3-98336057-28	chr3	98335876	98336297	+	0.000	0.000	Merged-chr3-98336057-28
Merged-chr19-56507590-28	chr19	56507393	56507845	+	0.000	0.000	Merged-chr19-56507590-28
Merged-chr9-37552057-6	chr9	37551842	37552239	+	0.000	0.000	Merged-chr9-37552057-6
Merged-chr17-87044604-24	chr17	87044380	87044866	+	0.000	0.000	Merged-chr17-87044604-24
Merged-chr5-150233240-55	chr5	150233038	150233623	+	0.000	0.000	Merged-chr5-150233240-55
Merged-chr16-95798581-80	chr16	95798094	95799014	+	0.000	0.000	Merged-chr16-95798581-80
Merged-chr1-138963604-135	chr1	138963399	138963859	+	0.000	0.000	Merged-chr1-138963604-135
Merged-chr11-11812237-17	chr11	11812065	11812381	+	0.000	0.000	Merged-chr11-11812237-17
Merged-chr1-71102907-125	chr1	71102423	71103170	+	0.000	0.000	Merged-chr1-71102907-125
Merged-chr7-75789865-6	chr7	75789731	75790021	+	0.000	0.000	Merged-chr7-75789865-6
Merged-chr3-59059388-26	chr3	59059165	59059648	+	0.000	0.000	Merged-chr3-59059388-26
Merged-chr1-176939939-16	chr1	176939760	176940119	+	0.000	0.000	Merged-chr1-176939939-16
Merged-chr13-101732964-5	chr13	101732821	101733098	+	0.000	0.000	Merged-chr13-101732964-5
Merged-chr9-75576014-1	chr9	75575916	75576114	+	0.000	0.000	Merged-chr9-75576014-1
Merged-chr2-164045321-8	chr2	164045168	164045502	+	0.000	0.000	Merged-chr2-164045321-8
Merged-chr5-144190229-35	chr5	144189786	144190457	+	0.000	0.000	Merged-chr5-144190229-35
Merged-chr6-82702849-35	chr6	82702684	82703077	+	0.000	0.000	Merged-chr6-82702849-35
Merged-chr11-76821628-1	chr11	76821530	76821728	+	0.000	0.000	Merged-chr11-76821628-1
Merged-chr1-144406748-33	chr1	144406538	144407073	+	0.000	0.000	Merged-chr1-144406748-33
Merged-chr9-120084612-20	chr9	120084370	120084807	+	0.000	0.000	Merged-chr9-120084612-20
Merged-chr2-11651673-28	chr2	11651411	11651872	+	0.000	0.000	Merged-chr2-11651673-28
Merged-chr16-95712235-1	chr16	95712137	95712335	+	0.000	0.000	Merged-chr16-95712235-1
Merged-chr2-125735684-57	chr2	125735371	125736055	+	0.000	0.000	Merged-chr2-125735684-57
Merged-chr2-115591383-1	chr2	115591285	115591483	+	0.000	0.000	Merged-chr2-115591383-1
Merged-chr5-115049482-2	chr5	115049374	115049592	+	0.000	0.000	Merged-chr5-115049482-2
Merged-chr16-78532286-51	chr16	78532049	78532502	+	0.000	0.000	Merged-chr16-78532286-51
Merged-chr2-13560596-20	chr2	13560285	13560752	+	0.000	0.000	Merged-chr2-13560596-20
Merged-chr15-66780009-1	chr15	66779911	66780109	+	0.000	0.000	Merged-chr15-66780009-1
Merged-chr19-18618665-1	chr19	18618567	18618765	+	0.000	0.000	Merged-chr19-18618665-1
Merged-chr18-89193831-8	chr18	89193710	89193948	+	0.000	0.000	Merged-chr18-89193831-8
Merged-chr16-49857646-1	chr16	49857548	49857746	+	0.000	0.000	Merged-chr16-49857646-1
Merged-chr17-10270848-2	chr17	10270746	10270952	+	0.000	0.000	Merged-chr17-10270848-2
Merged-chr14-46760637-59	chr14	46760355	46760948	+	0.000	0.000	Merged-chr14-46760637-59
Merged-chr7-66181272-9	chr7	66181141	66181429	+	0.000	0.000	Merged-chr7-66181272-9
Merged-chr5-77095134-79	chr5	77094817	77095591	+	0.000	0.000	Merged-chr5-77095134-79
Merged-chr10-89463405-2	chr10	89463294	89463518	+	0.000	0.000	Merged-chr10-89463405-2
Merged-chr11-78021749-1	chr11	78021651	78021849	+	0.000	0.000	Merged-chr11-78021749-1
Merged-chr3-84686985-16	chr3	84686752	84687209	+	0.000	0.000	Merged-chr3-84686985-16
Merged-chr17-44614219-8	chr17	44613934	44614494	+	0.000	0.000	Merged-chr17-44614219-8
Merged-chr19-12575825-3	chr19	12575628	12575998	+	0.000	0.000	Merged-chr19-12575825-3
Merged-chr11-110483366-35	chr11	110483080	110483662	+	0.000	0.000	Merged-chr11-110483366-35
Merged-chr10-120978282-10	chr10	120978135	120978468	+	0.000	0.000	Merged-chr10-120978282-10
Merged-chr18-56718184-1	chr18	56718086	56718284	+	0.000	0.000	Merged-chr18-56718184-1
Merged-chr8-53607328-44	chr8	53607089	53607627	+	0.000	0.000	Merged-chr8-53607328-44
Merged-chr2-154807951-18	chr2	154807675	154808165	+	0.000	0.000	Merged-chr2-154807951-18
Merged-chr3-158076834-27	chr3	158076581	158077084	+	0.000	0.000	Merged-chr3-158076834-27
Merged-chr17-86536077-41	chr17	86535861	86536327	+	0.000	0.000	Merged-chr17-86536077-41
Merged-chr9-41114492-13	chr9	41114319	41114641	+	0.000	0.000	Merged-chr9-41114492-13
Merged-chr1-152767988-1	chr1	152767890	152768088	+	0.000	0.000	Merged-chr1-152767988-1
Merged-chr7-30607986-27	chr7	30607791	30608170	+	0.000	0.000	Merged-chr7-30607986-27
Merged-chr17-79965028-43	chr17	79964834	79965426	+	0.000	0.000	Merged-chr17-79965028-43
Merged-chr1-161779312-20	chr1	161779066	161779635	+	0.000	0.000	Merged-chr1-161779312-20
Merged-chr16-34700432-30	chr16	34700199	34700671	+	0.000	0.000	Merged-chr16-34700432-30
Merged-chr18-75419579-57	chr18	75419321	75419891	+	0.000	0.000	Merged-chr18-75419579-57
Merged-chr14-7791631-72	chr14	7791337	7791940	+	0.000	0.000	Merged-chr14-7791631-72
Merged-chr14-20794001-82	chr14	20793730	20794312	+	0.000	0.000	Merged-chr14-20794001-82
Merged-chr13-119690439-73	chr13	119690190	119690699	+	0.000	0.000	Merged-chr13-119690439-73
Merged-chr8-124291459-24	chr8	124291131	124291761	+	0.000	0.000	Merged-chr8-124291459-24
Merged-chr2-157203644-2	chr2	157203544	157203747	+	0.000	0.000	Merged-chr2-157203644-2
Merged-chr9-106368321-126	chr9	106367569	106369276	+	0.000	0.000	Merged-chr9-106368321-126
Merged-chr2-79138133-24	chr2	79137927	79138351	+	0.000	0.000	Merged-chr2-79138133-24
Merged-chr6-7845748-4	chr6	7845610	7845899	+	0.000	0.000	Merged-chr6-7845748-4
Merged-chr10-69658223-1	chr10	69658125	69658323	+	0.000	0.000	Merged-chr10-69658223-1
Merged-chr8-125067487-108	chr8	125067268	125067827	+	0.000	0.000	Merged-chr8-125067487-108
Merged-chr3-146158588-31	chr3	146158192	146159142	+	0.000	0.000	Merged-chr3-146158588-31
Merged-chr8-115117681-6	chr8	115117438	115117856	+	0.000	0.000	Merged-chr8-115117681-6
Merged-chr1-54896938-66	chr1	54896497	54897693	+	0.000	0.000	Merged-chr1-54896938-66
Merged-chr13-32864701-28	chr13	32864556	32864952	+	0.000	0.000	Merged-chr13-32864701-28
Merged-chr10-94333972-2	chr10	94333843	94334104	+	0.000	0.000	Merged-chr10-94333972-2
Merged-chr2-69415236-25	chr2	69414921	69415468	+	0.000	0.000	Merged-chr2-69415236-25
Merged-chr9-35016972-25	chr9	35016773	35017180	+	0.000	0.000	Merged-chr9-35016972-25
Merged-chr1-135730462-2	chr1	135730352	135730574	+	0.000	0.000	Merged-chr1-135730462-2
Merged-chr2-91256774-50	chr2	91256338	91257227	+	0.000	0.000	Merged-chr2-91256774-50
Merged-chr15-96827730-24	chr15	96827494	96828013	+	0.000	0.000	Merged-chr15-96827730-24
Merged-chr14-64667995-2	chr14	64667893	64668100	+	0.000	0.000	Merged-chr14-64667995-2
Merged-chr4-155892884-1	chr4	155892786	155892984	+	0.000	0.000	Merged-chr4-155892884-1
Merged-chr10-8531787-37	chr10	8531522	8532049	+	0.000	0.000	Merged-chr10-8531787-37
Merged-chr1-153332165-2	chr1	153332067	153332266	+	0.000	0.000	Merged-chr1-153332165-2
Merged-chr13-115109340-1	chr13	115109242	115109440	+	0.000	0.000	Merged-chr13-115109340-1
Merged-chr2-38510276-11	chr2	38509968	38510470	+	0.000	0.000	Merged-chr2-38510276-11
Merged-chrX-71556239-93	chrX	71555739	71556493	+	0.000	0.000	Merged-chrX-71556239-93
Merged-chr14-61438685-2	chr14	61438546	61438827	+	0.000	0.000	Merged-chr14-61438685-2
Merged-chrX-50930584-22	chrX	50930420	50930766	+	0.000	0.000	Merged-chrX-50930584-22
Merged-chr18-65382785-3	chr18	65382626	65382963	+	0.000	0.000	Merged-chr18-65382785-3
Merged-chr6-97216171-6	chr6	97215978	97216312	+	0.000	0.000	Merged-chr6-97216171-6
Merged-chr16-11909160-64	chr16	11908945	11909404	+	0.000	0.000	Merged-chr16-11909160-64
Merged-chr7-88258644-1	chr7	88258546	88258744	+	0.000	0.000	Merged-chr7-88258644-1
Merged-chr8-53640480-1	chr8	53640382	53640580	+	0.000	0.000	Merged-chr8-53640480-1
Merged-chr8-116928093-15	chr8	116927929	116928260	+	0.000	0.000	Merged-chr8-116928093-15
Merged-chr5-115845068-57	chr5	115844802	115845486	+	0.000	0.000	Merged-chr5-115845068-57
Merged-chrX-71556831-6	chrX	71556583	71557000	+	0.000	0.000	Merged-chrX-71556831-6
Merged-chr19-11055893-27	chr19	11055629	11056080	+	0.000	0.000	Merged-chr19-11055893-27
Merged-chr1-33578784-30	chr1	33578493	33579065	+	0.000	0.000	Merged-chr1-33578784-30
Merged-chr12-99392184-7	chr12	99392051	99392308	+	0.000	0.000	Merged-chr12-99392184-7
Merged-chr10-21994609-61	chr10	21994257	21995274	+	0.000	0.000	Merged-chr10-21994609-61
Merged-chr3-101296807-2	chr3	101296709	101296907	+	0.000	0.000	Merged-chr3-101296807-2
Merged-chr1-161674719-1	chr1	161674621	161674819	+	0.000	0.000	Merged-chr1-161674719-1
Merged-chr3-144028249-1	chr3	144028151	144028349	+	0.000	0.000	Merged-chr3-144028249-1
Merged-chr11-116624122-60	chr11	116623741	116624474	+	0.000	0.000	Merged-chr11-116624122-60
Merged-chr1-169519600-1	chr1	169519502	169519700	+	0.000	0.000	Merged-chr1-169519600-1
Merged-chr7-135966046-1	chr7	135965948	135966146	+	0.000	0.000	Merged-chr7-135966046-1
Merged-chr5-100498698-59	chr5	100498541	100499009	+	0.000	0.000	Merged-chr5-100498698-59
Merged-chr14-70549442-27	chr14	70549237	70549646	+	0.000	0.000	Merged-chr14-70549442-27
Merged-chr2-30985659-1	chr2	30985561	30985759	+	0.000	0.000	Merged-chr2-30985659-1
Merged-chr13-5913367-24	chr13	5913003	5913578	+	0.000	0.000	Merged-chr13-5913367-24
Merged-chr13-64152248-20	chr13	64151955	64152528	+	0.000	0.000	Merged-chr13-64152248-20
Merged-chr13-95742219-17	chr13	95741997	95742661	+	0.000	0.000	Merged-chr13-95742219-17
Merged-chr17-25240085-65	chr17	25239689	25240365	+	0.000	0.000	Merged-chr17-25240085-65
Merged-chr7-80445697-13	chr7	80445370	80445962	+	0.000	0.000	Merged-chr7-80445697-13
Merged-chr2-127832028-64	chr2	127831822	127832396	+	0.000	0.000	Merged-chr2-127832028-64
Merged-chr18-70570683-1	chr18	70570585	70570783	+	0.000	0.000	Merged-chr18-70570683-1
Merged-chr17-73710320-32	chr17	73709983	73710611	+	0.000	0.000	Merged-chr17-73710320-32
Merged-chr2-45108808-22	chr2	45108591	45109203	+	0.000	0.000	Merged-chr2-45108808-22
Merged-chr6-8736179-83	chr6	8735595	8736702	+	0.000	0.000	Merged-chr6-8736179-83
Merged-chr1-88708373-21	chr1	88708168	88708512	+	0.000	0.000	Merged-chr1-88708373-21
Merged-chr13-115088169-1	chr13	115088071	115088269	+	0.000	0.000	Merged-chr13-115088169-1
Merged-chr2-65199920-22	chr2	65199674	65200152	+	0.000	0.000	Merged-chr2-65199920-22
Merged-chr6-99666119-139	chr6	99665635	99666549	+	0.000	0.000	Merged-chr6-99666119-139
Merged-chr6-30052177-1	chr6	30052079	30052277	+	0.000	0.000	Merged-chr6-30052177-1
Merged-chr14-73146853-3	chr14	73146717	73146972	+	0.000	0.000	Merged-chr14-73146853-3
Merged-chr2-69414797-1	chr2	69414699	69414897	+	0.000	0.000	Merged-chr2-69414797-1
Merged-chr9-21168542-62	chr9	21167998	21169120	+	0.000	0.000	Merged-chr9-21168542-62
Merged-chr1-144256856-41	chr1	144256581	144257145	+	0.000	0.000	Merged-chr1-144256856-41
Merged-chr2-143915450-87	chr2	143915174	143915700	+	0.000	0.000	Merged-chr2-143915450-87
Merged-chr11-101199720-6	chr11	101199540	101199897	+	0.000	0.000	Merged-chr11-101199720-6
Merged-chr11-102467251-44	chr11	102467051	102467489	+	0.000	0.000	Merged-chr11-102467251-44
Merged-chr6-35177687-66	chr6	35177445	35177872	+	0.000	0.000	Merged-chr6-35177687-66
Merged-chr15-34507485-11	chr15	34507308	34507702	+	0.000	0.000	Merged-chr15-34507485-11
Merged-chr8-72757495-2	chr8	72757390	72757603	+	0.000	0.000	Merged-chr8-72757495-2
Merged-chr15-55097336-26	chr15	55097093	55097594	+	0.000	0.000	Merged-chr15-55097336-26
Merged-chr17-36001765-70	chr17	36001232	36002223	+	0.000	0.000	Merged-chr17-36001765-70
Merged-chr2-3659686-16	chr2	3659445	3659954	+	0.000	0.000	Merged-chr2-3659686-16
Merged-chr16-13819185-114	chr16	13818934	13819634	+	0.000	0.000	Merged-chr16-13819185-114
Merged-chr2-9748530-32	chr2	9748340	9748783	+	0.000	0.000	Merged-chr2-9748530-32
Merged-chr14-122981392-1	chr14	122981294	122981492	+	0.000	0.000	Merged-chr14-122981392-1
Merged-chr18-12947466-4	chr18	12947299	12947616	+	0.000	0.000	Merged-chr18-12947466-4
Merged-chr14-61601511-3	chr14	61601406	61601626	+	0.000	0.000	Merged-chr14-61601511-3
Merged-chr17-50190024-113	chr17	50189398	50190798	+	0.000	0.000	Merged-chr17-50190024-113
Merged-chr18-89272605-14	chr18	89272403	89272838	+	0.000	0.000	Merged-chr18-89272605-14
Merged-chr16-95728966-56	chr16	95728779	95729195	+	0.000	0.000	Merged-chr16-95728966-56
Merged-chr13-98684546-11	chr13	98684324	98684719	+	0.000	0.000	Merged-chr13-98684546-11
Merged-chr19-5945219-1	chr19	5945121	5945319	+	0.000	0.000	Merged-chr19-5945219-1
Merged-chr2-153741558-100	chr2	153741060	153742071	+	0.000	0.000	Merged-chr2-153741558-100
Merged-chr17-12810584-23	chr17	12810376	12810937	+	0.000	0.000	Merged-chr17-12810584-23
Merged-chr3-146146885-2	chr3	146146689	146147084	+	0.000	0.000	Merged-chr3-146146885-2
Merged-chr9-44482815-42	chr9	44482531	44483060	+	0.000	0.000	Merged-chr9-44482815-42
Merged-chr6-82774967-4	chr6	82774835	82775171	+	0.000	0.000	Merged-chr6-82774967-4
Merged-chr6-17060384-13	chr6	17060246	17060540	+	0.000	0.000	Merged-chr6-17060384-13
Merged-chr2-4864669-14	chr2	4864417	4864890	+	0.000	0.000	Merged-chr2-4864669-14
Merged-chr13-100782692-1	chr13	100782594	100782792	+	0.000	0.000	Merged-chr13-100782692-1
Merged-chr17-31790802-9	chr17	31790607	31790979	+	0.000	0.000	Merged-chr17-31790802-9
Merged-chr12-100907749-1	chr12	100907651	100907849	+	0.000	0.000	Merged-chr12-100907749-1
Merged-chr1-152768986-2	chr1	152768882	152769093	+	0.000	0.000	Merged-chr1-152768986-2
Merged-chr14-56284057-2	chr14	56283955	56284161	+	0.000	0.000	Merged-chr14-56284057-2
Merged-chr1-74506129-86	chr1	74505804	74506405	+	0.000	0.000	Merged-chr1-74506129-86
Merged-chr1-131138483-90	chr1	131138213	131138913	+	0.000	0.000	Merged-chr1-131138483-90
Merged-chr2-150915256-26	chr2	150914979	150915567	+	0.000	0.000	Merged-chr2-150915256-26
Merged-chr2-163698262-32	chr2	163697993	163698584	+	0.000	0.000	Merged-chr2-163698262-32
Merged-chr18-70576272-1	chr18	70576174	70576372	+	0.000	0.000	Merged-chr18-70576272-1
Merged-chr14-77874770-63	chr14	77874595	77874951	+	0.000	0.000	Merged-chr14-77874770-63
Merged-chr3-143977087-2	chr3	143976987	143977189	+	0.000	0.000	Merged-chr3-143977087-2
Merged-chr2-101209230-18	chr2	101208987	101209521	+	0.000	0.000	Merged-chr2-101209230-18
Merged-chr1-134106892-31	chr1	134106677	134107108	+	0.000	0.000	Merged-chr1-134106892-31
Merged-chr6-67318064-30	chr6	67317673	67318379	+	0.000	0.000	Merged-chr6-67318064-30
Merged-chr3-38568703-18	chr3	38568492	38568951	+	0.000	0.000	Merged-chr3-38568703-18
Merged-chr4-8775093-51	chr4	8774903	8775296	+	0.000	0.000	Merged-chr4-8775093-51
Merged-chr2-105399263-98	chr2	105398994	105399657	+	0.000	0.000	Merged-chr2-105399263-98
Merged-chr4-133843326-54	chr4	133843054	133843609	+	0.000	0.000	Merged-chr4-133843326-54
Merged-chr7-110254224-22	chr7	110253939	110254579	+	0.000	0.000	Merged-chr7-110254224-22
Merged-chr5-100501456-4	chr5	100501343	100501592	+	0.000	0.000	Merged-chr5-100501456-4
Merged-chr6-135433920-18	chr6	135433711	135434082	+	0.000	0.000	Merged-chr6-135433920-18
Merged-chr1-128080659-1	chr1	128080561	128080759	+	0.000	0.000	Merged-chr1-128080659-1
Merged-chr5-8397712-7	chr5	8397580	8397851	+	0.000	0.000	Merged-chr5-8397712-7
Merged-chr11-119023765-1	chr11	119023667	119023865	+	0.000	0.000	Merged-chr11-119023765-1
Merged-chr6-135065649-63	chr6	135065366	135065890	+	0.000	0.000	Merged-chr6-135065649-63
Merged-chr13-114076115-29	chr13	114075887	114076367	+	0.000	0.000	Merged-chr13-114076115-29
Merged-chr18-14685216-10	chr18	14685047	14685383	+	0.000	0.000	Merged-chr18-14685216-10
Merged-chr11-110537806-33	chr11	110537516	110538107	+	0.000	0.000	Merged-chr11-110537806-33
Merged-chr12-16258722-16	chr12	16258325	16258950	+	0.000	0.000	Merged-chr12-16258722-16
Merged-chr18-14511380-60	chr18	14510861	14511747	+	0.000	0.000	Merged-chr18-14511380-60
Merged-chr19-5731735-17	chr19	5731411	5731993	+	0.000	0.000	Merged-chr19-5731735-17
Merged-chr3-59262212-10	chr3	59262013	59262387	+	0.000	0.000	Merged-chr3-59262212-10
Merged-chr10-118370616-31	chr10	118370412	118370884	+	0.000	0.000	Merged-chr10-118370616-31
Merged-chr9-32495799-63	chr9	32495297	32496106	+	0.000	0.000	Merged-chr9-32495799-63
Merged-chr18-83804627-3	chr18	83804515	83804736	+	0.000	0.000	Merged-chr18-83804627-3
Merged-chr6-48818082-13	chr6	48817945	48818226	+	0.000	0.000	Merged-chr6-48818082-13
Merged-chr3-9863686-1	chr3	9863588	9863786	+	0.000	0.000	Merged-chr3-9863686-1
Merged-chr7-25179611-70	chr7	25179193	25180001	+	0.000	0.000	Merged-chr7-25179611-70
Merged-chr2-11705770-67	chr2	11705483	11706038	+	0.000	0.000	Merged-chr2-11705770-67
Merged-chr9-69288990-1	chr9	69288892	69289090	+	0.000	0.000	Merged-chr9-69288990-1
Merged-chr6-42380729-15	chr6	42380486	42380953	+	0.000	0.000	Merged-chr6-42380729-15
Merged-chr7-119895842-81	chr7	119895590	119896141	+	0.000	0.000	Merged-chr7-119895842-81
Merged-chr14-7819575-11	chr14	7819379	7819765	+	0.000	0.000	Merged-chr14-7819575-11
Merged-chr7-132484598-7	chr7	132484438	132484725	+	0.000	0.000	Merged-chr7-132484598-7
Merged-chr5-85772293-39	chr5	85772051	85772611	+	0.000	0.000	Merged-chr5-85772293-39
Merged-chr10-111544120-26	chr10	111543887	111544335	+	0.000	0.000	Merged-chr10-111544120-26
Merged-chr2-181375912-7	chr2	181375777	181376086	+	0.000	0.000	Merged-chr2-181375912-7
Merged-chr3-9911092-20	chr3	9910869	9911300	+	0.000	0.000	Merged-chr3-9911092-20
Merged-chr7-80412408-5	chr7	80412260	80412563	+	0.000	0.000	Merged-chr7-80412408-5
Merged-chr11-104620912-1	chr11	104620814	104621012	+	0.000	0.000	Merged-chr11-104620912-1
Merged-chr10-110931585-1	chr10	110931487	110931685	+	0.000	0.000	Merged-chr10-110931585-1
Merged-chr18-84026622-26	chr18	84026404	84026826	+	0.000	0.000	Merged-chr18-84026622-26
Merged-chr7-128070068-7	chr7	128069861	128070310	+	0.000	0.000	Merged-chr7-128070068-7
Merged-chr7-92252420-1	chr7	92252322	92252520	+	0.000	0.000	Merged-chr7-92252420-1
Merged-chr9-69072353-12	chr9	69072153	69072594	+	0.000	0.000	Merged-chr9-69072353-12
Merged-chr15-66865444-64	chr15	66865160	66865698	+	0.000	0.000	Merged-chr15-66865444-64
Merged-chr18-5162694-100	chr18	5162232	5163716	+	0.000	0.000	Merged-chr18-5162694-100
Merged-chr2-105334573-32	chr2	105334322	105334974	+	0.000	0.000	Merged-chr2-105334573-32
Merged-chr17-50132792-1	chr17	50132694	50132892	+	0.000	0.000	Merged-chr17-50132792-1
Merged-chr9-114811408-9	chr9	114811212	114811571	+	0.000	0.000	Merged-chr9-114811408-9
Merged-chr18-23803965-77	chr18	23803562	23804314	+	0.000	0.000	Merged-chr18-23803965-77
Merged-chr18-73814772-1	chr18	73814674	73814872	+	0.000	0.000	Merged-chr18-73814772-1
Merged-chr3-144207712-15	chr3	144207563	144207912	+	0.000	0.000	Merged-chr3-144207712-15
Merged-chr19-56685748-31	chr19	56685476	56686160	+	0.000	0.000	Merged-chr19-56685748-31
Merged-chr2-70105769-18	chr2	70105574	70105984	+	0.000	0.000	Merged-chr2-70105769-18
Merged-chr9-21181489-1	chr9	21181391	21181589	+	0.000	0.000	Merged-chr9-21181489-1
Merged-chr10-69571391-44	chr10	69570728	69572283	+	0.000	0.000	Merged-chr10-69571391-44
Merged-chr13-23544060-54	chr13	23543861	23544236	+	0.000	0.000	Merged-chr13-23544060-54
Merged-chr4-89487235-21	chr4	89486999	89487428	+	0.000	0.000	Merged-chr4-89487235-21
Merged-chr4-145254618-54	chr4	145254264	145254860	+	0.000	0.000	Merged-chr4-145254618-54
Merged-chr13-114158432-9	chr13	114158212	114158604	+	0.000	0.000	Merged-chr13-114158432-9
Merged-chr8-57511963-83	chr8	57511519	57512463	+	0.000	0.000	Merged-chr8-57511963-83
Merged-chr19-5726011-1	chr19	5725913	5726111	+	0.000	0.000	Merged-chr19-5726011-1
Merged-chr7-127260763-55	chr7	127260470	127260997	+	0.000	0.000	Merged-chr7-127260763-55
Merged-chr2-26753671-30	chr2	26753413	26754006	+	0.000	0.000	Merged-chr2-26753671-30
Merged-chr10-110727955-39	chr10	110727615	110728281	+	0.000	0.000	Merged-chr10-110727955-39
Merged-chr5-106982609-23	chr5	106982386	106982948	+	0.000	0.000	Merged-chr5-106982609-23
Merged-chr1-133073641-31	chr1	133073421	133073865	+	0.000	0.000	Merged-chr1-133073641-31
Merged-chr16-44339420-21	chr16	44339182	44339633	+	0.000	0.000	Merged-chr16-44339420-21
Merged-chr4-20232431-1	chr4	20232333	20232531	+	0.000	0.000	Merged-chr4-20232431-1
Merged-chr10-128524913-11	chr10	128524372	128525189	+	0.000	0.000	Merged-chr10-128524913-11
Merged-chr10-108166824-2	chr10	108166722	108166928	+	0.000	0.000	Merged-chr10-108166824-2
Merged-chr8-115844208-1	chr8	115844110	115844308	+	0.000	0.000	Merged-chr8-115844208-1
Merged-chr10-8529576-1	chr10	8529478	8529676	+	0.000	0.000	Merged-chr10-8529576-1
