#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_II--ATAC_peaks.bed all.df.numx.c5-WT_Th1_vs_Naive.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-WT_Th1_vs_Naive.dn.bed
Merged-chr13-107779728-7	chr13	107779587	107779876	+	0.000	0.000	Merged-chr13-107779728-7
Merged-chr13-62624100-54	chr13	62623917	62624344	+	0.000	0.000	Merged-chr13-62624100-54
Merged-chr10-7470291-37	chr10	7470065	7470458	+	0.000	0.000	Merged-chr10-7470291-37
Merged-chr1-135019182-17	chr1	135018919	135019382	+	0.000	0.000	Merged-chr1-135019182-17
Merged-chr4-11965839-3	chr4	11965714	11965969	+	0.000	0.000	Merged-chr4-11965839-3
Merged-chr11-115477258-1	chr11	115477160	115477358	+	0.000	0.000	Merged-chr11-115477258-1
Merged-chr6-51545421-58	chr6	51544879	51545711	+	0.000	0.000	Merged-chr6-51545421-58
Merged-chr18-70563321-13	chr18	70562895	70563673	+	0.000	0.000	Merged-chr18-70563321-13
Merged-chr7-44745286-34	chr7	44745136	44745438	+	0.000	0.000	Merged-chr7-44745286-34
Merged-chr4-133622529-51	chr4	133622139	133622769	+	0.000	0.000	Merged-chr4-133622529-51
Merged-chr7-67353153-2	chr7	67353052	67353256	+	0.000	0.000	Merged-chr7-67353153-2
Merged-chr3-88457403-6	chr3	88457268	88457567	+	0.000	0.000	Merged-chr3-88457403-6
Merged-chr7-80450087-44	chr7	80449763	80450340	+	0.000	0.000	Merged-chr7-80450087-44
Merged-chr10-118455940-5	chr10	118455790	118456061	+	0.000	0.000	Merged-chr10-118455940-5
Merged-chr9-94289746-1	chr9	94289648	94289846	+	0.000	0.000	Merged-chr9-94289746-1
Merged-chr7-63944147-8	chr7	63944000	63944293	+	0.000	0.000	Merged-chr7-63944147-8
Merged-chr11-98937757-69	chr11	98937361	98938298	+	0.000	0.000	Merged-chr11-98937757-69
Merged-chr10-76513442-30	chr10	76513275	76513598	+	0.000	0.000	Merged-chr10-76513442-30
Merged-chr9-21161494-64	chr9	21161253	21161786	+	0.000	0.000	Merged-chr9-21161494-64
Merged-chr15-103215427-34	chr15	103215211	103215633	+	0.000	0.000	Merged-chr15-103215427-34
Merged-chr5-21055956-115	chr5	21055565	21056436	+	0.000	0.000	Merged-chr5-21055956-115
Merged-chr7-19927215-42	chr7	19927026	19927513	+	0.000	0.000	Merged-chr7-19927215-42
Merged-chr7-89168777-23	chr7	89168446	89168999	+	0.000	0.000	Merged-chr7-89168777-23
Merged-chr17-80224526-64	chr17	80224296	80224830	+	0.000	0.000	Merged-chr17-80224526-64
Merged-chr17-47511428-58	chr17	47511109	47511637	+	0.000	0.000	Merged-chr17-47511428-58
Merged-chr13-62653213-52	chr13	62652974	62653519	+	0.000	0.000	Merged-chr13-62653213-52
Merged-chr10-5805785-87	chr10	5805481	5806050	+	0.000	0.000	Merged-chr10-5805785-87
Merged-chr10-7474458-4	chr10	7474272	7474657	+	0.000	0.000	Merged-chr10-7474458-4
Merged-chr15-36210746-43	chr15	36210524	36210960	+	0.000	0.000	Merged-chr15-36210746-43
Merged-chr7-63999373-46	chr7	63999059	63999767	+	0.000	0.000	Merged-chr7-63999373-46
Merged-chr4-11929622-28	chr4	11929392	11929831	+	0.000	0.000	Merged-chr4-11929622-28
Merged-chr14-78619032-26	chr14	78618865	78619278	+	0.000	0.000	Merged-chr14-78619032-26
Merged-chr12-73594707-1	chr12	73594609	73594807	+	0.000	0.000	Merged-chr12-73594707-1
Merged-chr7-75782185-80	chr7	75781519	75782854	+	0.000	0.000	Merged-chr7-75782185-80
Merged-chr16-95769994-72	chr16	95769540	95770493	+	0.000	0.000	Merged-chr16-95769994-72
Merged-chr18-56463510-22	chr18	56463309	56463747	+	0.000	0.000	Merged-chr18-56463510-22
Merged-chrX-7318785-1	chrX	7318687	7318885	+	0.000	0.000	Merged-chrX-7318785-1
Merged-chr7-38085350-130	chr7	38084930	38085575	+	0.000	0.000	Merged-chr7-38085350-130
Merged-chr6-42349281-1	chr6	42349183	42349381	+	0.000	0.000	Merged-chr6-42349281-1
Merged-chr7-81868327-26	chr7	81868086	81868532	+	0.000	0.000	Merged-chr7-81868327-26
Merged-chr9-106386415-18	chr9	106386170	106386717	+	0.000	0.000	Merged-chr9-106386415-18
Merged-chr10-88503867-73	chr10	88503654	88504113	+	0.000	0.000	Merged-chr10-88503867-73
Merged-chr13-107918273-35	chr13	107918098	107918462	+	0.000	0.000	Merged-chr13-107918273-35
Merged-chr12-25095376-8	chr12	25095175	25095568	+	0.000	0.000	Merged-chr12-25095376-8
Merged-chr17-12742568-5	chr17	12742384	12742774	+	0.000	0.000	Merged-chr17-12742568-5
Merged-chr14-122953434-8	chr14	122953292	122953555	+	0.000	0.000	Merged-chr14-122953434-8
Merged-chr6-97523334-26	chr6	97523156	97523523	+	0.000	0.000	Merged-chr6-97523334-26
Merged-chr7-63939782-2	chr7	63939662	63939905	+	0.000	0.000	Merged-chr7-63939782-2
Merged-chr7-45759440-1	chr7	45759342	45759540	+	0.000	0.000	Merged-chr7-45759440-1
Merged-chr9-20952794-68	chr9	20952558	20953062	+	0.000	0.000	Merged-chr9-20952794-68
Merged-chr7-80401862-1	chr7	80401764	80401962	+	0.000	0.000	Merged-chr7-80401862-1
Merged-chr7-90138521-54	chr7	90138267	90138769	+	0.000	0.000	Merged-chr7-90138521-54
Merged-chr1-120264809-1	chr1	120264711	120264909	+	0.000	0.000	Merged-chr1-120264809-1
Merged-chr10-18055734-80	chr10	18055354	18056281	+	0.000	0.000	Merged-chr10-18055734-80
Merged-chr7-38107855-98	chr7	38107559	38108136	+	0.000	0.000	Merged-chr7-38107855-98
Merged-chr12-100901756-1	chr12	100901658	100901856	+	0.000	0.000	Merged-chr12-100901756-1
Merged-chr6-128852954-26	chr6	128852691	128853305	+	0.000	0.000	Merged-chr6-128852954-26
Merged-chr18-70919748-3	chr18	70919641	70919864	+	0.000	0.000	Merged-chr18-70919748-3
Merged-chr7-87979895-1	chr7	87979797	87979995	+	0.000	0.000	Merged-chr7-87979895-1
Merged-chr5-124052164-23	chr5	124051835	124052487	+	0.000	0.000	Merged-chr5-124052164-23
Merged-chr17-32424197-48	chr17	32423800	32424456	+	0.000	0.000	Merged-chr17-32424197-48
Merged-chr9-78865555-1	chr9	78865457	78865655	+	0.000	0.000	Merged-chr9-78865555-1
Merged-chr18-37814980-94	chr18	37814370	37815490	+	0.000	0.000	Merged-chr18-37814980-94
Merged-chr4-9530459-1	chr4	9530361	9530559	+	0.000	0.000	Merged-chr4-9530459-1
Merged-chr7-105554530-56	chr7	105554188	105554786	+	0.000	0.000	Merged-chr7-105554530-56
Merged-chr19-45683733-12	chr19	45683535	45683911	+	0.000	0.000	Merged-chr19-45683733-12
Merged-chr5-74261883-3	chr5	74261632	74262100	+	0.000	0.000	Merged-chr5-74261883-3
Merged-chr12-73670833-29	chr12	73670519	73671092	+	0.000	0.000	Merged-chr12-73670833-29
Merged-chr13-13564699-51	chr13	13564469	13564946	+	0.000	0.000	Merged-chr13-13564699-51
Merged-chr17-26370842-31	chr17	26370632	26371201	+	0.000	0.000	Merged-chr17-26370842-31
Merged-chr14-123001594-21	chr14	123001388	123001778	+	0.000	0.000	Merged-chr14-123001594-21
Merged-chr17-44256797-30	chr17	44256571	44256985	+	0.000	0.000	Merged-chr17-44256797-30
Merged-chr16-78540656-92	chr16	78540365	78540927	+	0.000	0.000	Merged-chr16-78540656-92
Merged-chr5-100500432-105	chr5	100499691	100501177	+	0.000	0.000	Merged-chr5-100500432-105
Merged-chr5-140207385-4	chr5	140207243	140207513	+	0.000	0.000	Merged-chr5-140207385-4
Merged-chr18-70643793-15	chr18	70643506	70644141	+	0.000	0.000	Merged-chr18-70643793-15
Merged-chrX-77808891-20	chrX	77808727	77809078	+	0.000	0.000	Merged-chrX-77808891-20
Merged-chr2-127881232-9	chr2	127881058	127881392	+	0.000	0.000	Merged-chr2-127881232-9
Merged-chr17-35465783-7	chr17	35465598	35465957	+	0.000	0.000	Merged-chr17-35465783-7
Merged-chr1-60941237-49	chr1	60941004	60941619	+	0.000	0.000	Merged-chr1-60941237-49
Merged-chr18-89160072-9	chr18	89159882	89160280	+	0.000	0.000	Merged-chr18-89160072-9
Merged-chr11-94998178-21	chr11	94998008	94998409	+	0.000	0.000	Merged-chr11-94998178-21
Merged-chr5-8675688-64	chr5	8675295	8676014	+	0.000	0.000	Merged-chr5-8675688-64
Merged-chr16-18248876-76	chr16	18248527	18249163	+	0.000	0.000	Merged-chr16-18248876-76
Merged-chr9-80313733-27	chr9	80313552	80313979	+	0.000	0.000	Merged-chr9-80313733-27
Merged-chr6-97300820-20	chr6	97300609	97301026	+	0.000	0.000	Merged-chr6-97300820-20
Merged-chr13-13520497-22	chr13	13520131	13520791	+	0.000	0.000	Merged-chr13-13520497-22
Merged-chr13-13572310-40	chr13	13572018	13572514	+	0.000	0.000	Merged-chr13-13572310-40
Merged-chr6-54107486-10	chr6	54107310	54107673	+	0.000	0.000	Merged-chr6-54107486-10
Merged-chr5-120685893-52	chr5	120685685	120686084	+	0.000	0.000	Merged-chr5-120685893-52
Merged-chr15-80592878-14	chr15	80592699	80593091	+	0.000	0.000	Merged-chr15-80592878-14
Merged-chr9-83437873-26	chr9	83437715	83438029	+	0.000	0.000	Merged-chr9-83437873-26
Merged-chr11-78301552-46	chr11	78301292	78301761	+	0.000	0.000	Merged-chr11-78301552-46
Merged-chr19-5844711-1	chr19	5844613	5844811	+	0.000	0.000	Merged-chr19-5844711-1
Merged-chr7-4811616-1	chr7	4811518	4811716	+	0.000	0.000	Merged-chr7-4811616-1
Merged-chr7-89126708-35	chr7	89126360	89126971	+	0.000	0.000	Merged-chr7-89126708-35
Merged-chr10-40098735-11	chr10	40098492	40098951	+	0.000	0.000	Merged-chr10-40098735-11
Merged-chr9-94219286-3	chr9	94219151	94219408	+	0.000	0.000	Merged-chr9-94219286-3
Merged-chr2-125660253-45	chr2	125659976	125660720	+	0.000	0.000	Merged-chr2-125660253-45
Merged-chr9-123732762-3	chr9	123732604	123732925	+	0.000	0.000	Merged-chr9-123732762-3
Merged-chr3-19332723-17	chr3	19332355	19332963	+	0.000	0.000	Merged-chr3-19332723-17
Merged-chr6-54100438-2	chr6	54100325	54100553	+	0.000	0.000	Merged-chr6-54100438-2
Merged-chr12-73611858-36	chr12	73611655	73612056	+	0.000	0.000	Merged-chr12-73611858-36
Merged-chr12-69420936-1	chr12	69420838	69421036	+	0.000	0.000	Merged-chr12-69420936-1
Merged-chr4-11966313-126	chr4	11966102	11966731	+	0.000	0.000	Merged-chr4-11966313-126
Merged-chr11-69066364-1	chr11	69066266	69066464	+	0.000	0.000	Merged-chr11-69066364-1
Merged-chr17-12960561-54	chr17	12960219	12960923	+	0.000	0.000	Merged-chr17-12960561-54
Merged-chr1-157343776-1	chr1	157343678	157343876	+	0.000	0.000	Merged-chr1-157343776-1
Merged-chr6-115993878-15	chr6	115993606	115994148	+	0.000	0.000	Merged-chr6-115993878-15
Merged-chr19-53356212-16	chr19	53355980	53356416	+	0.000	0.000	Merged-chr19-53356212-16
Merged-chr13-23738923-3	chr13	23738733	23739089	+	0.000	0.000	Merged-chr13-23738923-3
Merged-chr1-151697460-1	chr1	151697362	151697560	+	0.000	0.000	Merged-chr1-151697460-1
Merged-chr3-40798769-19	chr3	40798508	40798996	+	0.000	0.000	Merged-chr3-40798769-19
Merged-chr4-59199602-33	chr4	59199386	59199783	+	0.000	0.000	Merged-chr4-59199602-33
Merged-chr2-60802993-21	chr2	60802727	60803281	+	0.000	0.000	Merged-chr2-60802993-21
Merged-chr12-32144696-20	chr12	32144535	32144929	+	0.000	0.000	Merged-chr12-32144696-20
Merged-chr8-35366715-10	chr8	35366517	35366896	+	0.000	0.000	Merged-chr8-35366715-10
Merged-chr12-73699174-126	chr12	73698464	73699906	+	0.000	0.000	Merged-chr12-73699174-126
Merged-chr12-24708482-79	chr12	24708242	24708778	+	0.000	0.000	Merged-chr12-24708482-79
Merged-chr10-117864419-6	chr10	117864301	117864533	+	0.000	0.000	Merged-chr10-117864419-6
Merged-chr16-18811964-95	chr16	18811604	18812297	+	0.000	0.000	Merged-chr16-18811964-95
Merged-chr18-89203104-1	chr18	89203006	89203204	+	0.000	0.000	Merged-chr18-89203104-1
Merged-chr16-34690248-1	chr16	34690150	34690348	+	0.000	0.000	Merged-chr16-34690248-1
Merged-chr1-60565512-22	chr1	60565329	60565658	+	0.000	0.000	Merged-chr1-60565512-22
Merged-chr17-47739612-38	chr17	47739359	47739879	+	0.000	0.000	Merged-chr17-47739612-38
Merged-chr5-31963887-11	chr5	31963723	31964107	+	0.000	0.000	Merged-chr5-31963887-11
Merged-chr1-21078887-3	chr1	21078789	21078987	+	0.000	0.000	Merged-chr1-21078887-3
Merged-chr16-58454678-22	chr16	58454489	58454882	+	0.000	0.000	Merged-chr16-58454678-22
Merged-chr4-132768439-67	chr4	132768154	132768753	+	0.000	0.000	Merged-chr4-132768439-67
Merged-chr13-23684236-98	chr13	23683897	23684628	+	0.000	0.000	Merged-chr13-23684236-98
Merged-chr11-69041736-2	chr11	69041637	69041837	+	0.000	0.000	Merged-chr11-69041736-2
Merged-chr19-5844373-4	chr19	5844196	5844566	+	0.000	0.000	Merged-chr19-5844373-4
Merged-chr13-4187948-1	chr13	4187850	4188048	+	0.000	0.000	Merged-chr13-4187948-1
Merged-chr8-33892285-10	chr8	33892107	33892470	+	0.000	0.000	Merged-chr8-33892285-10
Merged-chr18-56441033-15	chr18	56440812	56441252	+	0.000	0.000	Merged-chr18-56441033-15
Merged-chr3-79535854-18	chr3	79535662	79536057	+	0.000	0.000	Merged-chr3-79535854-18
Merged-chr8-35376301-90	chr8	35375960	35376733	+	0.000	0.000	Merged-chr8-35376301-90
Merged-chr10-110931193-1	chr10	110931095	110931293	+	0.000	0.000	Merged-chr10-110931193-1
Merged-chr1-153035726-22	chr1	153035470	153035972	+	0.000	0.000	Merged-chr1-153035726-22
Merged-chr5-107013528-15	chr5	107013263	107013723	+	0.000	0.000	Merged-chr5-107013528-15
Merged-chr12-69228126-55	chr12	69227913	69228284	+	0.000	0.000	Merged-chr12-69228126-55
Merged-chr17-5862427-6	chr17	5862268	5862572	+	0.000	0.000	Merged-chr17-5862427-6
Merged-chrX-77795992-119	chrX	77795664	77796289	+	0.000	0.000	Merged-chrX-77795992-119
Merged-chr7-80091619-59	chr7	80091380	80091870	+	0.000	0.000	Merged-chr7-80091619-59
Merged-chr1-16225373-1	chr1	16225275	16225473	+	0.000	0.000	Merged-chr1-16225373-1
Merged-chr14-61331424-24	chr14	61331264	61331607	+	0.000	0.000	Merged-chr14-61331424-24
Merged-chr10-83129879-12	chr10	83129621	83130046	+	0.000	0.000	Merged-chr10-83129879-12
Merged-chr13-21754069-74	chr13	21753804	21754322	+	0.000	0.000	Merged-chr13-21754069-74
Merged-chr11-26387349-56	chr11	26387110	26387641	+	0.000	0.000	Merged-chr11-26387349-56
Merged-chr13-41358904-67	chr13	41358639	41359136	+	0.000	0.000	Merged-chr13-41358904-67
Merged-chr12-73595377-5	chr12	73595194	73595567	+	0.000	0.000	Merged-chr12-73595377-5
Merged-chr10-110733582-30	chr10	110733362	110733807	+	0.000	0.000	Merged-chr10-110733582-30
Merged-chr2-5012765-52	chr2	5012522	5013063	+	0.000	0.000	Merged-chr2-5012765-52
Merged-chr2-129297355-75	chr2	129297116	129297675	+	0.000	0.000	Merged-chr2-129297355-75
Merged-chr6-8510772-30	chr6	8510528	8511202	+	0.000	0.000	Merged-chr6-8510772-30
Merged-chr13-62684862-62	chr13	62684422	62685097	+	0.000	0.000	Merged-chr13-62684862-62
Merged-chr15-81729902-65	chr15	81729641	81730224	+	0.000	0.000	Merged-chr15-81729902-65
Merged-chr18-89340691-47	chr18	89340437	89340966	+	0.000	0.000	Merged-chr18-89340691-47
Merged-chr5-140610811-7	chr5	140610632	140610973	+	0.000	0.000	Merged-chr5-140610811-7
Merged-chr10-54048184-13	chr10	54047914	54048428	+	0.000	0.000	Merged-chr10-54048184-13
Merged-chr17-6317306-106	chr17	6316727	6317833	+	0.000	0.000	Merged-chr17-6317306-106
Merged-chr8-124284137-1	chr8	124284039	124284237	+	0.000	0.000	Merged-chr8-124284137-1
Merged-chr10-110742149-12	chr10	110741962	110742372	+	0.000	0.000	Merged-chr10-110742149-12
Merged-chr3-27153710-91	chr3	27153328	27154225	+	0.000	0.000	Merged-chr3-27153710-91
Merged-chr11-63925389-36	chr11	63925004	63925605	+	0.000	0.000	Merged-chr11-63925389-36
Merged-chr13-12519654-2	chr13	12519502	12519809	+	0.000	0.000	Merged-chr13-12519654-2
Merged-chr17-33394557-61	chr17	33394306	33394792	+	0.000	0.000	Merged-chr17-33394557-61
Merged-chr1-43389283-10	chr1	43389079	43389494	+	0.000	0.000	Merged-chr1-43389283-10
Merged-chr2-29889935-111	chr2	29889541	29890203	+	0.000	0.000	Merged-chr2-29889935-111
Merged-chr7-48898692-36	chr7	48898373	48899091	+	0.000	0.000	Merged-chr7-48898692-36
Merged-chr10-83004537-63	chr10	83003955	83005328	+	0.000	0.000	Merged-chr10-83004537-63
Merged-chr1-43536962-38	chr1	43536312	43537338	+	0.000	0.000	Merged-chr1-43536962-38
Merged-chr12-17266603-58	chr12	17266313	17267028	+	0.000	0.000	Merged-chr12-17266603-58
Merged-chr18-70568486-71	chr18	70568061	70569228	+	0.000	0.000	Merged-chr18-70568486-71
Merged-chr6-148895325-3	chr6	148895113	148895515	+	0.000	0.000	Merged-chr6-148895325-3
Merged-chr17-47600829-80	chr17	47600098	47601183	+	0.000	0.000	Merged-chr17-47600829-80
Merged-chr7-127166256-51	chr7	127165794	127166875	+	0.000	0.000	Merged-chr7-127166256-51
Merged-chr5-32135698-103	chr5	32135358	32136100	+	0.000	0.000	Merged-chr5-32135698-103
Merged-chr16-34690700-62	chr16	34690449	34690982	+	0.000	0.000	Merged-chr16-34690700-62
Merged-chr17-86801620-1	chr17	86801522	86801720	+	0.000	0.000	Merged-chr17-86801620-1
Merged-chr1-136458989-12	chr1	136458771	136459205	+	0.000	0.000	Merged-chr1-136458989-12
Merged-chr17-47527808-3	chr17	47527689	47527948	+	0.000	0.000	Merged-chr17-47527808-3
Merged-chr15-75086276-144	chr15	75086134	75086398	+	0.000	0.000	Merged-chr15-75086276-144
Merged-chr16-36675926-1	chr16	36675828	36676026	+	0.000	0.000	Merged-chr16-36675926-1
Merged-chr18-70678715-18	chr18	70678450	70678919	+	0.000	0.000	Merged-chr18-70678715-18
Merged-chr15-80020745-7	chr15	80020535	80020930	+	0.000	0.000	Merged-chr15-80020745-7
Merged-chr7-64005371-3	chr7	64005255	64005482	+	0.000	0.000	Merged-chr7-64005371-3
Merged-chr18-56478306-5	chr18	56478090	56478450	+	0.000	0.000	Merged-chr18-56478306-5
Merged-chr9-80318250-48	chr9	80318006	80318519	+	0.000	0.000	Merged-chr9-80318250-48
Merged-chr4-152491569-49	chr4	152491198	152491769	+	0.000	0.000	Merged-chr4-152491569-49
Merged-chr12-84752223-5	chr12	84751971	84752439	+	0.000	0.000	Merged-chr12-84752223-5
Merged-chr10-17966211-12	chr10	17966028	17966445	+	0.000	0.000	Merged-chr10-17966211-12
Merged-chr1-128103135-101	chr1	128102866	128103425	+	0.000	0.000	Merged-chr1-128103135-101
Merged-chr4-11558879-51	chr4	11558623	11559126	+	0.000	0.000	Merged-chr4-11558879-51
Merged-chr18-24653766-102	chr18	24653429	24654068	+	0.000	0.000	Merged-chr18-24653766-102
Merged-chr1-153037964-21	chr1	153037601	153038400	+	0.000	0.000	Merged-chr1-153037964-21
Merged-chr7-80143415-12	chr7	80143248	80143681	+	0.000	0.000	Merged-chr7-80143415-12
Merged-chr4-151995197-5	chr4	151995001	151995423	+	0.000	0.000	Merged-chr4-151995197-5
Merged-chr7-75910458-70	chr7	75910267	75910630	+	0.000	0.000	Merged-chr7-75910458-70
Merged-chr3-146127552-12	chr3	146127392	146127740	+	0.000	0.000	Merged-chr3-146127552-12
Merged-chr16-45998415-40	chr16	45998182	45998636	+	0.000	0.000	Merged-chr16-45998415-40
Merged-chr5-63964753-8	chr5	63964544	63964968	+	0.000	0.000	Merged-chr5-63964753-8
Merged-chr2-127927965-70	chr2	127927762	127928150	+	0.000	0.000	Merged-chr2-127927965-70
Merged-chr13-13524158-36	chr13	13523767	13524363	+	0.000	0.000	Merged-chr13-13524158-36
Merged-chr5-32089637-4	chr5	32089495	32089789	+	0.000	0.000	Merged-chr5-32089637-4
Merged-chr11-11774439-6	chr11	11774193	11774727	+	0.000	0.000	Merged-chr11-11774439-6
Merged-chr4-114983263-1	chr4	114983165	114983363	+	0.000	0.000	Merged-chr4-114983263-1
Merged-chr8-33902890-33	chr8	33902689	33903152	+	0.000	0.000	Merged-chr8-33902890-33
Merged-chr13-113617807-1	chr13	113617709	113617907	+	0.000	0.000	Merged-chr13-113617807-1
Merged-chr4-117202479-67	chr4	117202284	117202697	+	0.000	0.000	Merged-chr4-117202479-67
Merged-chr4-15269482-1	chr4	15269384	15269582	+	0.000	0.000	Merged-chr4-15269482-1
Merged-chr16-75903251-33	chr16	75902941	75903483	+	0.000	0.000	Merged-chr16-75903251-33
Merged-chr5-74261391-1	chr5	74261293	74261491	+	0.000	0.000	Merged-chr5-74261391-1
Merged-chr5-21424961-52	chr5	21424726	21425196	+	0.000	0.000	Merged-chr5-21424961-52
Merged-chr10-69321352-47	chr10	69320939	69321628	+	0.000	0.000	Merged-chr10-69321352-47
Merged-chr1-193272785-4	chr1	193272561	193273019	+	0.000	0.000	Merged-chr1-193272785-4
Merged-chr16-95770718-9	chr16	95770552	95770884	+	0.000	0.000	Merged-chr16-95770718-9
Merged-chr15-31166017-1	chr15	31165919	31166117	+	0.000	0.000	Merged-chr15-31166017-1
Merged-chr9-94538046-220	chr9	94537850	94538264	+	0.000	0.000	Merged-chr9-94538046-220
Merged-chr10-99107143-4	chr10	99106935	99107283	+	0.000	0.000	Merged-chr10-99107143-4
Merged-chr8-33653711-70	chr8	33653369	33654244	+	0.000	0.000	Merged-chr8-33653711-70
Merged-chr10-83154095-25	chr10	83153807	83154452	+	0.000	0.000	Merged-chr10-83154095-25
Merged-chr5-32133327-25	chr5	32132871	32133735	+	0.000	0.000	Merged-chr5-32133327-25
Merged-chr1-71102907-125	chr1	71102423	71103170	+	0.000	0.000	Merged-chr1-71102907-125
Merged-chr7-67412970-14	chr7	67412738	67413151	+	0.000	0.000	Merged-chr7-67412970-14
Merged-chr6-128850040-2	chr6	128849900	128850183	+	0.000	0.000	Merged-chr6-128850040-2
Merged-chr6-82702849-35	chr6	82702684	82703077	+	0.000	0.000	Merged-chr6-82702849-35
Merged-chr1-144406748-33	chr1	144406538	144407073	+	0.000	0.000	Merged-chr1-144406748-33
Merged-chr9-120084612-20	chr9	120084370	120084807	+	0.000	0.000	Merged-chr9-120084612-20
Merged-chr16-95712235-1	chr16	95712137	95712335	+	0.000	0.000	Merged-chr16-95712235-1
Merged-chr9-94236731-9	chr9	94236365	94236988	+	0.000	0.000	Merged-chr9-94236731-9
Merged-chr16-78532286-51	chr16	78532049	78532502	+	0.000	0.000	Merged-chr16-78532286-51
Merged-chr18-89193831-8	chr18	89193710	89193948	+	0.000	0.000	Merged-chr18-89193831-8
Merged-chr1-144353515-5	chr1	144353376	144353638	+	0.000	0.000	Merged-chr1-144353515-5
Merged-chr13-23739426-131	chr13	23739118	23739923	+	0.000	0.000	Merged-chr13-23739426-131
Merged-chr10-89463405-2	chr10	89463294	89463518	+	0.000	0.000	Merged-chr10-89463405-2
Merged-chr13-24779175-40	chr13	24778909	24779508	+	0.000	0.000	Merged-chr13-24779175-40
Merged-chr15-55843342-6	chr15	55843149	55843513	+	0.000	0.000	Merged-chr15-55843342-6
Merged-chr16-64766994-6	chr16	64766879	64767115	+	0.000	0.000	Merged-chr16-64766994-6
Merged-chr7-89232776-19	chr7	89232598	89232980	+	0.000	0.000	Merged-chr7-89232776-19
Merged-chr7-90302677-100	chr7	90302207	90303343	+	0.000	0.000	Merged-chr7-90302677-100
Merged-chr1-161779312-20	chr1	161779066	161779635	+	0.000	0.000	Merged-chr1-161779312-20
Merged-chr16-34700432-30	chr16	34700199	34700671	+	0.000	0.000	Merged-chr16-34700432-30
Merged-chr19-10198987-5	chr19	10198858	10199160	+	0.000	0.000	Merged-chr19-10198987-5
Merged-chr17-47521683-42	chr17	47521461	47521892	+	0.000	0.000	Merged-chr17-47521683-42
Merged-chr14-122983276-115	chr14	122982987	122983584	+	0.000	0.000	Merged-chr14-122983276-115
Merged-chr8-105965936-106	chr8	105965649	105966412	+	0.000	0.000	Merged-chr8-105965936-106
Merged-chr1-33578784-30	chr1	33578493	33579065	+	0.000	0.000	Merged-chr1-33578784-30
Merged-chr12-99392184-7	chr12	99392051	99392308	+	0.000	0.000	Merged-chr12-99392184-7
Merged-chr17-86591130-5	chr17	86590984	86591307	+	0.000	0.000	Merged-chr17-86591130-5
Merged-chr10-21994609-61	chr10	21994257	21995274	+	0.000	0.000	Merged-chr10-21994609-61
Merged-chr8-35426001-1	chr8	35425903	35426101	+	0.000	0.000	Merged-chr8-35426001-1
Merged-chr6-113662757-1	chr6	113662659	113662857	+	0.000	0.000	Merged-chr6-113662757-1
Merged-chr5-100498698-59	chr5	100498541	100499009	+	0.000	0.000	Merged-chr5-100498698-59
Merged-chr5-66150234-1	chr5	66150136	66150334	+	0.000	0.000	Merged-chr5-66150234-1
Merged-chr9-21680027-16	chr9	21679754	21680280	+	0.000	0.000	Merged-chr9-21680027-16
Merged-chr13-64152248-20	chr13	64151955	64152528	+	0.000	0.000	Merged-chr13-64152248-20
Merged-chr13-95742219-17	chr13	95741997	95742661	+	0.000	0.000	Merged-chr13-95742219-17
Merged-chr7-80445697-13	chr7	80445370	80445962	+	0.000	0.000	Merged-chr7-80445697-13
Merged-chr18-70570683-1	chr18	70570585	70570783	+	0.000	0.000	Merged-chr18-70570683-1
Merged-chr2-45108808-22	chr2	45108591	45109203	+	0.000	0.000	Merged-chr2-45108808-22
Merged-chr14-73146853-3	chr14	73146717	73146972	+	0.000	0.000	Merged-chr14-73146853-3
Merged-chr1-144256856-41	chr1	144256581	144257145	+	0.000	0.000	Merged-chr1-144256856-41
Merged-chr11-101199720-6	chr11	101199540	101199897	+	0.000	0.000	Merged-chr11-101199720-6
Merged-chr8-72757495-2	chr8	72757390	72757603	+	0.000	0.000	Merged-chr8-72757495-2
Merged-chr16-95728966-56	chr16	95728779	95729195	+	0.000	0.000	Merged-chr16-95728966-56
Merged-chr2-80581097-101	chr2	80580650	80581395	+	0.000	0.000	Merged-chr2-80581097-101
Merged-chr7-63962798-3	chr7	63962695	63962907	+	0.000	0.000	Merged-chr7-63962798-3
Merged-chr10-54073001-5	chr10	54072817	54073166	+	0.000	0.000	Merged-chr10-54073001-5
Merged-chr19-53312660-14	chr19	53312260	53312889	+	0.000	0.000	Merged-chr19-53312660-14
Merged-chr5-107597762-77	chr5	107597540	107598050	+	0.000	0.000	Merged-chr5-107597762-77
Merged-chr4-117182553-85	chr4	117182354	117182884	+	0.000	0.000	Merged-chr4-117182553-85
Merged-chr2-127922166-31	chr2	127921982	127922400	+	0.000	0.000	Merged-chr2-127922166-31
Merged-chr10-17948244-7	chr10	17948009	17948434	+	0.000	0.000	Merged-chr10-17948244-7
Merged-chr1-134106892-31	chr1	134106677	134107108	+	0.000	0.000	Merged-chr1-134106892-31
Merged-chr2-18307843-60	chr2	18307592	18308006	+	0.000	0.000	Merged-chr2-18307843-60
