#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_IV--ATAC_peaks.bed all.df.numx.c5-Bcl6KO_Th1_vs_Naive.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Bcl6KO_Th1_vs_Naive.dn.bed
Merged-chr3-97274158-19	chr3	97273943	97274416	+	0.000	0.000	Merged-chr3-97274158-19
Merged-chr7-12780581-64	chr7	12780243	12780911	+	0.000	0.000	Merged-chr7-12780581-64
Merged-chr5-34196616-50	chr5	34196356	34196830	+	0.000	0.000	Merged-chr5-34196616-50
Merged-chr15-53115661-46	chr15	53115455	53115848	+	0.000	0.000	Merged-chr15-53115661-46
Merged-chr18-79027907-21	chr18	79027636	79028144	+	0.000	0.000	Merged-chr18-79027907-21
Merged-chr15-53415050-1	chr15	53414952	53415150	+	0.000	0.000	Merged-chr15-53415050-1
Merged-chr10-95779914-19	chr10	95779711	95780142	+	0.000	0.000	Merged-chr10-95779914-19
Merged-chr11-98000050-11	chr11	97999727	98000225	+	0.000	0.000	Merged-chr11-98000050-11
Merged-chr16-91076341-10	chr16	91076186	91076486	+	0.000	0.000	Merged-chr16-91076341-10
Merged-chr13-92636588-1	chr13	92636490	92636688	+	0.000	0.000	Merged-chr13-92636588-1
Merged-chr4-150339180-18	chr4	150338985	150339477	+	0.000	0.000	Merged-chr4-150339180-18
Merged-chr3-52102741-168	chr3	52102416	52103161	+	0.000	0.000	Merged-chr3-52102741-168
Merged-chr16-48745701-29	chr16	48745432	48746047	+	0.000	0.000	Merged-chr16-48745701-29
Merged-chr13-73484644-8	chr13	73484439	73484839	+	0.000	0.000	Merged-chr13-73484644-8
Merged-chr12-16116745-1	chr12	16116647	16116845	+	0.000	0.000	Merged-chr12-16116745-1
Merged-chr15-73599756-21	chr15	73599511	73600015	+	0.000	0.000	Merged-chr15-73599756-21
Merged-chr16-11036306-25	chr16	11036012	11036488	+	0.000	0.000	Merged-chr16-11036306-25
Merged-chr18-35849928-52	chr18	35849615	35850285	+	0.000	0.000	Merged-chr18-35849928-52
Merged-chr10-25118043-1	chr10	25117945	25118143	+	0.000	0.000	Merged-chr10-25118043-1
Merged-chr17-34239655-15	chr17	34239254	34239965	+	0.000	0.000	Merged-chr17-34239655-15
Merged-chr6-99283730-54	chr6	99283236	99284467	+	0.000	0.000	Merged-chr6-99283730-54
Merged-chr7-128627146-52	chr7	128626651	128627675	+	0.000	0.000	Merged-chr7-128627146-52
Merged-chr7-12421829-4	chr7	12421667	12421980	+	0.000	0.000	Merged-chr7-12421829-4
Merged-chr16-76532636-15	chr16	76532348	76532893	+	0.000	0.000	Merged-chr16-76532636-15
Merged-chr4-102930810-11	chr4	102930600	102930977	+	0.000	0.000	Merged-chr4-102930810-11
Merged-chr1-60974278-38	chr1	60973987	60974571	+	0.000	0.000	Merged-chr1-60974278-38
Merged-chr11-19926174-9	chr11	19926028	19926316	+	0.000	0.000	Merged-chr11-19926174-9
Merged-chr8-70212496-78	chr8	70212303	70212737	+	0.000	0.000	Merged-chr8-70212496-78
Merged-chr19-38819260-61	chr19	38818953	38819511	+	0.000	0.000	Merged-chr19-38819260-61
Merged-chr3-51826732-8	chr3	51826567	51826895	+	0.000	0.000	Merged-chr3-51826732-8
Merged-chr15-64312713-123	chr15	64312291	64313212	+	0.000	0.000	Merged-chr15-64312713-123
Merged-chr4-155129607-22	chr4	155129336	155129835	+	0.000	0.000	Merged-chr4-155129607-22
Merged-chr6-129209973-5	chr6	129209832	129210117	+	0.000	0.000	Merged-chr6-129209973-5
Merged-chr5-142961769-1	chr5	142961671	142961869	+	0.000	0.000	Merged-chr5-142961769-1
Merged-chr10-17724304-42	chr10	17724121	17724530	+	0.000	0.000	Merged-chr10-17724304-42
Merged-chr9-15709752-108	chr9	15709518	15710137	+	0.000	0.000	Merged-chr9-15709752-108
Merged-chr15-53343492-8	chr15	53343170	53343698	+	0.000	0.000	Merged-chr15-53343492-8
Merged-chr2-59617159-6	chr2	59616930	59617383	+	0.000	0.000	Merged-chr2-59617159-6
Merged-chr1-193159321-1	chr1	193159223	193159421	+	0.000	0.000	Merged-chr1-193159321-1
Merged-chr10-7826287-40	chr10	7825991	7826516	+	0.000	0.000	Merged-chr10-7826287-40
Merged-chr14-45100388-2	chr14	45100269	45100510	+	0.000	0.000	Merged-chr14-45100388-2
Merged-chr2-169790952-43	chr2	169790693	169791318	+	0.000	0.000	Merged-chr2-169790952-43
Merged-chr1-156674616-3	chr1	156674506	156674741	+	0.000	0.000	Merged-chr1-156674616-3
Merged-chr12-15930360-26	chr12	15930125	15930613	+	0.000	0.000	Merged-chr12-15930360-26
Merged-chr6-147539170-1	chr6	147539072	147539270	+	0.000	0.000	Merged-chr6-147539170-1
Merged-chr6-6157582-1	chr6	6157484	6157682	+	0.000	0.000	Merged-chr6-6157582-1
Merged-chr9-25167657-41	chr9	25167478	25167828	+	0.000	0.000	Merged-chr9-25167657-41
Merged-chr1-60983193-1	chr1	60983095	60983293	+	0.000	0.000	Merged-chr1-60983193-1
Merged-chr9-86085854-2	chr9	86085750	86085961	+	0.000	0.000	Merged-chr9-86085854-2
Merged-chr8-95678137-34	chr8	95677808	95678426	+	0.000	0.000	Merged-chr8-95678137-34
Merged-chr1-69655564-2	chr1	69655425	69655706	+	0.000	0.000	Merged-chr1-69655564-2
Merged-chr9-66705879-40	chr9	66705501	66706190	+	0.000	0.000	Merged-chr9-66705879-40
Merged-chr2-135847299-1	chr2	135847201	135847399	+	0.000	0.000	Merged-chr2-135847299-1
Merged-chr3-97628792-45	chr3	97628572	97629007	+	0.000	0.000	Merged-chr3-97628792-45
Merged-chr9-61819963-10	chr9	61819776	61820147	+	0.000	0.000	Merged-chr9-61819963-10
Merged-chr11-117949597-1	chr11	117949499	117949697	+	0.000	0.000	Merged-chr11-117949597-1
Merged-chr2-32775687-62	chr2	32775494	32775996	+	0.000	0.000	Merged-chr2-32775687-62
Merged-chr14-65358573-82	chr14	65358248	65359163	+	0.000	0.000	Merged-chr14-65358573-82
Merged-chr11-52314367-60	chr11	52314125	52314604	+	0.000	0.000	Merged-chr11-52314367-60
Merged-chr3-52104997-31	chr3	52104707	52105275	+	0.000	0.000	Merged-chr3-52104997-31
Merged-chrX-167319032-24	chrX	167318689	167319523	+	0.000	0.000	Merged-chrX-167319032-24
Merged-chr14-8665672-1	chr14	8665574	8665772	+	0.000	0.000	Merged-chr14-8665672-1
Merged-chr10-13925632-1	chr10	13925534	13925732	+	0.000	0.000	Merged-chr10-13925632-1
Merged-chr2-174613856-91	chr2	174613283	174614555	+	0.000	0.000	Merged-chr2-174613856-91
Merged-chr8-71463366-119	chr8	71462753	71464068	+	0.000	0.000	Merged-chr8-71463366-119
Merged-chr12-36534175-2	chr12	36534049	36534303	+	0.000	0.000	Merged-chr12-36534175-2
Merged-chr19-29067288-42	chr19	29067051	29067542	+	0.000	0.000	Merged-chr19-29067288-42
Merged-chr16-30722513-29	chr16	30722213	30722737	+	0.000	0.000	Merged-chr16-30722513-29
Merged-chr8-111576659-7	chr8	111576537	111576796	+	0.000	0.000	Merged-chr8-111576659-7
Merged-chr12-112976486-72	chr12	112976182	112976757	+	0.000	0.000	Merged-chr12-112976486-72
Merged-chr2-5045339-13	chr2	5045006	5045575	+	0.000	0.000	Merged-chr2-5045339-13
Merged-chr2-153002914-29	chr2	153002705	153003272	+	0.000	0.000	Merged-chr2-153002914-29
Merged-chr2-93470561-1	chr2	93470463	93470661	+	0.000	0.000	Merged-chr2-93470561-1
Merged-chr6-106663978-32	chr6	106663759	106664263	+	0.000	0.000	Merged-chr6-106663978-32
Merged-chr3-101029545-28	chr3	101029284	101029726	+	0.000	0.000	Merged-chr3-101029545-28
Merged-chr16-11077800-31	chr16	11077528	11078158	+	0.000	0.000	Merged-chr16-11077800-31
Merged-chrX-13846551-90	chrX	13845967	13847145	+	0.000	0.000	Merged-chrX-13846551-90
Merged-chr16-17939017-26	chr16	17938683	17939260	+	0.000	0.000	Merged-chr16-17939017-26
Merged-chr6-65765316-29	chr6	65765029	65765587	+	0.000	0.000	Merged-chr6-65765316-29
Merged-chr13-94285353-62	chr13	94285091	94285694	+	0.000	0.000	Merged-chr13-94285353-62
Merged-chr4-86885185-7	chr4	86885080	86885295	+	0.000	0.000	Merged-chr4-86885185-7
Merged-chr2-169423761-9	chr2	169423571	169424077	+	0.000	0.000	Merged-chr2-169423761-9
Merged-chr12-85455439-59	chr12	85455236	85455689	+	0.000	0.000	Merged-chr12-85455439-59
Merged-chr11-77386373-55	chr11	77386113	77386674	+	0.000	0.000	Merged-chr11-77386373-55
Merged-chr18-54992765-44	chr18	54992455	54992973	+	0.000	0.000	Merged-chr18-54992765-44
Merged-chr12-41024981-1	chr12	41024883	41025081	+	0.000	0.000	Merged-chr12-41024981-1
Merged-chr13-64370381-61	chr13	64370159	64370675	+	0.000	0.000	Merged-chr13-64370381-61
Merged-chr3-129545403-15	chr3	129545210	129545578	+	0.000	0.000	Merged-chr3-129545403-15
Merged-chr2-71964438-14	chr2	71964189	71964691	+	0.000	0.000	Merged-chr2-71964438-14
Merged-chr14-101478024-3	chr14	101477885	101478153	+	0.000	0.000	Merged-chr14-101478024-3
Merged-chr4-6990867-140	chr4	6990266	6991248	+	0.000	0.000	Merged-chr4-6990867-140
Merged-chr6-129256162-24	chr6	129255953	129256339	+	0.000	0.000	Merged-chr6-129256162-24
Merged-chr16-22661270-2	chr16	22661159	22661384	+	0.000	0.000	Merged-chr16-22661270-2
Merged-chr15-64307280-6	chr15	64307137	64307447	+	0.000	0.000	Merged-chr15-64307280-6
Merged-chr16-76548877-4	chr16	76548664	76549038	+	0.000	0.000	Merged-chr16-76548877-4
Merged-chr6-90757414-35	chr6	90756904	90757767	+	0.000	0.000	Merged-chr6-90757414-35
Merged-chr1-128705243-28	chr1	128705039	128705497	+	0.000	0.000	Merged-chr1-128705243-28
Merged-chr4-152152217-20	chr4	152152010	152152439	+	0.000	0.000	Merged-chr4-152152217-20
Merged-chr6-90629668-42	chr6	90629407	90629967	+	0.000	0.000	Merged-chr6-90629668-42
Merged-chr2-151971067-35	chr2	151970825	151971318	+	0.000	0.000	Merged-chr2-151971067-35
Merged-chr2-32778262-13	chr2	32778061	32778427	+	0.000	0.000	Merged-chr2-32778262-13
Merged-chr9-110895737-8	chr9	110895567	110896047	+	0.000	0.000	Merged-chr9-110895737-8
Merged-chr5-90618263-16	chr5	90617934	90618655	+	0.000	0.000	Merged-chr5-90618263-16
Merged-chr7-128393904-2	chr7	128393776	128394034	+	0.000	0.000	Merged-chr7-128393904-2
Merged-chr3-130976377-12	chr3	130976222	130976537	+	0.000	0.000	Merged-chr3-130976377-12
Merged-chrX-42511352-16	chrX	42511031	42511582	+	0.000	0.000	Merged-chrX-42511352-16
Merged-chr17-27656251-5	chr17	27656118	27656431	+	0.000	0.000	Merged-chr17-27656251-5
Merged-chr2-61489944-20	chr2	61489753	61490104	+	0.000	0.000	Merged-chr2-61489944-20
Merged-chr2-132021248-83	chr2	132020920	132021752	+	0.000	0.000	Merged-chr2-132021248-83
Merged-chr2-60125288-97	chr2	60124641	60125856	+	0.000	0.000	Merged-chr2-60125288-97
Merged-chr2-91078502-21	chr2	91078197	91078720	+	0.000	0.000	Merged-chr2-91078502-21
Merged-chr11-97999442-46	chr11	97999251	97999713	+	0.000	0.000	Merged-chr11-97999442-46
Merged-chr4-149856656-49	chr4	149856466	149856854	+	0.000	0.000	Merged-chr4-149856656-49
Merged-chr19-34879103-15	chr19	34878813	34879343	+	0.000	0.000	Merged-chr19-34879103-15
Merged-chr17-21500914-14	chr17	21500714	21501148	+	0.000	0.000	Merged-chr17-21500914-14
Merged-chr2-156975142-7	chr2	156975018	156975264	+	0.000	0.000	Merged-chr2-156975142-7
Merged-chr6-99023812-5	chr6	99023673	99023942	+	0.000	0.000	Merged-chr6-99023812-5
Merged-chr14-121491238-1	chr14	121491140	121491338	+	0.000	0.000	Merged-chr14-121491238-1
Merged-chr1-69687447-68	chr1	69687030	69687920	+	0.000	0.000	Merged-chr1-69687447-68
Merged-chr15-36453673-6	chr15	36453498	36453853	+	0.000	0.000	Merged-chr15-36453673-6
Merged-chr2-117331820-22	chr2	117331626	117331963	+	0.000	0.000	Merged-chr2-117331820-22
Merged-chr13-112509641-25	chr13	112509410	112509919	+	0.000	0.000	Merged-chr13-112509641-25
Merged-chr17-28193674-11	chr17	28193497	28193882	+	0.000	0.000	Merged-chr17-28193674-11
Merged-chr11-109560984-42	chr11	109560778	109561230	+	0.000	0.000	Merged-chr11-109560984-42
Merged-chr6-65818480-32	chr6	65818205	65818829	+	0.000	0.000	Merged-chr6-65818480-32
Merged-chr6-147572152-1	chr6	147572054	147572252	+	0.000	0.000	Merged-chr6-147572152-1
Merged-chr12-24572311-66	chr12	24571987	24572790	+	0.000	0.000	Merged-chr12-24572311-66
Merged-chr1-35580626-34	chr1	35580304	35580961	+	0.000	0.000	Merged-chr1-35580626-34
Merged-chr2-32834738-24	chr2	32834478	32834913	+	0.000	0.000	Merged-chr2-32834738-24
Merged-chr13-104285413-49	chr13	104285095	104285921	+	0.000	0.000	Merged-chr13-104285413-49
Merged-chr15-101180638-34	chr15	101180336	101180952	+	0.000	0.000	Merged-chr15-101180638-34
Merged-chr8-109708114-35	chr8	109707803	109708416	+	0.000	0.000	Merged-chr8-109708114-35
Merged-chr11-52281751-1	chr11	52281653	52281851	+	0.000	0.000	Merged-chr11-52281751-1
Merged-chrX-155215806-1	chrX	155215708	155215906	+	0.000	0.000	Merged-chrX-155215806-1
Merged-chr6-124741027-92	chr6	124740786	124741360	+	0.000	0.000	Merged-chr6-124741027-92
Merged-chr2-77169496-1	chr2	77169398	77169596	+	0.000	0.000	Merged-chr2-77169496-1
Merged-chr3-132927951-20	chr3	132927737	132928182	+	0.000	0.000	Merged-chr3-132927951-20
Merged-chr1-89096601-1	chr1	89096503	89096701	+	0.000	0.000	Merged-chr1-89096601-1
Merged-chr16-76321846-11	chr16	76321699	76321974	+	0.000	0.000	Merged-chr16-76321846-11
Merged-chr11-94385959-1	chr11	94385861	94386059	+	0.000	0.000	Merged-chr11-94385959-1
Merged-chr6-6210933-2	chr6	6210828	6211040	+	0.000	0.000	Merged-chr6-6210933-2
Merged-chr5-30921651-61	chr5	30921423	30921878	+	0.000	0.000	Merged-chr5-30921651-61
Merged-chr15-36261569-31	chr15	36261340	36261992	+	0.000	0.000	Merged-chr15-36261569-31
Merged-chr18-34887458-62	chr18	34887239	34887849	+	0.000	0.000	Merged-chr18-34887458-62
Merged-chr7-99468692-92	chr7	99468492	99469165	+	0.000	0.000	Merged-chr7-99468692-92
Merged-chr14-122181700-59	chr14	122181493	122181951	+	0.000	0.000	Merged-chr14-122181700-59
Merged-chr7-28375704-42	chr7	28375474	28376015	+	0.000	0.000	Merged-chr7-28375704-42
Merged-chr4-154964941-1	chr4	154964843	154965041	+	0.000	0.000	Merged-chr4-154964941-1
Merged-chr4-59805793-13	chr4	59805599	59805974	+	0.000	0.000	Merged-chr4-59805793-13
Merged-chr15-27726548-6	chr15	27726374	27726708	+	0.000	0.000	Merged-chr15-27726548-6
Merged-chr5-118083000-2	chr5	118082901	118083102	+	0.000	0.000	Merged-chr5-118083000-2
Merged-chr2-135797053-2	chr2	135796900	135797209	+	0.000	0.000	Merged-chr2-135797053-2
Merged-chr6-99239588-1	chr6	99239490	99239688	+	0.000	0.000	Merged-chr6-99239588-1
Merged-chr3-51648429-13	chr3	51648225	51648604	+	0.000	0.000	Merged-chr3-51648429-13
Merged-chr3-84477916-1	chr3	84477818	84478016	+	0.000	0.000	Merged-chr3-84477916-1
Merged-chr2-59629993-27	chr2	59629824	59630286	+	0.000	0.000	Merged-chr2-59629993-27
Merged-chr3-121885126-49	chr3	121884821	121885369	+	0.000	0.000	Merged-chr3-121885126-49
Merged-chr11-6569400-3	chr11	6569202	6569553	+	0.000	0.000	Merged-chr11-6569400-3
Merged-chr4-129625177-3	chr4	129625066	129625301	+	0.000	0.000	Merged-chr4-129625177-3
Merged-chr10-77035575-25	chr10	77035271	77035862	+	0.000	0.000	Merged-chr10-77035575-25
Merged-chr10-78487870-30	chr10	78487671	78488084	+	0.000	0.000	Merged-chr10-78487870-30
Merged-chr12-52729820-57	chr12	52729334	52730664	+	0.000	0.000	Merged-chr12-52729820-57
Merged-chr13-43864660-51	chr13	43864444	43864873	+	0.000	0.000	Merged-chr13-43864660-51
Merged-chr4-116708529-54	chr4	116708254	116708744	+	0.000	0.000	Merged-chr4-116708529-54
Merged-chr3-95739473-23	chr3	95739236	95739654	+	0.000	0.000	Merged-chr3-95739473-23
Merged-chr5-65858120-27	chr5	65857925	65858291	+	0.000	0.000	Merged-chr5-65858120-27
Merged-chr1-92015551-10	chr1	92015340	92015776	+	0.000	0.000	Merged-chr1-92015551-10
Merged-chr8-48110550-1	chr8	48110452	48110650	+	0.000	0.000	Merged-chr8-48110550-1
Merged-chr6-99275701-16	chr6	99275516	99275878	+	0.000	0.000	Merged-chr6-99275701-16
Merged-chr5-65902900-8	chr5	65902596	65903147	+	0.000	0.000	Merged-chr5-65902900-8
Merged-chr6-48444392-70	chr6	48443836	48445009	+	0.000	0.000	Merged-chr6-48444392-70
Merged-chr1-34187719-7	chr1	34187582	34187866	+	0.000	0.000	Merged-chr1-34187719-7
Merged-chr6-146271470-40	chr6	146271271	146271652	+	0.000	0.000	Merged-chr6-146271470-40
Merged-chr6-41532789-67	chr6	41532526	41533143	+	0.000	0.000	Merged-chr6-41532789-67
Merged-chr15-25739657-1	chr15	25739559	25739757	+	0.000	0.000	Merged-chr15-25739657-1
Merged-chr6-146439604-15	chr6	146439316	146439849	+	0.000	0.000	Merged-chr6-146439604-15
Merged-chr7-104507900-57	chr7	104507664	104508168	+	0.000	0.000	Merged-chr7-104507900-57
Merged-chr1-125561126-1	chr1	125561028	125561226	+	0.000	0.000	Merged-chr1-125561126-1
Merged-chr2-76980390-27	chr2	76980134	76980702	+	0.000	0.000	Merged-chr2-76980390-27
Merged-chr12-82284829-46	chr12	82284597	82285049	+	0.000	0.000	Merged-chr12-82284829-46
Merged-chr7-83439094-1	chr7	83438996	83439194	+	0.000	0.000	Merged-chr7-83439094-1
Merged-chr14-30137182-40	chr14	30136953	30137523	+	0.000	0.000	Merged-chr14-30137182-40
Merged-chr7-97079180-3	chr7	97079034	97079372	+	0.000	0.000	Merged-chr7-97079180-3
Merged-chr6-134343073-39	chr6	134342814	134343506	+	0.000	0.000	Merged-chr6-134343073-39
Merged-chr4-57813680-42	chr4	57813361	57813926	+	0.000	0.000	Merged-chr4-57813680-42
Merged-chr19-5406160-3	chr19	5406012	5406297	+	0.000	0.000	Merged-chr19-5406160-3
Merged-chr18-55693549-6	chr18	55693281	55693758	+	0.000	0.000	Merged-chr18-55693549-6
Merged-chr16-22657033-32	chr16	22656660	22657386	+	0.000	0.000	Merged-chr16-22657033-32
Merged-chr17-7169938-73	chr17	7169667	7170175	+	0.000	0.000	Merged-chr17-7169938-73
Merged-chr10-77978614-55	chr10	77978394	77978783	+	0.000	0.000	Merged-chr10-77978614-55
Merged-chr9-118646527-1	chr9	118646429	118646627	+	0.000	0.000	Merged-chr9-118646527-1
Merged-chr2-117421672-7	chr2	117421457	117421864	+	0.000	0.000	Merged-chr2-117421672-7
Merged-chr16-85173423-99	chr16	85172407	85174043	+	0.000	0.000	Merged-chr16-85173423-99
Merged-chr12-41090116-16	chr12	41089789	41090311	+	0.000	0.000	Merged-chr12-41090116-16
Merged-chr3-40951429-9	chr3	40951073	40951671	+	0.000	0.000	Merged-chr3-40951429-9
Merged-chr4-10873390-6	chr4	10873231	10873573	+	0.000	0.000	Merged-chr4-10873390-6
Merged-chr1-181237561-3	chr1	181237399	181237724	+	0.000	0.000	Merged-chr1-181237561-3
Merged-chr7-128412594-1	chr7	128412496	128412694	+	0.000	0.000	Merged-chr7-128412594-1
Merged-chr10-21077347-58	chr10	21077117	21077555	+	0.000	0.000	Merged-chr10-21077347-58
Merged-chr17-73164470-6	chr17	73164290	73164617	+	0.000	0.000	Merged-chr17-73164470-6
Merged-chr10-96579636-12	chr10	96579427	96579814	+	0.000	0.000	Merged-chr10-96579636-12
Merged-chr3-138815364-14	chr3	138814955	138815828	+	0.000	0.000	Merged-chr3-138815364-14
Merged-chr16-22633179-21	chr16	22632914	22633385	+	0.000	0.000	Merged-chr16-22633179-21
Merged-chr9-61759305-3	chr9	61759197	61759422	+	0.000	0.000	Merged-chr9-61759305-3
Merged-chr7-78596101-37	chr7	78595922	78596315	+	0.000	0.000	Merged-chr7-78596101-37
Merged-chr3-138757496-38	chr3	138757143	138757813	+	0.000	0.000	Merged-chr3-138757496-38
Merged-chr1-193153117-43	chr1	193152868	193153424	+	0.000	0.000	Merged-chr1-193153117-43
Merged-chr2-165782543-19	chr2	165782284	165782888	+	0.000	0.000	Merged-chr2-165782543-19
Merged-chr3-110395302-1	chr3	110395204	110395402	+	0.000	0.000	Merged-chr3-110395302-1
Merged-chr3-121467435-12	chr3	121467218	121467630	+	0.000	0.000	Merged-chr3-121467435-12
Merged-chr2-24750294-26	chr2	24750103	24750486	+	0.000	0.000	Merged-chr2-24750294-26
Merged-chr4-16168724-23	chr4	16168422	16169176	+	0.000	0.000	Merged-chr4-16168724-23
Merged-chr1-172027037-42	chr1	172026568	172027434	+	0.000	0.000	Merged-chr1-172027037-42
Merged-chr5-64805509-1	chr5	64805411	64805609	+	0.000	0.000	Merged-chr5-64805509-1
Merged-chr11-100355649-58	chr11	100355180	100356428	+	0.000	0.000	Merged-chr11-100355649-58
Merged-chr6-144923057-24	chr6	144922676	144923272	+	0.000	0.000	Merged-chr6-144923057-24
Merged-chr12-40680727-4	chr12	40680538	40680936	+	0.000	0.000	Merged-chr12-40680727-4
Merged-chr15-6589814-4	chr15	6589661	6589938	+	0.000	0.000	Merged-chr15-6589814-4
Merged-chr6-99433049-65	chr6	99432583	99433457	+	0.000	0.000	Merged-chr6-99433049-65
Merged-chr15-54919372-1	chr15	54919274	54919472	+	0.000	0.000	Merged-chr15-54919372-1
Merged-chr2-30587397-33	chr2	30587156	30587589	+	0.000	0.000	Merged-chr2-30587397-33
Merged-chr16-97292669-5	chr16	97292418	97292893	+	0.000	0.000	Merged-chr16-97292669-5
Merged-chr11-99238634-46	chr11	99238374	99238864	+	0.000	0.000	Merged-chr11-99238634-46
Merged-chr3-121437597-2	chr3	121437489	121437707	+	0.000	0.000	Merged-chr3-121437597-2
Merged-chr15-36454671-3	chr15	36454476	36454864	+	0.000	0.000	Merged-chr15-36454671-3
Merged-chr12-55492294-126	chr12	55491789	55492710	+	0.000	0.000	Merged-chr12-55492294-126
Merged-chrX-166329162-24	chrX	166328971	166329430	+	0.000	0.000	Merged-chrX-166329162-24
Merged-chr7-82867992-3	chr7	82867882	82868101	+	0.000	0.000	Merged-chr7-82867992-3
Merged-chr10-17722904-190	chr10	17722528	17723390	+	0.000	0.000	Merged-chr10-17722904-190
Merged-chr4-44970955-10	chr4	44970723	44971155	+	0.000	0.000	Merged-chr4-44970955-10
Merged-chr6-99302078-2	chr6	99301926	99302232	+	0.000	0.000	Merged-chr6-99302078-2
Merged-chr10-72759241-1	chr10	72759143	72759341	+	0.000	0.000	Merged-chr10-72759241-1
Merged-chr12-80272034-8	chr12	80271838	80272235	+	0.000	0.000	Merged-chr12-80272034-8
Merged-chr17-84231580-31	chr17	84231380	84231803	+	0.000	0.000	Merged-chr17-84231580-31
Merged-chr4-6934910-50	chr4	6934274	6935396	+	0.000	0.000	Merged-chr4-6934910-50
Merged-chr18-50001132-7	chr18	50000886	50001370	+	0.000	0.000	Merged-chr18-50001132-7
Merged-chr6-41547233-22	chr6	41546821	41547644	+	0.000	0.000	Merged-chr6-41547233-22
Merged-chr9-98339119-1	chr9	98339021	98339219	+	0.000	0.000	Merged-chr9-98339119-1
Merged-chr16-59617351-29	chr16	59617173	59617590	+	0.000	0.000	Merged-chr16-59617351-29
Merged-chr8-117673653-52	chr8	117673295	117673916	+	0.000	0.000	Merged-chr8-117673653-52
Merged-chr15-36458490-14	chr15	36458144	36458721	+	0.000	0.000	Merged-chr15-36458490-14
Merged-chr10-96586200-4	chr10	96586022	96586405	+	0.000	0.000	Merged-chr10-96586200-4
Merged-chrX-74329006-35	chrX	74328665	74329328	+	0.000	0.000	Merged-chrX-74329006-35
Merged-chr4-95820334-1	chr4	95820236	95820434	+	0.000	0.000	Merged-chr4-95820334-1
Merged-chr15-25699255-2	chr15	25699129	25699384	+	0.000	0.000	Merged-chr15-25699255-2
Merged-chr17-73087309-28	chr17	73087107	73087544	+	0.000	0.000	Merged-chr17-73087309-28
Merged-chr5-134688853-79	chr5	134688661	134689130	+	0.000	0.000	Merged-chr5-134688853-79
Merged-chr14-10432307-4	chr14	10432203	10432412	+	0.000	0.000	Merged-chr14-10432307-4
Merged-chr15-9463567-25	chr15	9463375	9463848	+	0.000	0.000	Merged-chr15-9463567-25
Merged-chr17-81064878-66	chr17	81064674	81065098	+	0.000	0.000	Merged-chr17-81064878-66
Merged-chr10-13999186-36	chr10	13998919	13999382	+	0.000	0.000	Merged-chr10-13999186-36
Merged-chr6-144987357-14	chr6	144986994	144987634	+	0.000	0.000	Merged-chr6-144987357-14
Merged-chr3-94658975-68	chr3	94658693	94659188	+	0.000	0.000	Merged-chr3-94658975-68
Merged-chr7-83639836-62	chr7	83639127	83640836	+	0.000	0.000	Merged-chr7-83639836-62
Merged-chr5-114199479-63	chr5	114199153	114199702	+	0.000	0.000	Merged-chr5-114199479-63
Merged-chr4-59850385-20	chr4	59850138	59850605	+	0.000	0.000	Merged-chr4-59850385-20
Merged-chr18-80005096-36	chr18	80004879	80005303	+	0.000	0.000	Merged-chr18-80005096-36
Merged-chr6-118066491-104	chr6	118066055	118067085	+	0.000	0.000	Merged-chr6-118066491-104
Merged-chr16-76341927-28	chr16	76341636	76342184	+	0.000	0.000	Merged-chr16-76341927-28
Merged-chr15-73061004-80	chr15	73060770	73061293	+	0.000	0.000	Merged-chr15-73061004-80
Merged-chr2-122467079-1	chr2	122466981	122467179	+	0.000	0.000	Merged-chr2-122467079-1
Merged-chr18-78142863-6	chr18	78142688	78142995	+	0.000	0.000	Merged-chr18-78142863-6
Merged-chr7-4964465-28	chr7	4964168	4964685	+	0.000	0.000	Merged-chr7-4964465-28
Merged-chr12-52718436-2	chr12	52718338	52718536	+	0.000	0.000	Merged-chr12-52718436-2
Merged-chr5-139388834-13	chr5	139388662	139389033	+	0.000	0.000	Merged-chr5-139388834-13
Merged-chr13-55115683-2	chr13	55115585	55115783	+	0.000	0.000	Merged-chr13-55115683-2
Merged-chr15-101266934-77	chr15	101266561	101267393	+	0.000	0.000	Merged-chr15-101266934-77
Merged-chr18-61399742-153	chr18	61399544	61399958	+	0.000	0.000	Merged-chr18-61399742-153
Merged-chr15-25696018-37	chr15	25695788	25696251	+	0.000	0.000	Merged-chr15-25696018-37
Merged-chr6-129276104-1	chr6	129276006	129276204	+	0.000	0.000	Merged-chr6-129276104-1
Merged-chr1-69559722-2	chr1	69559607	69559839	+	0.000	0.000	Merged-chr1-69559722-2
Merged-chr1-132417659-59	chr1	132417355	132417907	+	0.000	0.000	Merged-chr1-132417659-59
Merged-chr2-161097855-1	chr2	161097757	161097955	+	0.000	0.000	Merged-chr2-161097855-1
Merged-chr9-103112038-86	chr9	103111608	103112645	+	0.000	0.000	Merged-chr9-103112038-86
Merged-chr6-99360034-2	chr6	99359905	99360166	+	0.000	0.000	Merged-chr6-99360034-2
Merged-chr3-55419547-37	chr3	55419393	55419728	+	0.000	0.000	Merged-chr3-55419547-37
