#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR1775--MA0769.1.Tcf7	chr12	39649245	39649256	-	0.000	0.000	Merged-chr12-39649191-14
NR3432--MA0523.1.TCF7L2	chr16	25466154	25466167	+	0.000	0.000	Merged-chr16-25466054-6
NR23--MA1421.1.TCF7L1	chr1	15791838	15791849	+	0.000	0.000	Merged-chr1-15791984-23
NR5356--MA0523.1.TCF7L2	chr2	174389702	174389715	-	0.000	0.000	Merged-chr2-174389676-5
NR2753--MA0769.1.Tcf7	chr14	52248396	52248407	+	0.000	0.000	Merged-chr14-52248397-5
NR8173--MA0769.1.Tcf7	chr8	25769246	25769257	+	0.000	0.000	Merged-chr8-25769209-9
NR780--MA0769.1.Tcf7	chr10	19406887	19406898	-	0.000	0.000	Merged-chr10-19406936-14
NR5105--MA0769.1.Tcf7	chr2	132180715	132180726	+	0.000	0.000	Merged-chr2-132180846-32
NR6597--MA0523.1.TCF7L2	chr5	36140700	36140713	-	0.000	0.000	Merged-chr5-36140594-4
NR4391--MA0769.1.Tcf7	chr19	21547556	21547567	-	0.000	0.000	Merged-chr19-21547622-17
NR3060--MA1421.1.TCF7L1	chr15	25828686	25828697	-	0.000	0.000	Merged-chr15-25828667-44
NR670--MA1421.1.TCF7L1	chr1	184197590	184197601	-	0.000	0.000	Merged-chr1-184197455-33
NR2649--MA1421.1.TCF7L1	chr14	21078678	21078689	-	0.000	0.000	Merged-chr14-21078723-20
NR449--MA0523.1.TCF7L2	chr1	143993256	143993269	-	0.000	0.000	Merged-chr1-143993220-9
NR8505--MA0523.1.TCF7L2	chr8	128474084	128474097	-	0.000	0.000	Merged-chr8-128474080-29
NR7625--MA0769.1.Tcf7	chr6	146960240	146960251	-	0.000	0.000	Merged-chr6-146960171-26
NR5217--MA0769.1.Tcf7	chr2	150130342	150130353	+	0.000	0.000	Merged-chr2-150130462-1
NR8952--MA0769.1.Tcf7	chr9	114604275	114604286	-	0.000	0.000	Merged-chr9-114604237-4
NR1517--MA0523.1.TCF7L2	chr11	88430446	88430459	-	0.000	0.000	Merged-chr11-88430516-31
NR8529--MA1421.1.TCF7L1	chr9	14248415	14248426	-	0.000	0.000	Merged-chr9-14248366-20
NR148--MA0523.1.TCF7L2	chr1	64086071	64086084	+	0.000	0.000	Merged-chr1-64086002-50
NR3609--MA0523.1.TCF7L2	chr16	76575444	76575457	-	0.000	0.000	Merged-chr16-76575582-30
NR6971--MA0523.1.TCF7L2	chr5	140151348	140151361	+	0.000	0.000	Merged-chr5-140151320-8
NR4812--MA0769.1.Tcf7	chr2	65871125	65871136	-	0.000	0.000	Merged-chr2-65871141-19
NR3045--MA0523.1.TCF7L2	chr15	10447302	10447315	+	0.000	0.000	Merged-chr15-10447359-14
NR8706--MA0769.1.Tcf7	chr9	65084569	65084580	-	0.000	0.000	Merged-chr9-65084631-10
NR1341--MA0769.1.Tcf7	chr11	20035502	20035513	+	0.000	0.000	Merged-chr11-20035595-25
NR65--MA0769.1.Tcf7	chr1	36910447	36910458	+	0.000	0.000	Merged-chr1-36910479-15
NR186--MA0523.1.TCF7L2	chr1	80416614	80416627	-	0.000	0.000	Merged-chr1-80416536-28
NR3912--MA1421.1.TCF7L1	chr17	66110749	66110760	+	0.000	0.000	Merged-chr17-66110861-3
NR3744--MA1421.1.TCF7L1	chr17	8203542	8203553	+	0.000	0.000	Merged-chr17-8203608-6
NR8171--MA1421.1.TCF7L1	chr8	25769246	25769257	+	0.000	0.000	Merged-chr8-25769209-9
NR3251--MA0523.1.TCF7L2	chr15	84168877	84168890	-	0.000	0.000	Merged-chr15-84168860-11
NR6571--MA0769.1.Tcf7	chr5	22587659	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR2796--MA0523.1.TCF7L2	chr14	59202010	59202023	-	0.000	0.000	Merged-chr14-59201879-5
NR4888--MA0523.1.TCF7L2	chr2	84016487	84016500	-	0.000	0.000	Merged-chr2-84016424-23
NR1453--MA0769.1.Tcf7	chr11	68204521	68204532	-	0.000	0.000	Merged-chr11-68204624-12
NR7079--MA0769.1.Tcf7	chr6	18840340	18840351	+	0.000	0.000	Merged-chr6-18840381-6
NR1183--MA1421.1.TCF7L1	chr10	111422566	111422577	+	0.000	0.000	Merged-chr10-111422684-38
NR788--MA0523.1.TCF7L2	chr10	19965011	19965024	+	0.000	0.000	Merged-chr10-19965136-5
NR6584--MA0523.1.TCF7L2	chr5	28382468	28382481	-	0.000	0.000	Merged-chr5-28382451-39
NR3853--MA0523.1.TCF7L2	chr17	45342329	45342342	-	0.000	0.000	Merged-chr17-45342322-7
NR3400--MA0769.1.Tcf7	chr16	20480325	20480336	-	0.000	0.000	Merged-chr16-20480311-19
NR7107--MA1421.1.TCF7L1	chr6	34364727	34364738	+	0.000	0.000	Merged-chr6-34364838-25
NR4067--MA0523.1.TCF7L2	chr18	32543279	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR7473--MA0523.1.TCF7L2	chr6	120006467	120006480	+	0.000	0.000	Merged-chr6-120006378-7
NR400--MA1421.1.TCF7L1	chr1	136609083	136609094	-	0.000	0.000	Merged-chr1-136609076-3
NR8845--MA0769.1.Tcf7	chr9	92218022	92218033	+	0.000	0.000	Merged-chr9-92217904-40
NR3727--MA0769.1.Tcf7	chr17	3246828	3246839	+	0.000	0.000	Merged-chr17-3246798-10
NR4181--MA0769.1.Tcf7	chr18	61188290	61188301	-	0.000	0.000	Merged-chr18-61188282-36
NR9147--MA0769.1.Tcf7	chrX	134301655	134301666	-	0.000	0.000	Merged-chrX-134301547-11
NR539--MA0769.1.Tcf7	chr1	161480192	161480203	-	0.000	0.000	Merged-chr1-161480099-19
NR5726--MA0523.1.TCF7L2	chr3	108124338	108124351	+	0.000	0.000	Merged-chr3-108124378-33
NR3745--MA0769.1.Tcf7	chr17	8203542	8203553	+	0.000	0.000	Merged-chr17-8203608-6
NR9165--MA0769.1.Tcf7	chrX	153375286	153375297	-	0.000	0.000	Merged-chrX-153375365-26
NR1337--MA0769.1.Tcf7	chr11	16858778	16858789	-	0.000	0.000	Merged-chr11-16858803-1
NR7446--MA1421.1.TCF7L1	chr6	115560105	115560116	+	0.000	0.000	Merged-chr6-115560075-18
NR8760--MA1421.1.TCF7L1	chr9	77683541	77683552	+	0.000	0.000	Merged-chr9-77683679-29
NR3672--MA0523.1.TCF7L2	chr16	92307632	92307645	+	0.000	0.000	Merged-chr16-92307633-7
NR4547--MA1421.1.TCF7L1	chr2	5061514	5061525	+	0.000	0.000	Merged-chr2-5061621-34
NR5392--MA1421.1.TCF7L1	chr2	180104401	180104412	+	0.000	0.000	Merged-chr2-180104515-31
NR3087--MA0769.1.Tcf7	chr15	31649926	31649937	+	0.000	0.000	Merged-chr15-31649789-27
NR5111--MA0523.1.TCF7L2	chr2	132669231	132669244	+	0.000	0.000	Merged-chr2-132669439-31
NR4921--MA1421.1.TCF7L1	chr2	92948442	92948453	+	0.000	0.000	Merged-chr2-92948458-20
NR6677--MA1421.1.TCF7L1	chr5	64455648	64455659	-	0.000	0.000	Merged-chr5-64455679-15
NR388--MA0523.1.TCF7L2	chr1	133571485	133571498	+	0.000	0.000	Merged-chr1-133571423-3
NR575--MA0769.1.Tcf7	chr1	167296112	167296123	-	0.000	0.000	Merged-chr1-167296095-13
NR2139--MA0523.1.TCF7L2	chr13	3479835	3479848	+	0.000	0.000	Merged-chr13-3479941-4
NR8373--MA1421.1.TCF7L1	chr8	95247524	95247535	+	0.000	0.000	Merged-chr8-95247520-25
NR8626--MA0769.1.Tcf7	chr9	43242567	43242578	-	0.000	0.000	Merged-chr9-43242516-24
NR4100--MA1421.1.TCF7L1	chr18	38584853	38584864	-	0.000	0.000	Merged-chr18-38584729-14
NR1109--MA0769.1.Tcf7	chr10	96201432	96201443	+	0.000	0.000	Merged-chr10-96201472-66
NR7241--MA0523.1.TCF7L2	chr6	67184933	67184946	+	0.000	0.000	Merged-chr6-67184785-39
NR6697--MA0769.1.Tcf7	chr5	67930823	67930834	-	0.000	0.000	Merged-chr5-67930859-12
NR7097--MA1421.1.TCF7L1	chr6	30677300	30677311	+	0.000	0.000	Merged-chr6-30677356-3
NR4965--MA0769.1.Tcf7	chr2	104459121	104459132	+	0.000	0.000	Merged-chr2-104459041-25
NR7843--MA0523.1.TCF7L2	chr7	84624645	84624658	+	0.000	0.000	Merged-chr7-84624790-8
NR799--MA0769.1.Tcf7	chr10	24111229	24111240	-	0.000	0.000	Merged-chr10-24111264-14
NR5267--MA0769.1.Tcf7	chr2	158723968	158723979	-	0.000	0.000	Merged-chr2-158724013-3
NR1538--MA0523.1.TCF7L2	chr11	96058765	96058778	+	0.000	0.000	Merged-chr11-96058605-21
NR8057--MA0523.1.TCF7L2	chr7	132773117	132773130	+	0.000	0.000	Merged-chr7-132773147-79
NR5775--MA1421.1.TCF7L1	chr3	117044690	117044701	+	0.000	0.000	Merged-chr3-117044595-20
NR902--MA0769.1.Tcf7	chr10	54255357	54255368	+	0.000	0.000	Merged-chr10-54255218-57
NR5819--MA1421.1.TCF7L1	chr3	126834995	126835006	+	0.000	0.000	Merged-chr3-126834809-55
NR1127--MA0769.1.Tcf7	chr10	99211278	99211289	-	0.000	0.000	Merged-chr10-99211365-70
NR5423--MA1421.1.TCF7L1	chr3	21995859	21995870	+	0.000	0.000	Merged-chr3-21996009-51
NR490--MA0769.1.Tcf7	chr1	152053401	152053412	+	0.000	0.000	Merged-chr1-152053412-31
NR1166--MA1421.1.TCF7L1	chr10	109115281	109115292	-	0.000	0.000	Merged-chr10-109115316-22
NR3258--MA1421.1.TCF7L1	chr15	85042792	85042803	-	0.000	0.000	Merged-chr15-85042702-72
NR4572--MA1421.1.TCF7L1	chr2	11441904	11441915	-	0.000	0.000	Merged-chr2-11441982-17
NR1912--MA0523.1.TCF7L2	chr12	79692291	79692304	-	0.000	0.000	Merged-chr12-79692424-46
NR1744--MA0523.1.TCF7L2	chr12	31621765	31621778	+	0.000	0.000	Merged-chr12-31621788-10
NR8588--MA1421.1.TCF7L1	chr9	35007272	35007283	+	0.000	0.000	Merged-chr9-35007274-11
NR2223--MA1421.1.TCF7L1	chr13	35842034	35842045	-	0.000	0.000	Merged-chr13-35841945-14
NR7624--MA0523.1.TCF7L2	chr6	146960238	146960251	-	0.000	0.000	Merged-chr6-146960171-26
NR8662--MA0769.1.Tcf7	chr9	51185627	51185638	+	0.000	0.000	Merged-chr9-51185836-35
NR215--MA1421.1.TCF7L1	chr1	85335693	85335704	+	0.000	0.000	Merged-chr1-85335844-5
NR8697--MA0523.1.TCF7L2	chr9	61745321	61745334	+	0.000	0.000	Merged-chr9-61745239-9
NR2728--MA0523.1.TCF7L2	chr14	45009529	45009542	-	0.000	0.000	Merged-chr14-45009601-8
NR8962--MA1421.1.TCF7L1	chr9	116187525	116187536	-	0.000	0.000	Merged-chr9-116187633-9
NR7447--MA0769.1.Tcf7	chr6	115560105	115560116	+	0.000	0.000	Merged-chr6-115560075-18
NR4522--MA0769.1.Tcf7	chr19	59926319	59926330	-	0.000	0.000	Merged-chr19-59926305-20
NR5397--MA0769.1.Tcf7	chr2	181483763	181483774	-	0.000	0.000	Merged-chr2-181483913-67
NR356--MA0769.1.Tcf7	chr1	127230616	127230627	+	0.000	0.000	Merged-chr1-127230692-27
NR1115--MA1421.1.TCF7L1	chr10	96955127	96955138	+	0.000	0.000	Merged-chr10-96955164-15
NR6516--MA0523.1.TCF7L2	chr4	152042417	152042430	+	0.000	0.000	Merged-chr4-152042286-12
NR8416--MA0769.1.Tcf7	chr8	111527379	111527390	+	0.000	0.000	Merged-chr8-111527388-53
NR1933--MA0769.1.Tcf7	chr12	84270077	84270088	-	0.000	0.000	Merged-chr12-84270208-31
NR253--MA1421.1.TCF7L1	chr1	91625898	91625909	-	0.000	0.000	Merged-chr1-91625866-1
NR7854--MA1421.1.TCF7L1	chr7	90081893	90081904	-	0.000	0.000	Merged-chr7-90081975-11
NR5612--MA0769.1.Tcf7	chr3	89892614	89892625	-	0.000	0.000	Merged-chr3-89892725-25
NR7193--MA0523.1.TCF7L2	chr6	55256721	55256734	-	0.000	0.000	Merged-chr6-55256807-22
NR2598--MA0523.1.TCF7L2	chr14	7832268	7832281	-	0.000	0.000	Merged-chr14-7832137-26
NR5145--MA0523.1.TCF7L2	chr2	139925146	139925159	+	0.000	0.000	Merged-chr2-139925145-30
NR7290--MA1421.1.TCF7L1	chr6	83437430	83437441	-	0.000	0.000	Merged-chr6-83437448-19
NR4630--MA0523.1.TCF7L2	chr2	30648125	30648138	+	0.000	0.000	Merged-chr2-30648109-4
NR2370--MA0523.1.TCF7L2	chr13	74480467	74480480	-	0.000	0.000	Merged-chr13-74480588-11
NR758--MA0523.1.TCF7L2	chr10	13446870	13446883	-	0.000	0.000	Merged-chr10-13446841-15
NR2394--MA1421.1.TCF7L1	chr13	83609300	83609311	-	0.000	0.000	Merged-chr13-83609359-62
NR6393--MA0769.1.Tcf7	chr4	124819037	124819048	-	0.000	0.000	Merged-chr4-124819044-3
NR7839--MA0523.1.TCF7L2	chr7	84143204	84143217	-	0.000	0.000	Merged-chr7-84143230-35
NR1275--MA0769.1.Tcf7	chr10	122604119	122604130	+	0.000	0.000	Merged-chr10-122604110-13
NR1755--MA1421.1.TCF7L1	chr12	34143172	34143183	+	0.000	0.000	Merged-chr12-34143068-3
NR4134--MA1421.1.TCF7L1	chr18	53411604	53411615	+	0.000	0.000	Merged-chr18-53411654-14
NR280--MA0769.1.Tcf7	chr1	95375654	95375665	-	0.000	0.000	Merged-chr1-95375799-8
NR5845--MA0769.1.Tcf7	chr3	131200062	131200073	-	0.000	0.000	Merged-chr3-131199992-32
NR7689--MA0769.1.Tcf7	chr7	24468103	24468114	-	0.000	0.000	Merged-chr7-24468111-23
NR7071--MA1421.1.TCF7L1	chr6	15716969	15716980	-	0.000	0.000	Merged-chr6-15716932-11
NR9163--MA1421.1.TCF7L1	chrX	153375286	153375297	-	0.000	0.000	Merged-chrX-153375365-26
NR6503--MA0523.1.TCF7L2	chr4	149880103	149880116	+	0.000	0.000	Merged-chr4-149880219-52
NR916--MA0769.1.Tcf7	chr10	59431006	59431017	-	0.000	0.000	Merged-chr10-59431050-41
NR8890--MA0523.1.TCF7L2	chr9	102587425	102587438	-	0.000	0.000	Merged-chr9-102587549-11
NR7180--MA0523.1.TCF7L2	chr6	53986269	53986282	-	0.000	0.000	Merged-chr6-53986314-10
NR8633--MA0523.1.TCF7L2	chr9	44954573	44954586	+	0.000	0.000	Merged-chr9-44954642-27
NR7134--MA0769.1.Tcf7	chr6	41113489	41113500	+	0.000	0.000	Merged-chr6-41113305-59
NR5299--MA0769.1.Tcf7	chr2	164534498	164534509	-	0.000	0.000	Merged-chr2-164534526-17
NR2025--MA0769.1.Tcf7	chr12	105538348	105538359	+	0.000	0.000	Merged-chr12-105538395-6
NR5760--MA0769.1.Tcf7	chr3	115704660	115704671	-	0.000	0.000	Merged-chr3-115704719-34
NR8318--MA0769.1.Tcf7	chr8	81735892	81735903	-	0.000	0.000	Merged-chr8-81736050-71
NR4121--MA1421.1.TCF7L1	chr18	46181992	46182003	+	0.000	0.000	Merged-chr18-46182052-26
NR8208--MA0523.1.TCF7L2	chr8	36010599	36010612	+	0.000	0.000	Merged-chr8-36010714-39
NR5758--MA1421.1.TCF7L1	chr3	115704660	115704671	-	0.000	0.000	Merged-chr3-115704719-34
NR5265--MA0523.1.TCF7L2	chr2	158723985	158723998	+	0.000	0.000	Merged-chr2-158724013-3
NR7622--MA1421.1.TCF7L1	chr6	146481568	146481579	+	0.000	0.000	Merged-chr6-146481511-38
NR7922--MA0769.1.Tcf7	chr7	110630451	110630462	+	0.000	0.000	Merged-chr7-110630391-39
NR5872--MA0769.1.Tcf7	chr3	135689318	135689329	+	0.000	0.000	Merged-chr3-135689426-65
NR6999--MA1421.1.TCF7L1	chr5	147063481	147063492	+	0.000	0.000	Merged-chr5-147063758-85
NR4626--MA0523.1.TCF7L2	chr2	29666797	29666810	-	0.000	0.000	Merged-chr2-29666836-9
NR3775--MA0523.1.TCF7L2	chr17	21661845	21661858	+	0.000	0.000	Merged-chr17-21661730-8
NR358--MA0523.1.TCF7L2	chr1	127348985	127348998	-	0.000	0.000	Merged-chr1-127349004-28
NR130--MA0523.1.TCF7L2	chr1	60883020	60883033	-	0.000	0.000	Merged-chr1-60883000-15
NR8130--MA0769.1.Tcf7	chr8	8343178	8343189	+	0.000	0.000	Merged-chr8-8343206-7
NR5515--MA0523.1.TCF7L2	chr3	61368867	61368880	+	0.000	0.000	Merged-chr3-61368860-22
NR4086--MA1421.1.TCF7L1	chr18	34827759	34827770	-	0.000	0.000	Merged-chr18-34827772-23
NR7607--MA0523.1.TCF7L2	chr6	145285831	145285844	-	0.000	0.000	Merged-chr6-145285757-35
NR7660--MA1421.1.TCF7L1	chr7	12987584	12987595	-	0.000	0.000	Merged-chr7-12987633-12
NR7264--MA0769.1.Tcf7	chr6	70911287	70911298	-	0.000	0.000	Merged-chr6-70911347-11
NR3981--MA0523.1.TCF7L2	chr17	85189616	85189629	+	0.000	0.000	Merged-chr17-85189630-51
NR732--MA0523.1.TCF7L2	chr10	6954707	6954720	-	0.000	0.000	Merged-chr10-6954726-16
NR8620--MA0523.1.TCF7L2	chr9	42423787	42423800	+	0.000	0.000	Merged-chr9-42423784-11
NR2808--MA1421.1.TCF7L1	chr14	62008766	62008777	-	0.000	0.000	Merged-chr14-62008910-32
NR706--MA0769.1.Tcf7	chr1	191486653	191486664	-	0.000	0.000	Merged-chr1-191486758-12
NR2244--MA1421.1.TCF7L1	chr13	42049142	42049153	+	0.000	0.000	Merged-chr13-42049130-34
NR4102--MA0769.1.Tcf7	chr18	38701046	38701057	+	0.000	0.000	Merged-chr18-38700911-27
NR192--MA1421.1.TCF7L1	chr1	82429188	82429199	+	0.000	0.000	Merged-chr1-82429225-23
NR2934--MA0769.1.Tcf7	chr14	103350073	103350084	+	0.000	0.000	Merged-chr14-103350207-1
NR818--MA0769.1.Tcf7	chr10	25918280	25918291	+	0.000	0.000	Merged-chr10-25918351-16
NR3030--MA0769.1.Tcf7	chr15	6726643	6726654	-	0.000	0.000	Merged-chr15-6726597-28
NR7176--MA0523.1.TCF7L2	chr6	53706591	53706604	+	0.000	0.000	Merged-chr6-53706669-3
NR8490--MA0523.1.TCF7L2	chr8	126826118	126826131	-	0.000	0.000	Merged-chr8-126826357-7
NR1898--MA0523.1.TCF7L2	chr12	76932795	76932808	-	0.000	0.000	Merged-chr12-76932922-30
NR6634--MA1421.1.TCF7L1	chr5	45790462	45790473	-	0.000	0.000	Merged-chr5-45790409-20
NR345--MA0523.1.TCF7L2	chr1	119795335	119795348	-	0.000	0.000	Merged-chr1-119795246-28
NR7778--MA0523.1.TCF7L2	chr7	67911887	67911900	+	0.000	0.000	Merged-chr7-67912081-16
NR3903--MA1421.1.TCF7L1	chr17	63404159	63404170	-	0.000	0.000	Merged-chr17-63404255-16
NR4120--MA0769.1.Tcf7	chr18	46176304	46176315	+	0.000	0.000	Merged-chr18-46176178-68
NR2285--MA0769.1.Tcf7	chr13	52008128	52008139	-	0.000	0.000	Merged-chr13-52008191-11
NR2955--MA0523.1.TCF7L2	chr14	108374020	108374033	+	0.000	0.000	Merged-chr14-108373968-8
NR5502--MA0523.1.TCF7L2	chr3	60124187	60124200	+	0.000	0.000	Merged-chr3-60124423-36
NR4073--MA1421.1.TCF7L1	chr18	33060123	33060134	-	0.000	0.000	Merged-chr18-33060171-12
NR2391--MA0523.1.TCF7L2	chr13	81762061	81762074	+	0.000	0.000	Merged-chr13-81761926-24
NR8014--MA0769.1.Tcf7	chr7	125561321	125561332	-	0.000	0.000	Merged-chr7-125561411-29
NR779--MA0523.1.TCF7L2	chr10	19406885	19406898	-	0.000	0.000	Merged-chr10-19406936-14
NR4590--MA0769.1.Tcf7	chr2	17855732	17855743	-	0.000	0.000	Merged-chr2-17855738-13
NR3844--MA0523.1.TCF7L2	chr17	44336877	44336890	+	0.000	0.000	Merged-chr17-44337024-21
NR8699--MA0769.1.Tcf7	chr9	61791157	61791168	+	0.000	0.000	Merged-chr9-61791076-24
NR6599--MA1421.1.TCF7L1	chr5	36140747	36140758	+	0.000	0.000	Merged-chr5-36140594-4
NR9146--MA1421.1.TCF7L1	chrX	134301655	134301666	-	0.000	0.000	Merged-chrX-134301547-11
NR3375--MA0769.1.Tcf7	chr16	10399306	10399317	-	0.000	0.000	Merged-chr16-10399279-20
NR2993--MA0523.1.TCF7L2	chr14	121353971	121353984	-	0.000	0.000	Merged-chr14-121354142-24
NR6781--MA0523.1.TCF7L2	chr5	96254009	96254022	-	0.000	0.000	Merged-chr5-96254113-8
NR187--MA0769.1.Tcf7	chr1	80416616	80416627	-	0.000	0.000	Merged-chr1-80416536-28
NR5396--MA1421.1.TCF7L1	chr2	181483763	181483774	-	0.000	0.000	Merged-chr2-181483913-67
NR7207--MA0523.1.TCF7L2	chr6	59451110	59451123	-	0.000	0.000	Merged-chr6-59451158-16
NR2340--MA0523.1.TCF7L2	chr13	63512582	63512595	+	0.000	0.000	Merged-chr13-63512619-6
NR3047--MA1421.1.TCF7L1	chr15	11489301	11489312	-	0.000	0.000	Merged-chr15-11489207-4
NR5649--MA0769.1.Tcf7	chr3	97274117	97274128	+	0.000	0.000	Merged-chr3-97274158-19
NR3702--MA0769.1.Tcf7	chr16	95900264	95900275	+	0.000	0.000	Merged-chr16-95900278-53
NR3908--MA0769.1.Tcf7	chr17	64755349	64755360	+	0.000	0.000	Merged-chr17-64755359-24
NR6618--MA0769.1.Tcf7	chr5	38632724	38632735	-	0.000	0.000	Merged-chr5-38632599-22
NR1108--MA0523.1.TCF7L2	chr10	96201432	96201445	+	0.000	0.000	Merged-chr10-96201472-66
NR4689--MA0769.1.Tcf7	chr2	44528730	44528741	-	0.000	0.000	Merged-chr2-44528768-19
NR7399--MA0769.1.Tcf7	chr6	101359851	101359862	-	0.000	0.000	Merged-chr6-101359900-41
NR4538--MA1421.1.TCF7L1	chr2	4298905	4298916	+	0.000	0.000	Merged-chr2-4299012-15
NR1763--MA1421.1.TCF7L1	chr12	35682247	35682258	-	0.000	0.000	Merged-chr12-35682263-36
NR8860--MA0523.1.TCF7L2	chr9	96696536	96696549	-	0.000	0.000	Merged-chr9-96696442-50
NR6636--MA0769.1.Tcf7	chr5	45790462	45790473	-	0.000	0.000	Merged-chr5-45790409-20
NR2863--MA0769.1.Tcf7	chr14	73416718	73416729	+	0.000	0.000	Merged-chr14-73416835-27
NR4904--MA0769.1.Tcf7	chr2	84837928	84837939	+	0.000	0.000	Merged-chr2-84838147-43
NR1013--MA0523.1.TCF7L2	chr10	77939212	77939225	+	0.000	0.000	Merged-chr10-77939444-16
NR8489--MA0769.1.Tcf7	chr8	126687068	126687079	+	0.000	0.000	Merged-chr8-126687126-29
NR8950--MA0769.1.Tcf7	chr9	114592577	114592588	-	0.000	0.000	Merged-chr9-114592565-4
NR9118--MA0523.1.TCF7L2	chrX	100789427	100789440	-	0.000	0.000	Merged-chrX-100789555-32
NR6511--MA0523.1.TCF7L2	chr4	150517642	150517655	-	0.000	0.000	Merged-chr4-150517532-35
NR1791--MA0769.1.Tcf7	chr12	41168055	41168066	+	0.000	0.000	Merged-chr12-41167989-46
NR6343--MA0523.1.TCF7L2	chr4	108081138	108081151	+	0.000	0.000	Merged-chr4-108081239-19
NR8435--MA0523.1.TCF7L2	chr8	115237246	115237259	+	0.000	0.000	Merged-chr8-115237313-17
NR6175--MA0523.1.TCF7L2	chr4	56944535	56944548	-	0.000	0.000	Merged-chr4-56944579-16
NR5704--MA0523.1.TCF7L2	chr3	103640395	103640408	-	0.000	0.000	Merged-chr3-103640406-6
NR5112--MA0769.1.Tcf7	chr2	132669231	132669242	+	0.000	0.000	Merged-chr2-132669439-31
NR6945--MA0523.1.TCF7L2	chr5	134482452	134482465	+	0.000	0.000	Merged-chr5-134482403-23
NR1545--MA0769.1.Tcf7	chr11	96996726	96996737	-	0.000	0.000	Merged-chr11-96996617-51
NR7990--MA0769.1.Tcf7	chr7	121969012	121969023	-	0.000	0.000	Merged-chr7-121969039-14
NR5500--MA1421.1.TCF7L1	chr3	59277951	59277962	+	0.000	0.000	Merged-chr3-59277984-20
NR5164--MA1421.1.TCF7L1	chr2	144337632	144337643	-	0.000	0.000	Merged-chr2-144337496-16
NR2514--MA0769.1.Tcf7	chr13	108763551	108763562	-	0.000	0.000	Merged-chr13-108763497-25
NR6221--MA1421.1.TCF7L1	chr4	71291707	71291718	-	0.000	0.000	Merged-chr4-71291736-94
NR868--MA0769.1.Tcf7	chr10	43519934	43519945	-	0.000	0.000	Merged-chr10-43520023-14
NR2008--MA1421.1.TCF7L1	chr12	100165291	100165302	+	0.000	0.000	Merged-chr12-100165165-51
NR1769--MA0769.1.Tcf7	chr12	35916008	35916019	+	0.000	0.000	Merged-chr12-35915902-9
NR1157--MA1421.1.TCF7L1	chr10	106614442	106614453	-	0.000	0.000	Merged-chr10-106614389-7
NR4264--MA0769.1.Tcf7	chr18	77121613	77121624	+	0.000	0.000	Merged-chr18-77121790-35
NR9105--MA0523.1.TCF7L2	chrX	85737705	85737718	-	0.000	0.000	Merged-chrX-85737636-10
NR5113--MA1421.1.TCF7L1	chr2	132691812	132691823	+	0.000	0.000	Merged-chr2-132691913-20
NR7205--MA1421.1.TCF7L1	chr6	59249911	59249922	+	0.000	0.000	Merged-chr6-59249784-14
NR2117--MA0523.1.TCF7L2	chr12	117761967	117761980	-	0.000	0.000	Merged-chr12-117761862-24
NR4209--MA0523.1.TCF7L2	chr18	67239303	67239316	-	0.000	0.000	Merged-chr18-67239336-22
NR4170--MA0769.1.Tcf7	chr18	60375876	60375887	-	0.000	0.000	Merged-chr18-60375896-42
NR6186--MA1421.1.TCF7L1	chr4	58121160	58121171	-	0.000	0.000	Merged-chr4-58121225-3
NR4840--MA0523.1.TCF7L2	chr2	72282256	72282269	-	0.000	0.000	Merged-chr2-72282447-88
NR8050--MA1421.1.TCF7L1	chr7	132356463	132356474	-	0.000	0.000	Merged-chr7-132356427-27
NR8946--MA0769.1.Tcf7	chr9	114455646	114455657	-	0.000	0.000	Merged-chr9-114455654-16
NR5054--MA0523.1.TCF7L2	chr2	120502274	120502287	+	0.000	0.000	Merged-chr2-120502347-30
NR4599--MA0523.1.TCF7L2	chr2	19050361	19050374	+	0.000	0.000	Merged-chr2-19050158-33
NR1572--MA0769.1.Tcf7	chr11	101199604	101199615	+	0.000	0.000	Merged-chr11-101199720-6
NR2816--MA1421.1.TCF7L1	chr14	64182429	64182440	+	0.000	0.000	Merged-chr14-64182620-14
NR5260--MA0769.1.Tcf7	chr2	157746753	157746764	+	0.000	0.000	Merged-chr2-157746803-36
NR3732--MA0523.1.TCF7L2	chr17	5429667	5429680	+	0.000	0.000	Merged-chr17-5429677-39
NR1899--MA0769.1.Tcf7	chr12	76932797	76932808	-	0.000	0.000	Merged-chr12-76932922-30
NR7352--MA0523.1.TCF7L2	chr6	95682809	95682822	-	0.000	0.000	Merged-chr6-95682989-10
NR4453--MA0523.1.TCF7L2	chr19	44282725	44282738	-	0.000	0.000	Merged-chr19-44282748-31
