#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed
NR68935--MA0493.1.Klf1	chr9	58112455	58112465	+	0.000	0.000	Merged-chr9-58112486-25
NR3385--MA0599.1.KLF5	chr1	159232147	159232156	+	0.000	0.000	Merged-chr1-159232355-108
NR39701--MA0493.1.Klf1	chr2	168159010	168159020	+	0.000	0.000	Merged-chr2-168159188-34
NR7252--MA0741.1.KLF16	chr10	81320716	81320726	+	0.000	0.000	Merged-chr10-81320765-75
NR50392--MA0741.1.KLF16	chr5	52833919	52833929	+	0.000	0.000	Merged-chr5-52834011-78
NR16725--MA0599.1.KLF5	chr13	43192069	43192078	+	0.000	0.000	Merged-chr13-43191968-21
NR65930--MA0599.1.KLF5	chr8	85037143	85037152	-	0.000	0.000	Merged-chr8-85037291-15
NR57151--MA0742.1.Klf12	chr6	118139189	118139203	+	0.000	0.000	Merged-chr6-118139138-58
NR45058--MA1107.1.KLF9	chr4	41773635	41773647	+	0.000	0.000	Merged-chr4-41773956-119
NR50893--MA0493.1.Klf1	chr5	73490933	73490943	-	0.000	0.000	Merged-chr5-73491046-72
NR14326--MA0599.1.KLF5	chr12	65258708	65258717	-	0.000	0.000	Merged-chr12-65258774-28
NR3027--MA0599.1.KLF5	chr1	152290915	152290924	-	0.000	0.000	Merged-chr1-152291044-22
NR34718--MA0599.1.KLF5	chr2	4559559	4559568	+	0.000	0.000	Merged-chr2-4559721-92
NR14111--MA0599.1.KLF5	chr12	52383148	52383157	-	0.000	0.000	Merged-chr12-52383146-23
NR57277--MA1107.1.KLF9	chr6	120464176	120464188	+	0.000	0.000	Merged-chr6-120464092-4
NR939--MA1107.1.KLF9	chr1	62049762	62049774	+	0.000	0.000	Merged-chr1-62049803-1
NR54352--MA1107.1.KLF9	chr5	149846992	149847004	-	0.000	0.000	Merged-chr5-149846777-12
NR3909--MA0599.1.KLF5	chr1	171060404	171060413	-	0.000	0.000	Merged-chr1-171060539-31
NR20910--MA0599.1.KLF5	chr14	70766806	70766815	-	0.000	0.000	Merged-chr14-70766772-69
NR66232--MA0599.1.KLF5	chr8	95534061	95534070	+	0.000	0.000	Merged-chr8-95534115-30
NR46700--MA0741.1.KLF16	chr4	108328003	108328013	-	0.000	0.000	Merged-chr4-108328034-82
NR38088--MA0599.1.KLF5	chr2	124610504	124610513	-	0.000	0.000	Merged-chr2-124610315-43
NR31880--MA0741.1.KLF16	chr18	64527557	64527567	+	0.000	0.000	Merged-chr18-64527556-47
NR72565--MA0741.1.KLF16	chrX	136708341	136708351	-	0.000	0.000	Merged-chrX-136708336-25
NR36794--MA0493.1.Klf1	chr2	76648244	76648254	+	0.000	0.000	Merged-chr2-76648077-91
NR49771--MA1107.1.KLF9	chr5	27995451	27995463	-	0.000	0.000	Merged-chr5-27995403-19
NR57413--MA0741.1.KLF16	chr6	124663032	124663042	+	0.000	0.000	Merged-chr6-124662986-64
NR66213--MA1107.1.KLF9	chr8	95369791	95369803	+	0.000	0.000	Merged-chr8-95369863-17
NR33511--MA0493.1.Klf1	chr19	23447338	23447348	-	0.000	0.000	Merged-chr19-23447568-37
NR41604--MA0599.1.KLF5	chr3	87488049	87488058	+	0.000	0.000	Merged-chr3-87488125-17
NR64500--MA0599.1.KLF5	chr8	27159400	27159409	+	0.000	0.000	Merged-chr8-27159514-57
NR36356--MA0599.1.KLF5	chr2	60866159	60866168	-	0.000	0.000	Merged-chr2-60866104-15
NR55536--MA1107.1.KLF9	chr6	54228988	54229000	-	0.000	0.000	Merged-chr6-54229087-24
NR14843--MA0741.1.KLF16	chr12	85486976	85486986	-	0.000	0.000	Merged-chr12-85486872-12
NR54492--MA0599.1.KLF5	chr6	6217149	6217158	+	0.000	0.000	Merged-chr6-6217012-81
NR24804--MA0599.1.KLF5	chr15	100723865	100723874	-	0.000	0.000	Merged-chr15-100723788-13
NR35492--MA0741.1.KLF16	chr2	28698443	28698453	+	0.000	0.000	Merged-chr2-28698593-11
NR25490--MA0741.1.KLF16	chr16	18426573	18426583	-	0.000	0.000	Merged-chr16-18426465-56
NR50066--MA0742.1.Klf12	chr5	36484397	36484411	+	0.000	0.000	Merged-chr5-36484302-70
NR68822--MA0039.3.KLF4	chr9	55410729	55410739	+	0.000	0.000	Merged-chr9-55410514-19
NR61233--MA0741.1.KLF16	chr7	80883235	80883245	+	0.000	0.000	Merged-chr7-80883247-35
NR15554--MA0741.1.KLF16	chr12	108275432	108275442	+	0.000	0.000	Merged-chr12-108275445-64
NR23210--MA0741.1.KLF16	chr15	64113261	64113271	+	0.000	0.000	Merged-chr15-64113403-29
NR43457--MA0599.1.KLF5	chr3	135307614	135307623	+	0.000	0.000	Merged-chr3-135307763-66
NR3478--MA1107.1.KLF9	chr1	162477004	162477016	+	0.000	0.000	Merged-chr1-162477062-12
NR46747--MA0741.1.KLF16	chr4	109229939	109229949	+	0.000	0.000	Merged-chr4-109229977-29
NR72476--MA0599.1.KLF5	chrX	109011823	109011832	-	0.000	0.000	Merged-chrX-109011957-30
NR6188--MA1107.1.KLF9	chr10	61233349	61233361	+	0.000	0.000	Merged-chr10-61233317-40
NR41658--MA0740.1.KLF14	chr3	88367248	88367261	-	0.000	0.000	Merged-chr3-88367194-37
NR44796--MA0741.1.KLF16	chr4	32481948	32481958	-	0.000	0.000	Merged-chr4-32481815-19
NR16980--MA0741.1.KLF16	chr13	52929728	52929738	+	0.000	0.000	Merged-chr13-52929606-61
NR38956--MA0493.1.Klf1	chr2	151974371	151974381	-	0.000	0.000	Merged-chr2-151974232-5
NR44793--MA0599.1.KLF5	chr4	32481942	32481951	-	0.000	0.000	Merged-chr4-32481815-19
NR50422--MA0039.3.KLF4	chr5	53605580	53605590	-	0.000	0.000	Merged-chr5-53605625-25
NR65321--MA0741.1.KLF16	chr8	70601369	70601379	+	0.000	0.000	Merged-chr8-70601430-20
NR52723--MA0741.1.KLF16	chr5	124729823	124729833	+	0.000	0.000	Merged-chr5-124729814-15
NR52065--MA1107.1.KLF9	chr5	113907362	113907374	+	0.000	0.000	Merged-chr5-113907303-11
NR31078--MA0742.1.Klf12	chr18	25487084	25487098	+	0.000	0.000	Merged-chr18-25487147-80
NR41182--MA1107.1.KLF9	chr3	61344350	61344362	+	0.000	0.000	Merged-chr3-61344207-16
NR50772--MA0741.1.KLF16	chr5	66620372	66620382	-	0.000	0.000	Merged-chr5-66620441-17
NR22073--MA0493.1.Klf1	chr14	121346321	121346331	-	0.000	0.000	Merged-chr14-121346317-26
NR55114--MA0741.1.KLF16	chr6	42265970	42265980	+	0.000	0.000	Merged-chr6-42265930-9
NR35951--MA0599.1.KLF5	chr2	37703408	37703417	-	0.000	0.000	Merged-chr2-37703369-89
NR49544--MA0599.1.KLF5	chr5	21055971	21055980	+	0.000	0.000	Merged-chr5-21055956-115
NR19437--MA0741.1.KLF16	chr14	20803633	20803643	+	0.000	0.000	Merged-chr14-20803678-27
NR56048--MA0039.3.KLF4	chr6	83795136	83795146	+	0.000	0.000	Merged-chr6-83795051-68
NR61902--MA0599.1.KLF5	chr7	105554376	105554385	-	0.000	0.000	Merged-chr7-105554530-56
NR3473--MA0039.3.KLF4	chr1	162476925	162476935	+	0.000	0.000	Merged-chr1-162477062-12
NR24373--MA1107.1.KLF9	chr15	93374730	93374742	-	0.000	0.000	Merged-chr15-93374795-20
NR11992--MA0599.1.KLF5	chr11	98348223	98348232	+	0.000	0.000	Merged-chr11-98348383-15
NR51278--MA0741.1.KLF16	chr5	93093413	93093423	-	0.000	0.000	Merged-chr5-93093423-108
NR56811--MA0741.1.KLF16	chr6	108164543	108164553	+	0.000	0.000	Merged-chr6-108164455-4
NR28199--MA0741.1.KLF16	chr17	27027665	27027675	-	0.000	0.000	Merged-chr17-27027661-33
NR54860--MA0741.1.KLF16	chr6	30617392	30617402	+	0.000	0.000	Merged-chr6-30617295-15
NR6729--MA0741.1.KLF16	chr10	75835761	75835771	+	0.000	0.000	Merged-chr10-75835813-94
NR71046--MA0599.1.KLF5	chr9	114613181	114613190	-	0.000	0.000	Merged-chr9-114613191-38
NR19453--MA0599.1.KLF5	chr14	21750476	21750485	+	0.000	0.000	Merged-chr14-21750492-17
NR72462--MA0493.1.Klf1	chrX	106135870	106135880	+	0.000	0.000	Merged-chrX-106135909-80
NR44924--MA0741.1.KLF16	chr4	35225876	35225886	+	0.000	0.000	Merged-chr4-35225977-93
NR9835--MA0741.1.KLF16	chr11	35838508	35838518	-	0.000	0.000	Merged-chr11-35838525-24
NR39845--MA0599.1.KLF5	chr2	170324280	170324289	-	0.000	0.000	Merged-chr2-170324293-28
NR57046--MA0741.1.KLF16	chr6	114936721	114936731	+	0.000	0.000	Merged-chr6-114936685-54
NR49358--MA0740.1.KLF14	chr5	14514912	14514925	-	0.000	0.000	Merged-chr5-14515082-42
NR36234--MA1107.1.KLF9	chr2	55437051	55437063	+	0.000	0.000	Merged-chr2-55437134-25
NR12294--MA0599.1.KLF5	chr11	102393429	102393438	-	0.000	0.000	Merged-chr11-102393451-21
NR71713--MA0599.1.KLF5	chrX	9662918	9662927	-	0.000	0.000	Merged-chrX-9662792-75
NR45404--MA0599.1.KLF5	chr4	47353243	47353252	-	0.000	0.000	Merged-chr4-47353168-65
NR42768--MA0741.1.KLF16	chr3	115897927	115897937	+	0.000	0.000	Merged-chr3-115897908-5
NR403--MA0599.1.KLF5	chr1	36883998	36884007	-	0.000	0.000	Merged-chr1-36883943-16
NR3036--MA0599.1.KLF5	chr1	152733292	152733301	+	0.000	0.000	Merged-chr1-152733286-16
NR63540--MA0599.1.KLF5	chr7	139388737	139388746	-	0.000	0.000	Merged-chr7-139388959-78
NR18676--MA0493.1.Klf1	chr13	110394993	110395003	+	0.000	0.000	Merged-chr13-110394904-109
NR7297--MA0599.1.KLF5	chr10	81433023	81433032	-	0.000	0.000	Merged-chr10-81433026-44
NR54012--MA1107.1.KLF9	chr5	143485025	143485037	+	0.000	0.000	Merged-chr5-143485209-17
NR22527--MA0740.1.KLF14	chr15	28025655	28025668	+	0.000	0.000	Merged-chr15-28025754-115
NR15608--MA0493.1.Klf1	chr12	108686585	108686595	-	0.000	0.000	Merged-chr12-108686639-7
NR29264--MA0599.1.KLF5	chr17	47925473	47925482	-	0.000	0.000	Merged-chr17-47925435-1
NR38534--MA0741.1.KLF16	chr2	139776490	139776500	-	0.000	0.000	Merged-chr2-139776654-18
NR61686--MA1107.1.KLF9	chr7	99535049	99535061	+	0.000	0.000	Merged-chr7-99535229-9
NR30849--MA0740.1.KLF14	chr18	6136237	6136250	-	0.000	0.000	Merged-chr18-6136132-113
NR23985--MA0741.1.KLF16	chr15	83205228	83205238	-	0.000	0.000	Merged-chr15-83205313-23
NR16934--MA0039.3.KLF4	chr13	51738772	51738782	-	0.000	0.000	Merged-chr13-51738760-6
NR64939--MA0599.1.KLF5	chr8	56551322	56551331	+	0.000	0.000	Merged-chr8-56551229-111
NR8527--MA0742.1.Klf12	chr10	120112989	120113003	-	0.000	0.000	Merged-chr10-120112828-89
NR24822--MA0599.1.KLF5	chr15	100915110	100915119	+	0.000	0.000	Merged-chr15-100915024-15
NR34032--MA0741.1.KLF16	chr19	44314786	44314796	+	0.000	0.000	Merged-chr19-44314757-47
NR27532--MA0599.1.KLF5	chr17	6961316	6961325	-	0.000	0.000	Merged-chr17-6961334-74
NR40098--MA0599.1.KLF5	chr2	174598758	174598767	+	0.000	0.000	Merged-chr2-174598768-21
NR70343--MA0740.1.KLF14	chr9	99140328	99140341	+	0.000	0.000	Merged-chr9-99140215-90
NR70837--MA1107.1.KLF9	chr9	110449137	110449149	-	0.000	0.000	Merged-chr9-110449150-25
NR30044--MA1107.1.KLF9	chr17	74159692	74159704	+	0.000	0.000	Merged-chr17-74159677-34
NR55791--MA0740.1.KLF14	chr6	67535323	67535336	+	0.000	0.000	Merged-chr6-67535210-32
NR13459--MA1107.1.KLF9	chr12	8827542	8827554	-	0.000	0.000	Merged-chr12-8827572-4
NR42625--MA0741.1.KLF16	chr3	108795092	108795102	+	0.000	0.000	Merged-chr3-108795122-6
NR3237--MA0493.1.Klf1	chr1	155742408	155742418	-	0.000	0.000	Merged-chr1-155742292-41
NR49779--MA0742.1.Klf12	chr5	28329650	28329664	-	0.000	0.000	Merged-chr5-28329563-25
NR20373--MA0599.1.KLF5	chr14	55478859	55478868	+	0.000	0.000	Merged-chr14-55479045-71
NR29819--MA0741.1.KLF16	chr17	66235581	66235591	-	0.000	0.000	Merged-chr17-66235388-32
NR23083--MA0599.1.KLF5	chr15	59541153	59541162	+	0.000	0.000	Merged-chr15-59541132-33
NR50947--MA0741.1.KLF16	chr5	75143469	75143479	+	0.000	0.000	Merged-chr5-75143306-22
NR8942--MA0599.1.KLF5	chr10	127621020	127621029	-	0.000	0.000	Merged-chr10-127621046-1
NR3022--MA0493.1.Klf1	chr1	152090404	152090414	-	0.000	0.000	Merged-chr1-152090175-114
NR60034--MA0742.1.Klf12	chr7	34912357	34912371	+	0.000	0.000	Merged-chr7-34912506-54
NR55989--MA0493.1.Klf1	chr6	82740533	82740543	-	0.000	0.000	Merged-chr6-82740470-44
NR35382--MA0493.1.Klf1	chr2	26445361	26445371	+	0.000	0.000	Merged-chr2-26445495-99
NR30467--MA0741.1.KLF16	chr17	83918943	83918953	+	0.000	0.000	Merged-chr17-83918717-33
NR38092--MA0493.1.Klf1	chr2	124720282	124720292	+	0.000	0.000	Merged-chr2-124720175-70
NR36346--MA1107.1.KLF9	chr2	60693661	60693673	-	0.000	0.000	Merged-chr2-60693604-10
NR66207--MA0741.1.KLF16	chr8	95349080	95349090	-	0.000	0.000	Merged-chr8-95348986-27
NR68412--MA0599.1.KLF5	chr9	44135054	44135063	-	0.000	0.000	Merged-chr9-44135009-18
NR66577--MA0599.1.KLF5	chr8	108704606	108704615	-	0.000	0.000	Merged-chr8-108704409-59
NR45548--MA0742.1.Klf12	chr4	55532682	55532696	-	0.000	0.000	Merged-chr4-55532798-90
NR38974--MA0493.1.Klf1	chr2	152293829	152293839	-	0.000	0.000	Merged-chr2-152293907-74
NR35014--MA0039.3.KLF4	chr2	17862026	17862036	+	0.000	0.000	Merged-chr2-17861880-15
NR48902--MA0599.1.KLF5	chr4	152212665	152212674	-	0.000	0.000	Merged-chr4-152212643-15
NR23842--MA0741.1.KLF16	chr15	80930413	80930423	-	0.000	0.000	Merged-chr15-80930587-88
NR39938--MA1107.1.KLF9	chr2	172475215	172475227	-	0.000	0.000	Merged-chr2-172475146-10
NR68957--MA1107.1.KLF9	chr9	58271300	58271312	+	0.000	0.000	Merged-chr9-58271289-37
NR70842--MA0493.1.Klf1	chr9	110635498	110635508	-	0.000	0.000	Merged-chr9-110635479-22
NR72849--MA0741.1.KLF16	chrX	160994867	160994877	+	0.000	0.000	Merged-chrX-160994807-91
NR1088--MA1107.1.KLF9	chr1	69683244	69683256	-	0.000	0.000	Merged-chr1-69683222-14
NR23962--MA0657.1.KLF13	chr15	82987878	82987895	-	0.000	0.000	Merged-chr15-82987818-75
NR67633--MA0741.1.KLF16	chr8	128575094	128575104	-	0.000	0.000	Merged-chr8-128575049-9
NR72260--MA1107.1.KLF9	chrX	77511807	77511819	-	0.000	0.000	Merged-chrX-77511881-30
NR39194--MA0740.1.KLF14	chr2	158179181	158179194	-	0.000	0.000	Merged-chr2-158179183-18
NR59572--MA0742.1.Klf12	chr7	25816602	25816616	-	0.000	0.000	Merged-chr7-25816600-49
NR23731--MA1107.1.KLF9	chr15	79281612	79281624	+	0.000	0.000	Merged-chr15-79281486-15
NR14790--MA0741.1.KLF16	chr12	84222681	84222691	+	0.000	0.000	Merged-chr12-84222824-46
NR24391--MA1107.1.KLF9	chr15	93443919	93443931	+	0.000	0.000	Merged-chr15-93443797-12
NR49543--MA1107.1.KLF9	chr5	21054904	21054916	+	0.000	0.000	Merged-chr5-21054874-6
NR45268--MA0741.1.KLF16	chr4	45766162	45766172	-	0.000	0.000	Merged-chr4-45766216-17
NR39196--MA0599.1.KLF5	chr2	158179184	158179193	-	0.000	0.000	Merged-chr2-158179183-18
NR44783--MA1107.1.KLF9	chr4	32342554	32342566	+	0.000	0.000	Merged-chr4-32342446-3
NR16976--MA0599.1.KLF5	chr13	52929728	52929737	+	0.000	0.000	Merged-chr13-52929606-61
NR5677--MA0599.1.KLF5	chr10	39899031	39899040	-	0.000	0.000	Merged-chr10-39899143-58
NR35981--MA0741.1.KLF16	chr2	38643987	38643997	-	0.000	0.000	Merged-chr2-38643899-59
NR36208--MA0493.1.Klf1	chr2	53095206	53095216	+	0.000	0.000	Merged-chr2-53095400-57
NR8387--MA0599.1.KLF5	chr10	117731428	117731437	-	0.000	0.000	Merged-chr10-117731554-42
NR40751--MA0493.1.Klf1	chr3	34416473	34416483	-	0.000	0.000	Merged-chr3-34416550-2
NR27983--MA1107.1.KLF9	chr17	23592679	23592691	+	0.000	0.000	Merged-chr17-23592787-37
NR8104--MA0741.1.KLF16	chr10	108332650	108332660	+	0.000	0.000	Merged-chr10-108332543-119
NR43461--MA0493.1.Klf1	chr3	135307613	135307623	+	0.000	0.000	Merged-chr3-135307763-66
NR55308--MA1107.1.KLF9	chr6	49973781	49973793	-	0.000	0.000	Merged-chr6-49973713-27
NR33203--MA0599.1.KLF5	chr19	8252138	8252147	-	0.000	0.000	Merged-chr19-8252316-31
NR62222--MA0599.1.KLF5	chr7	115217071	115217080	-	0.000	0.000	Merged-chr7-115217038-43
NR28907--MA0039.3.KLF4	chr17	36023772	36023782	-	0.000	0.000	Merged-chr17-36023858-33
NR6059--MA0493.1.Klf1	chr10	58812542	58812552	-	0.000	0.000	Merged-chr10-58812517-33
NR43454--MA0742.1.Klf12	chr3	135307603	135307617	+	0.000	0.000	Merged-chr3-135307763-66
NR59015--MA0599.1.KLF5	chr7	16018624	16018633	-	0.000	0.000	Merged-chr7-16018621-23
NR55886--MA0493.1.Klf1	chr6	72439123	72439133	+	0.000	0.000	Merged-chr6-72438940-1
NR34141--MA0741.1.KLF16	chr19	46499997	46500007	+	0.000	0.000	Merged-chr19-46500051-50
NR39168--MA1107.1.KLF9	chr2	157119293	157119305	-	0.000	0.000	Merged-chr2-157119108-55
NR62228--MA0741.1.KLF16	chr7	115217064	115217074	-	0.000	0.000	Merged-chr7-115217038-43
NR760--MA1107.1.KLF9	chr1	52800553	52800565	+	0.000	0.000	Merged-chr1-52800518-18
NR33095--MA0493.1.Klf1	chr19	6140977	6140987	+	0.000	0.000	Merged-chr19-6141147-98
NR20127--MA0599.1.KLF5	chr14	47418257	47418266	+	0.000	0.000	Merged-chr14-47418232-53
NR28285--MA1107.1.KLF9	chr17	27909228	27909240	+	0.000	0.000	Merged-chr17-27909139-107
NR6440--MA0599.1.KLF5	chr10	68136635	68136644	+	0.000	0.000	Merged-chr10-68136775-17
NR42463--MA0741.1.KLF16	chr3	103927744	103927754	-	0.000	0.000	Merged-chr3-103927636-31
NR7374--MA0741.1.KLF16	chr10	83360082	83360092	+	0.000	0.000	Merged-chr10-83360220-61
NR48677--MA1107.1.KLF9	chr4	148160214	148160226	+	0.000	0.000	Merged-chr4-148160107-67
NR26248--MA0740.1.KLF14	chr16	50732810	50732823	+	0.000	0.000	Merged-chr16-50732607-74
NR55332--MA0741.1.KLF16	chr6	50452029	50452039	-	0.000	0.000	Merged-chr6-50452133-1
NR31810--MA1107.1.KLF9	chr18	62267376	62267388	-	0.000	0.000	Merged-chr18-62267467-16
NR41925--MA0039.3.KLF4	chr3	94786404	94786414	+	0.000	0.000	Merged-chr3-94786570-53
NR49889--MA0599.1.KLF5	chr5	32135687	32135696	+	0.000	0.000	Merged-chr5-32135698-103
NR41935--MA0493.1.Klf1	chr3	94786681	94786691	-	0.000	0.000	Merged-chr3-94786570-53
NR44805--MA0657.1.KLF13	chr4	32950898	32950915	+	0.000	0.000	Merged-chr4-32950743-79
NR29004--MA0493.1.Klf1	chr17	44105682	44105692	-	0.000	0.000	Merged-chr17-44105756-70
NR27311--MA0741.1.KLF16	chr16	97463000	97463010	+	0.000	0.000	Merged-chr16-97462987-69
NR60939--MA0657.1.KLF13	chr7	68298601	68298618	+	0.000	0.000	Merged-chr7-68298573-21
NR24379--MA0599.1.KLF5	chr15	93443908	93443917	+	0.000	0.000	Merged-chr15-93443797-12
NR33682--MA0599.1.KLF5	chr19	32595683	32595692	-	0.000	0.000	Merged-chr19-32595781-33
NR20098--MA0741.1.KLF16	chr14	46578489	46578499	-	0.000	0.000	Merged-chr14-46578431-37
NR58357--MA0740.1.KLF14	chr6	142345821	142345834	+	0.000	0.000	Merged-chr6-142345915-71
NR11177--MA0493.1.Klf1	chr11	77802566	77802576	+	0.000	0.000	Merged-chr11-77802709-45
NR45981--MA0493.1.Klf1	chr4	75267234	75267244	-	0.000	0.000	Merged-chr4-75267196-29
NR55572--MA1107.1.KLF9	chr6	54972570	54972582	-	0.000	0.000	Merged-chr6-54972728-67
NR12015--MA0740.1.KLF14	chr11	98477164	98477177	+	0.000	0.000	Merged-chr11-98477457-48
NR61103--MA0741.1.KLF16	chr7	79371569	79371579	+	0.000	0.000	Merged-chr7-79371678-26
NR38987--MA1107.1.KLF9	chr2	152344143	152344155	+	0.000	0.000	Merged-chr2-152344055-110
NR980--MA0493.1.Klf1	chr1	64121729	64121739	-	0.000	0.000	Merged-chr1-64121787-120
NR61769--MA0741.1.KLF16	chr7	101321065	101321075	-	0.000	0.000	Merged-chr7-101321217-65
NR5869--MA0493.1.Klf1	chr10	44444024	44444034	-	0.000	0.000	Merged-chr10-44443949-54
NR8324--MA0740.1.KLF14	chr10	117112698	117112711	-	0.000	0.000	Merged-chr10-117112735-27
NR38024--MA0741.1.KLF16	chr2	122234701	122234711	+	0.000	0.000	Merged-chr2-122234725-76
NR8569--MA0039.3.KLF4	chr10	121420264	121420274	+	0.000	0.000	Merged-chr10-121420246-43
NR59494--MA0599.1.KLF5	chr7	25219958	25219967	+	0.000	0.000	Merged-chr7-25219850-78
NR29806--MA0599.1.KLF5	chr17	66101710	66101719	+	0.000	0.000	Merged-chr17-66101673-100
NR51091--MA0742.1.Klf12	chr5	86065724	86065738	+	0.000	0.000	Merged-chr5-86065938-144
NR22727--MA0493.1.Klf1	chr15	38485868	38485878	+	0.000	0.000	Merged-chr15-38485710-24
NR6401--MA0657.1.KLF13	chr10	67698004	67698021	+	0.000	0.000	Merged-chr10-67697981-39
NR41257--MA0740.1.KLF14	chr3	65974869	65974882	-	0.000	0.000	Merged-chr3-65974924-71
NR6915--MA0740.1.KLF14	chr10	78465056	78465069	+	0.000	0.000	Merged-chr10-78465004-63
NR13268--MA0741.1.KLF16	chr11	120981076	120981086	+	0.000	0.000	Merged-chr11-120981125-9
NR62800--MA0741.1.KLF16	chr7	127244515	127244525	+	0.000	0.000	Merged-chr7-127244446-56
NR51666--MA0599.1.KLF5	chr5	103692342	103692351	-	0.000	0.000	Merged-chr5-103692321-99
NR1995--MA0742.1.Klf12	chr1	118398760	118398774	-	0.000	0.000	Merged-chr1-118398960-17
NR39721--MA0741.1.KLF16	chr2	168525574	168525584	+	0.000	0.000	Merged-chr2-168525389-54
NR67808--MA0741.1.KLF16	chr9	15709978	15709988	-	0.000	0.000	Merged-chr9-15709752-108
NR23612--MA0742.1.Klf12	chr15	77306643	77306657	+	0.000	0.000	Merged-chr15-77306793-46
NR27--MA1107.1.KLF9	chr1	6519516	6519528	+	0.000	0.000	Merged-chr1-6519375-11
NR51451--MA0599.1.KLF5	chr5	99252910	99252919	+	0.000	0.000	Merged-chr5-99252869-81
NR36364--MA1107.1.KLF9	chr2	60880815	60880827	+	0.000	0.000	Merged-chr2-60880763-2
NR37770--MA0741.1.KLF16	chr2	117120685	117120695	+	0.000	0.000	Merged-chr2-117120973-155
NR23983--MA0599.1.KLF5	chr15	83205237	83205246	-	0.000	0.000	Merged-chr15-83205313-23
NR2413--MA0740.1.KLF14	chr1	131096870	131096883	-	0.000	0.000	Merged-chr1-131097047-121
NR29514--MA0741.1.KLF16	chr17	56425180	56425190	-	0.000	0.000	Merged-chr17-56425045-2
NR59803--MA0599.1.KLF5	chr7	29155631	29155640	+	0.000	0.000	Merged-chr7-29155569-4
NR40425--MA0599.1.KLF5	chr3	14886502	14886511	+	0.000	0.000	Merged-chr3-14886723-76
NR22413--MA1107.1.KLF9	chr15	19456867	19456879	+	0.000	0.000	Merged-chr15-19456859-1
NR17851--MA0599.1.KLF5	chr13	89521653	89521662	+	0.000	0.000	Merged-chr13-89521757-30
NR40706--MA0741.1.KLF16	chr3	31145841	31145851	+	0.000	0.000	Merged-chr3-31145985-42
NR43474--MA1107.1.KLF9	chr3	135579477	135579489	-	0.000	0.000	Merged-chr3-135579457-44
NR48483--MA0741.1.KLF16	chr4	144996132	144996142	-	0.000	0.000	Merged-chr4-144996009-47
NR71824--MA1107.1.KLF9	chrX	20662882	20662894	-	0.000	0.000	Merged-chrX-20662999-43
NR61626--MA0741.1.KLF16	chr7	98309543	98309553	-	0.000	0.000	Merged-chr7-98309453-63
NR14107--MA0599.1.KLF5	chr12	52383127	52383136	-	0.000	0.000	Merged-chr12-52383146-23
NR23061--MA0741.1.KLF16	chr15	58595071	58595081	+	0.000	0.000	Merged-chr15-58595150-15
NR6057--MA0741.1.KLF16	chr10	58812523	58812533	-	0.000	0.000	Merged-chr10-58812517-33
NR46598--MA0741.1.KLF16	chr4	106787984	106787994	-	0.000	0.000	Merged-chr4-106787908-56
NR18223--MA0039.3.KLF4	chr13	99781070	99781080	+	0.000	0.000	Merged-chr13-99781144-21
NR20487--MA0742.1.Klf12	chr14	57525814	57525828	-	0.000	0.000	Merged-chr14-57525572-80
NR55899--MA1107.1.KLF9	chr6	72544687	72544699	-	0.000	0.000	Merged-chr6-72544649-82
NR35292--MA1107.1.KLF9	chr2	25228773	25228785	-	0.000	0.000	Merged-chr2-25228680-45
NR62066--MA0741.1.KLF16	chr7	110221650	110221660	-	0.000	0.000	Merged-chr7-110221778-96
NR66904--MA0599.1.KLF5	chr8	117282648	117282657	-	0.000	0.000	Merged-chr8-117282585-94
NR61119--MA0599.1.KLF5	chr7	79592334	79592343	+	0.000	0.000	Merged-chr7-79592418-20
NR28308--MA0740.1.KLF14	chr17	28224199	28224212	-	0.000	0.000	Merged-chr17-28224018-88
NR59587--MA0657.1.KLF13	chr7	27228545	27228562	-	0.000	0.000	Merged-chr7-27228644-59
NR9705--MA0741.1.KLF16	chr11	31169345	31169355	+	0.000	0.000	Merged-chr11-31169541-9
NR65172--MA0741.1.KLF16	chr8	68735175	68735185	-	0.000	0.000	Merged-chr8-68735158-122
NR29495--MA0741.1.KLF16	chr17	56289702	56289712	+	0.000	0.000	Merged-chr17-56289792-1
NR57755--MA0740.1.KLF14	chr6	129477061	129477074	+	0.000	0.000	Merged-chr6-129476936-30
NR50894--MA0741.1.KLF16	chr5	73490932	73490942	-	0.000	0.000	Merged-chr5-73491046-72
NR59318--MA0039.3.KLF4	chr7	19665135	19665145	+	0.000	0.000	Merged-chr7-19665223-91
NR13589--MA1107.1.KLF9	chr12	17511203	17511215	+	0.000	0.000	Merged-chr12-17511273-48
NR31386--MA0599.1.KLF5	chr18	39657008	39657017	-	0.000	0.000	Merged-chr18-39657147-8
NR40021--MA0741.1.KLF16	chr2	173444619	173444629	+	0.000	0.000	Merged-chr2-173444560-32
