#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed
NR1958--MA0511.2.RUNX2	chr12	16526374	16526382	+	0.000	0.000	Merged-chr12-16526382-42
NR5153--MA0002.2.RUNX1	chr2	3723975	3723985	+	0.000	0.000	Merged-chr2-3723872-33
NR1736--MA0684.1.RUNX3	chr11	83550393	83550402	+	0.000	0.000	Merged-chr11-83550444-44
NR53--MA0511.2.RUNX2	chr1	21333808	21333816	-	0.000	0.000	Merged-chr1-21333700-62
NR8801--MA0002.2.RUNX1	chr7	98090400	98090410	-	0.000	0.000	Merged-chr7-98090470-13
NR3539--MA0002.2.RUNX1	chr15	66785498	66785508	+	0.000	0.000	Merged-chr15-66785581-20
NR9658--MA0511.2.RUNX2	chr9	53787022	53787030	+	0.000	0.000	Merged-chr9-53786922-72
NR3125--MA0002.2.RUNX1	chr14	64734602	64734612	+	0.000	0.000	Merged-chr14-64734579-23
NR555--MA0002.2.RUNX1	chr1	152254104	152254114	-	0.000	0.000	Merged-chr1-152254014-57
NR826--MA0002.2.RUNX1	chr1	192062561	192062571	-	0.000	0.000	Merged-chr1-192062779-52
NR83--MA0684.1.RUNX3	chr1	36722613	36722622	+	0.000	0.000	Merged-chr1-36722737-4
NR240--MA0511.2.RUNX2	chr1	74249029	74249037	-	0.000	0.000	Merged-chr1-74249152-57
NR10051--MA0684.1.RUNX3	chr9	124425798	124425807	-	0.000	0.000	Merged-chr9-124425759-16
NR2622--MA0511.2.RUNX2	chr13	55418166	55418174	-	0.000	0.000	Merged-chr13-55418309-36
NR7071--MA0684.1.RUNX3	chr4	134853870	134853879	+	0.000	0.000	Merged-chr4-134853664-104
NR4203--MA0002.2.RUNX1	chr17	27997540	27997550	-	0.000	0.000	Merged-chr17-27997387-33
NR270--MA0684.1.RUNX3	chr1	80637504	80637513	-	0.000	0.000	Merged-chr1-80637446-57
NR664--MA0002.2.RUNX1	chr1	165722680	165722690	-	0.000	0.000	Merged-chr1-165722797-48
NR10031--MA0002.2.RUNX1	chr9	122233120	122233130	+	0.000	0.000	Merged-chr9-122233247-97
NR4660--MA0002.2.RUNX1	chr18	53176420	53176430	-	0.000	0.000	Merged-chr18-53176658-113
NR620--MA0511.2.RUNX2	chr1	162186973	162186981	+	0.000	0.000	Merged-chr1-162187046-32
NR4455--MA0002.2.RUNX1	chr17	84226582	84226592	+	0.000	0.000	Merged-chr17-84226544-42
NR9939--MA0002.2.RUNX1	chr9	110946916	110946926	+	0.000	0.000	Merged-chr9-110946775-46
NR8913--MA0511.2.RUNX2	chr7	117394184	117394192	+	0.000	0.000	Merged-chr7-117394201-50
NR4--MA0002.2.RUNX1	chr1	6467286	6467296	+	0.000	0.000	Merged-chr1-6467226-38
NR9082--MA0511.2.RUNX2	chr7	142393441	142393449	-	0.000	0.000	Merged-chr7-142393362-24
NR5166--MA0002.2.RUNX1	chr2	6672517	6672527	-	0.000	0.000	Merged-chr2-6672501-29
NR9419--MA0511.2.RUNX2	chr8	117772809	117772817	+	0.000	0.000	Merged-chr8-117772652-68
NR8272--MA0002.2.RUNX1	chr6	120466809	120466819	+	0.000	0.000	Merged-chr6-120466879-54
NR4312--MA0002.2.RUNX1	chr17	50416226	50416236	-	0.000	0.000	Merged-chr17-50416293-2
NR10034--MA0511.2.RUNX2	chr9	123519405	123519413	+	0.000	0.000	Merged-chr9-123519487-45
NR4934--MA0511.2.RUNX2	chr19	14620506	14620514	-	0.000	0.000	Merged-chr19-14620634-30
NR6992--MA0684.1.RUNX3	chr4	121041163	121041172	+	0.000	0.000	Merged-chr4-121041130-36
NR3138--MA0002.2.RUNX1	chr14	68035462	68035472	-	0.000	0.000	Merged-chr14-68035283-72
NR9240--MA0684.1.RUNX3	chr8	57638074	57638083	-	0.000	0.000	Merged-chr8-57637972-56
NR5231--MA0511.2.RUNX2	chr2	22805731	22805739	-	0.000	0.000	Merged-chr2-22805681-51
NR4693--MA0684.1.RUNX3	chr18	56718579	56718588	-	0.000	0.000	Merged-chr18-56718597-44
NR110--MA0511.2.RUNX2	chr1	40465641	40465649	-	0.000	0.000	Merged-chr1-40465740-44
NR9429--MA0002.2.RUNX1	chr8	119914361	119914371	+	0.000	0.000	Merged-chr8-119914410-20
NR1937--MA0511.2.RUNX2	chr12	8208227	8208235	-	0.000	0.000	Merged-chr12-8208226-52
NR9985--MA0511.2.RUNX2	chr9	116190063	116190071	+	0.000	0.000	Merged-chr9-116190040-14
NR9492--MA0684.1.RUNX3	chr8	126832837	126832846	+	0.000	0.000	Merged-chr8-126833007-101
NR7878--MA0684.1.RUNX3	chr6	22339882	22339891	+	0.000	0.000	Merged-chr6-22340067-27
NR9015--MA0002.2.RUNX1	chr7	132749006	132749016	-	0.000	0.000	Merged-chr7-132748920-16
NR7335--MA0002.2.RUNX1	chr5	36574382	36574392	-	0.000	0.000	Merged-chr5-36574492-52
NR4325--MA0002.2.RUNX1	chr17	52125413	52125423	+	0.000	0.000	Merged-chr17-52125389-32
NR3504--MA0684.1.RUNX3	chr15	53235522	53235531	+	0.000	0.000	Merged-chr15-53235617-41
NR3085--MA0002.2.RUNX1	chr14	55392566	55392576	+	0.000	0.000	Merged-chr14-55392653-26
NR786--MA0002.2.RUNX1	chr1	187228926	187228936	+	0.000	0.000	Merged-chr1-187228770-56
NR7067--MA0511.2.RUNX2	chr4	134787146	134787154	-	0.000	0.000	Merged-chr4-134787167-34
NR5658--MA0511.2.RUNX2	chr2	132643379	132643387	-	0.000	0.000	Merged-chr2-132643452-47
NR10219--MA0002.2.RUNX1	chrX	140505939	140505949	-	0.000	0.000	Merged-chrX-140506133-71
NR7116--MA0684.1.RUNX3	chr4	143143849	143143858	+	0.000	0.000	Merged-chr4-143143811-50
NR1427--MA0511.2.RUNX2	chr10	122652216	122652224	+	0.000	0.000	Merged-chr10-122652152-42
NR9524--MA0684.1.RUNX3	chr9	8017382	8017391	+	0.000	0.000	Merged-chr9-8017480-33
NR6985--MA0002.2.RUNX1	chr4	119897308	119897318	+	0.000	0.000	Merged-chr4-119897419-50
NR2902--MA0684.1.RUNX3	chr13	113870522	113870531	-	0.000	0.000	Merged-chr13-113870669-48
NR10205--MA0684.1.RUNX3	chrX	113868016	113868025	+	0.000	0.000	Merged-chrX-113868253-73
NR6842--MA0002.2.RUNX1	chr4	88115655	88115665	+	0.000	0.000	Merged-chr4-88115597-29
NR10057--MA0002.2.RUNX1	chrX	7618418	7618428	-	0.000	0.000	Merged-chrX-7618327-48
NR1900--MA0002.2.RUNX1	chr11	119166169	119166179	+	0.000	0.000	Merged-chr11-119166198-51
NR6908--MA0002.2.RUNX1	chr4	102629841	102629851	+	0.000	0.000	Merged-chr4-102629885-23
NR5545--MA0684.1.RUNX3	chr2	103659786	103659795	-	0.000	0.000	Merged-chr2-103659777-12
NR1807--MA0511.2.RUNX2	chr11	104582882	104582890	-	0.000	0.000	Merged-chr11-104582835-39
NR8651--MA0684.1.RUNX3	chr7	58485603	58485612	+	0.000	0.000	Merged-chr7-58485685-22
NR900--MA0684.1.RUNX3	chr10	12985158	12985167	-	0.000	0.000	Merged-chr10-12985296-24
NR153--MA0684.1.RUNX3	chr1	53784797	53784806	+	0.000	0.000	Merged-chr1-53784836-115
NR752--MA0002.2.RUNX1	chr1	181866671	181866681	+	0.000	0.000	Merged-chr1-181866572-42
NR8774--MA0002.2.RUNX1	chr7	89308432	89308442	-	0.000	0.000	Merged-chr7-89308449-38
NR8730--MA0511.2.RUNX2	chr7	80209934	80209942	-	0.000	0.000	Merged-chr7-80209951-53
NR2806--MA0684.1.RUNX3	chr13	98803941	98803950	+	0.000	0.000	Merged-chr13-98803850-12
NR2863--MA0002.2.RUNX1	chr13	108303436	108303446	+	0.000	0.000	Merged-chr13-108303499-73
NR7285--MA0511.2.RUNX2	chr5	23637511	23637519	+	0.000	0.000	Merged-chr5-23637519-38
NR5383--MA0684.1.RUNX3	chr2	61514184	61514193	-	0.000	0.000	Merged-chr2-61514287-58
NR4480--MA0511.2.RUNX2	chr17	86880725	86880733	+	0.000	0.000	Merged-chr17-86880662-37
NR533--MA0684.1.RUNX3	chr1	144355777	144355786	-	0.000	0.000	Merged-chr1-144355940-45
NR1152--MA0684.1.RUNX3	chr10	75429655	75429664	+	0.000	0.000	Merged-chr10-75429705-8
NR1990--MA0002.2.RUNX1	chr12	25240277	25240287	-	0.000	0.000	Merged-chr12-25240283-42
NR6603--MA0002.2.RUNX1	chr4	3648960	3648970	-	0.000	0.000	Merged-chr4-3649100-36
NR7857--MA0684.1.RUNX3	chr6	15728978	15728987	-	0.000	0.000	Merged-chr6-15729145-52
NR9345--MA0511.2.RUNX2	chr8	94413640	94413648	-	0.000	0.000	Merged-chr8-94413719-53
NR308--MA0002.2.RUNX1	chr1	87866839	87866849	-	0.000	0.000	Merged-chr1-87866806-30
NR7172--MA0684.1.RUNX3	chr4	149856498	149856507	-	0.000	0.000	Merged-chr4-149856656-49
NR2353--MA0002.2.RUNX1	chr12	114937092	114937102	+	0.000	0.000	Merged-chr12-114937149-39
NR5015--MA0002.2.RUNX1	chr19	36083077	36083087	+	0.000	0.000	Merged-chr19-36083098-3
NR7317--MA0511.2.RUNX2	chr5	32104328	32104336	+	0.000	0.000	Merged-chr5-32104376-51
NR6170--MA0002.2.RUNX1	chr3	89871036	89871046	+	0.000	0.000	Merged-chr3-89871193-44
NR1179--MA0002.2.RUNX1	chr10	80271338	80271348	+	0.000	0.000	Merged-chr10-80271512-28
NR9769--MA0002.2.RUNX1	chr9	80082398	80082408	-	0.000	0.000	Merged-chr9-80082362-35
NR2876--MA0002.2.RUNX1	chr13	109845030	109845040	+	0.000	0.000	Merged-chr13-109845162-65
NR5267--MA0002.2.RUNX1	chr2	30257926	30257936	+	0.000	0.000	Merged-chr2-30257905-18
NR351--MA0002.2.RUNX1	chr1	95674257	95674267	+	0.000	0.000	Merged-chr1-95674241-20
NR5396--MA0684.1.RUNX3	chr2	65133924	65133933	+	0.000	0.000	Merged-chr2-65133825-19
NR2733--MA0002.2.RUNX1	chr13	85430186	85430196	-	0.000	0.000	Merged-chr13-85430211-51
NR751--MA0684.1.RUNX3	chr1	181860900	181860909	-	0.000	0.000	Merged-chr1-181860828-54
NR9977--MA0511.2.RUNX2	chr9	115611929	115611937	-	0.000	0.000	Merged-chr9-115612034-68
NR8230--MA0002.2.RUNX1	chr6	114680768	114680778	+	0.000	0.000	Merged-chr6-114680975-48
NR7155--MA0511.2.RUNX2	chr4	148070074	148070082	+	0.000	0.000	Merged-chr4-148069999-26
NR1288--MA0002.2.RUNX1	chr10	96015686	96015696	+	0.000	0.000	Merged-chr10-96015913-48
NR2862--MA0684.1.RUNX3	chr13	108303364	108303373	-	0.000	0.000	Merged-chr13-108303499-73
NR4394--MA0002.2.RUNX1	chr17	71561633	71561643	+	0.000	0.000	Merged-chr17-71561740-8
NR1244--MA0511.2.RUNX2	chr10	91076924	91076932	+	0.000	0.000	Merged-chr10-91076951-31
NR2985--MA0002.2.RUNX1	chr14	20885307	20885317	+	0.000	0.000	Merged-chr14-20885499-75
NR9--MA0002.2.RUNX1	chr1	7147198	7147208	-	0.000	0.000	Merged-chr1-7147128-26
NR7012--MA0511.2.RUNX2	chr4	124851475	124851483	-	0.000	0.000	Merged-chr4-124851331-5
NR7678--MA0511.2.RUNX2	chr5	121564597	121564605	-	0.000	0.000	Merged-chr5-121564703-31
NR3176--MA0511.2.RUNX2	chr14	75069000	75069008	-	0.000	0.000	Merged-chr14-75068888-3
NR3718--MA0511.2.RUNX2	chr15	100905321	100905329	-	0.000	0.000	Merged-chr15-100905419-58
NR10244--MA0511.2.RUNX2	chrX	163908938	163908946	-	0.000	0.000	Merged-chrX-163909067-73
NR4317--MA0002.2.RUNX1	chr17	51396117	51396127	+	0.000	0.000	Merged-chr17-51396225-19
NR8610--MA0002.2.RUNX1	chr7	46059140	46059150	+	0.000	0.000	Merged-chr7-46059080-51
NR10145--MA0002.2.RUNX1	chrX	74023709	74023719	-	0.000	0.000	Merged-chrX-74023743-74
NR6040--MA0002.2.RUNX1	chr3	59101875	59101885	+	0.000	0.000	Merged-chr3-59101725-81
NR6977--MA0002.2.RUNX1	chr4	118331945	118331955	+	0.000	0.000	Merged-chr4-118331878-7
NR2623--MA0684.1.RUNX3	chr13	55418165	55418174	-	0.000	0.000	Merged-chr13-55418309-36
NR4902--MA0002.2.RUNX1	chr19	5568130	5568140	+	0.000	0.000	Merged-chr19-5567991-110
NR221--MA0002.2.RUNX1	chr1	69548573	69548583	-	0.000	0.000	Merged-chr1-69548718-45
NR887--MA0002.2.RUNX1	chr10	10307520	10307530	+	0.000	0.000	Merged-chr10-10307543-35
NR9768--MA0684.1.RUNX3	chr9	80070225	80070234	-	0.000	0.000	Merged-chr9-80070269-16
NR4949--MA0002.2.RUNX1	chr19	18603144	18603154	+	0.000	0.000	Merged-chr19-18603214-44
NR2332--MA0002.2.RUNX1	chr12	112861005	112861015	-	0.000	0.000	Merged-chr12-112860925-89
NR2603--MA0002.2.RUNX1	chr13	52600416	52600426	+	0.000	0.000	Merged-chr13-52600425-17
NR3586--MA0684.1.RUNX3	chr15	78614724	78614733	-	0.000	0.000	Merged-chr15-78614745-50
NR621--MA0684.1.RUNX3	chr1	162186973	162186982	+	0.000	0.000	Merged-chr1-162187046-32
NR8100--MA0002.2.RUNX1	chr6	88939627	88939637	+	0.000	0.000	Merged-chr6-88939617-36
NR3109--MA0002.2.RUNX1	chr14	61998437	61998447	-	0.000	0.000	Merged-chr14-61998334-34
NR8722--MA0511.2.RUNX2	chr7	75796666	75796674	+	0.000	0.000	Merged-chr7-75796614-49
NR873--MA0684.1.RUNX3	chr10	8197818	8197827	-	0.000	0.000	Merged-chr10-8197795-23
NR10035--MA0684.1.RUNX3	chr9	123519405	123519414	+	0.000	0.000	Merged-chr9-123519487-45
NR1558--MA0684.1.RUNX3	chr11	30182878	30182887	-	0.000	0.000	Merged-chr11-30182963-54
NR4393--MA0684.1.RUNX3	chr17	71485862	71485871	-	0.000	0.000	Merged-chr17-71486096-96
NR5375--MA0684.1.RUNX3	chr2	60774692	60774701	+	0.000	0.000	Merged-chr2-60774747-55
NR7178--MA0002.2.RUNX1	chr4	150915454	150915464	+	0.000	0.000	Merged-chr4-150915440-35
NR10095--MA0511.2.RUNX2	chrX	48429665	48429673	-	0.000	0.000	Merged-chrX-48429732-34
NR4915--MA0002.2.RUNX1	chr19	10198988	10198998	+	0.000	0.000	Merged-chr19-10198987-5
NR6675--MA0511.2.RUNX2	chr4	33110238	33110246	+	0.000	0.000	Merged-chr4-33110299-20
NR2488--MA0002.2.RUNX1	chr13	24604819	24604829	+	0.000	0.000	Merged-chr13-24604920-47
NR111--MA0684.1.RUNX3	chr1	40465640	40465649	-	0.000	0.000	Merged-chr1-40465740-44
NR3618--MA0684.1.RUNX3	chr15	85328195	85328204	-	0.000	0.000	Merged-chr15-85328019-32
NR6453--MA0684.1.RUNX3	chr3	142281311	142281320	+	0.000	0.000	Merged-chr3-142281213-32
NR9509--MA0002.2.RUNX1	chr8	128709480	128709490	+	0.000	0.000	Merged-chr8-128709398-34
NR757--MA0002.2.RUNX1	chr1	182504345	182504355	+	0.000	0.000	Merged-chr1-182504417-24
NR6162--MA0002.2.RUNX1	chr3	88835122	88835132	+	0.000	0.000	Merged-chr3-88835267-46
NR2950--MA0684.1.RUNX3	chr14	8346999	8347008	+	0.000	0.000	Merged-chr14-8346820-31
NR5629--MA0511.2.RUNX2	chr2	128318463	128318471	+	0.000	0.000	Merged-chr2-128318457-15
NR4277--MA0002.2.RUNX1	chr17	45489015	45489025	-	0.000	0.000	Merged-chr17-45488824-86
NR2868--MA0002.2.RUNX1	chr13	108860299	108860309	+	0.000	0.000	Merged-chr13-108860435-34
NR10048--MA0684.1.RUNX3	chr9	124100467	124100476	+	0.000	0.000	Merged-chr9-124100646-41
NR8365--MA0002.2.RUNX1	chr6	130031808	130031818	-	0.000	0.000	Merged-chr6-130031811-45
NR1028--MA0002.2.RUNX1	chr10	44821756	44821766	+	0.000	0.000	Merged-chr10-44821803-43
NR9076--MA0002.2.RUNX1	chr7	141637688	141637698	+	0.000	0.000	Merged-chr7-141637525-19
NR8321--MA0511.2.RUNX2	chr6	126811747	126811755	-	0.000	0.000	Merged-chr6-126811749-38
NR2454--MA0002.2.RUNX1	chr13	13520557	13520567	-	0.000	0.000	Merged-chr13-13520497-22
NR5831--MA0002.2.RUNX1	chr2	167657066	167657076	+	0.000	0.000	Merged-chr2-167656925-59
NR8222--MA0002.2.RUNX1	chr6	113696958	113696968	-	0.000	0.000	Merged-chr6-113697016-110
NR8573--MA0511.2.RUNX2	chr7	31161059	31161067	-	0.000	0.000	Merged-chr7-31161172-57
NR1236--MA0511.2.RUNX2	chr10	89415728	89415736	+	0.000	0.000	Merged-chr10-89415714-14
NR1507--MA0511.2.RUNX2	chr11	11657343	11657351	+	0.000	0.000	Merged-chr11-11657249-55
NR2106--MA0002.2.RUNX1	chr12	73604919	73604929	-	0.000	0.000	Merged-chr12-73604732-122
NR9062--MA0684.1.RUNX3	chr7	140947307	140947316	-	0.000	0.000	Merged-chr7-140947277-49
NR4991--MA0684.1.RUNX3	chr19	32266644	32266653	+	0.000	0.000	Merged-chr19-32266743-101
NR5053--MA0511.2.RUNX2	chr19	43689772	43689780	-	0.000	0.000	Merged-chr19-43689682-56
NR6794--MA0002.2.RUNX1	chr4	62786794	62786804	+	0.000	0.000	Merged-chr4-62786847-18
NR6589--MA0002.2.RUNX1	chr3	157803536	157803546	+	0.000	0.000	Merged-chr3-157803404-34
NR7177--MA0684.1.RUNX3	chr4	150808644	150808653	-	0.000	0.000	Merged-chr4-150808794-106
NR8430--MA0511.2.RUNX2	chr6	140508637	140508645	-	0.000	0.000	Merged-chr6-140508405-40
NR2292--MA0002.2.RUNX1	chr12	106008773	106008783	+	0.000	0.000	Merged-chr12-106008779-30
NR8331--MA0002.2.RUNX1	chr6	127617437	127617447	-	0.000	0.000	Merged-chr6-127617353-34
NR6323--MA0684.1.RUNX3	chr3	116465929	116465938	-	0.000	0.000	Merged-chr3-116465927-56
NR660--MA0511.2.RUNX2	chr1	165603453	165603461	+	0.000	0.000	Merged-chr1-165603509-17
NR6131--MA0511.2.RUNX2	chr3	84679038	84679046	+	0.000	0.000	Merged-chr3-84679070-45
NR8731--MA0684.1.RUNX3	chr7	80209933	80209942	-	0.000	0.000	Merged-chr7-80209951-53
NR1690--MA0002.2.RUNX1	chr11	75269497	75269507	-	0.000	0.000	Merged-chr11-75269578-15
NR8810--MA0511.2.RUNX2	chr7	99429115	99429123	-	0.000	0.000	Merged-chr7-99429027-29
NR8983--MA0684.1.RUNX3	chr7	128158909	128158918	-	0.000	0.000	Merged-chr7-128158931-27
NR213--MA0002.2.RUNX1	chr1	66896355	66896365	+	0.000	0.000	Merged-chr1-66896467-67
NR9489--MA0684.1.RUNX3	chr8	126584481	126584490	-	0.000	0.000	Merged-chr8-126584527-70
NR3134--MA0511.2.RUNX2	chr14	67911799	67911807	+	0.000	0.000	Merged-chr14-67911920-26
NR6684--MA0684.1.RUNX3	chr4	34778239	34778248	+	0.000	0.000	Merged-chr4-34778308-51
NR8487--MA0002.2.RUNX1	chr6	146221588	146221598	-	0.000	0.000	Merged-chr6-146221533-3
NR7017--MA0511.2.RUNX2	chr4	126677526	126677534	+	0.000	0.000	Merged-chr4-126677717-65
NR9075--MA0684.1.RUNX3	chr7	141637455	141637464	-	0.000	0.000	Merged-chr7-141637525-19
NR3386--MA0511.2.RUNX2	chr15	27579083	27579091	-	0.000	0.000	Merged-chr15-27579137-17
NR2847--MA0002.2.RUNX1	chr13	104139800	104139810	-	0.000	0.000	Merged-chr13-104139835-43
NR8221--MA0684.1.RUNX3	chr6	113681491	113681500	-	0.000	0.000	Merged-chr6-113681431-40
NR4590--MA0684.1.RUNX3	chr18	32352880	32352889	-	0.000	0.000	Merged-chr18-32352849-42
NR6393--MA0002.2.RUNX1	chr3	132575129	132575139	+	0.000	0.000	Merged-chr3-132575270-5
NR6459--MA0002.2.RUNX1	chr3	142437065	142437075	-	0.000	0.000	Merged-chr3-142437047-18
NR9770--MA0002.2.RUNX1	chr9	80266694	80266704	+	0.000	0.000	Merged-chr9-80266579-55
NR10040--MA0511.2.RUNX2	chr9	123938145	123938153	-	0.000	0.000	Merged-chr9-123938225-36
NR7318--MA0684.1.RUNX3	chr5	32104328	32104337	+	0.000	0.000	Merged-chr5-32104376-51
NR3309--MA0511.2.RUNX2	chr14	118929931	118929939	+	0.000	0.000	Merged-chr14-118930023-62
NR739--MA0511.2.RUNX2	chr1	180432050	180432058	-	0.000	0.000	Merged-chr1-180432015-44
NR180--MA0684.1.RUNX3	chr1	60777110	60777119	-	0.000	0.000	Merged-chr1-60777260-88
NR4735--MA0511.2.RUNX2	chr18	65691625	65691633	+	0.000	0.000	Merged-chr18-65691617-34
NR8596--MA0002.2.RUNX1	chr7	43452734	43452744	+	0.000	0.000	Merged-chr7-43452813-24
NR4094--MA0002.2.RUNX1	chr16	97326252	97326262	-	0.000	0.000	Merged-chr16-97326270-33
NR4636--MA0002.2.RUNX1	chr18	39719302	39719312	+	0.000	0.000	Merged-chr18-39719209-45
NR8453--MA0002.2.RUNX1	chr6	144670500	144670510	-	0.000	0.000	Merged-chr6-144670724-72
NR6297--MA0002.2.RUNX1	chr3	109133229	109133239	-	0.000	0.000	Merged-chr3-109133281-24
NR1831--MA0002.2.RUNX1	chr11	108036817	108036827	-	0.000	0.000	Merged-chr11-108036756-13
NR4222--MA0002.2.RUNX1	chr17	29769242	29769252	+	0.000	0.000	Merged-chr17-29769470-62
NR6253--MA0511.2.RUNX2	chr3	104466688	104466696	-	0.000	0.000	Merged-chr3-104466607-13
NR8919--MA0684.1.RUNX3	chr7	117433803	117433812	+	0.000	0.000	Merged-chr7-117433722-72
NR8310--MA0002.2.RUNX1	chr6	125071542	125071552	+	0.000	0.000	Merged-chr6-125071459-61
NR6154--MA0002.2.RUNX1	chr3	88452427	88452437	-	0.000	0.000	Merged-chr3-88452451-33
NR2589--MA0002.2.RUNX1	chr13	49381348	49381358	+	0.000	0.000	Merged-chr13-49381430-36
NR8562--MA0002.2.RUNX1	chr7	27541512	27541522	+	0.000	0.000	Merged-chr7-27541584-49
NR8357--MA0002.2.RUNX1	chr6	129747457	129747467	-	0.000	0.000	Merged-chr6-129747542-62
NR1940--MA0002.2.RUNX1	chr12	8306744	8306754	-	0.000	0.000	Merged-chr12-8306600-1
NR7265--MA0684.1.RUNX3	chr5	20942629	20942638	-	0.000	0.000	Merged-chr5-20942646-25
NR686--MA0511.2.RUNX2	chr1	171849772	171849780	-	0.000	0.000	Merged-chr1-171849632-17
NR2380--MA0002.2.RUNX1	chr12	115861846	115861856	+	0.000	0.000	Merged-chr12-115861982-39
NR3034--MA0684.1.RUNX3	chr14	36316927	36316936	+	0.000	0.000	Merged-chr14-36316941-55
NR4953--MA0511.2.RUNX2	chr19	20390561	20390569	-	0.000	0.000	Merged-chr19-20390603-26
NR116--MA0684.1.RUNX3	chr1	40475898	40475907	-	0.000	0.000	Merged-chr1-40475905-49
NR173--MA0002.2.RUNX1	chr1	58739668	58739678	+	0.000	0.000	Merged-chr1-58739567-20
NR2826--MA0002.2.RUNX1	chr13	101540650	101540660	-	0.000	0.000	Merged-chr13-101540748-63
NR2240--MA0511.2.RUNX2	chr12	98453479	98453487	+	0.000	0.000	Merged-chr12-98453618-41
NR1258--MA0684.1.RUNX3	chr10	93171415	93171424	+	0.000	0.000	Merged-chr10-93171456-51
NR8989--MA0002.2.RUNX1	chr7	128181966	128181976	-	0.000	0.000	Merged-chr7-128181851-12
NR9577--MA0684.1.RUNX3	chr9	32815671	32815680	-	0.000	0.000	Merged-chr9-32815663-32
NR923--MA0511.2.RUNX2	chr10	19578182	19578190	+	0.000	0.000	Merged-chr10-19578163-111
NR8723--MA0684.1.RUNX3	chr7	75796666	75796675	+	0.000	0.000	Merged-chr7-75796614-49
NR3904--MA0002.2.RUNX1	chr16	49818780	49818790	-	0.000	0.000	Merged-chr16-49818889-55
NR1589--MA0511.2.RUNX2	chr11	46380384	46380392	+	0.000	0.000	Merged-chr11-46380322-60
NR7086--MA0511.2.RUNX2	chr4	137854093	137854101	+	0.000	0.000	Merged-chr4-137854061-36
NR10115--MA0684.1.RUNX3	chrX	52760335	52760344	+	0.000	0.000	Merged-chrX-52760494-47
NR1810--MA0002.2.RUNX1	chr11	104582887	104582897	+	0.000	0.000	Merged-chr11-104582835-39
NR556--MA0511.2.RUNX2	chr1	152369329	152369337	+	0.000	0.000	Merged-chr1-152369531-31
NR6799--MA0002.2.RUNX1	chr4	63401123	63401133	+	0.000	0.000	Merged-chr4-63401068-56
NR6404--MA0002.2.RUNX1	chr3	133506492	133506502	-	0.000	0.000	Merged-chr3-133506515-24
NR8270--MA0002.2.RUNX1	chr6	120251272	120251282	-	0.000	0.000	Merged-chr6-120251204-14
NR10224--MA0684.1.RUNX3	chrX	142792338	142792347	-	0.000	0.000	Merged-chrX-142792362-24
NR8336--MA0002.2.RUNX1	chr6	128796540	128796550	+	0.000	0.000	Merged-chr6-128796510-47
NR4976--MA0002.2.RUNX1	chr19	26646348	26646358	+	0.000	0.000	Merged-chr19-26646309-47
NR4390--MA0511.2.RUNX2	chr17	71216503	71216511	-	0.000	0.000	Merged-chr17-71216494-9
NR172--MA0684.1.RUNX3	chr1	58301377	58301386	+	0.000	0.000	Merged-chr1-58301246-36
NR2554--MA0684.1.RUNX3	chr13	38503624	38503633	+	0.000	0.000	Merged-chr13-38503650-43
NR4628--MA0002.2.RUNX1	chr18	39282250	39282260	-	0.000	0.000	Merged-chr18-39282313-47
NR8174--MA0002.2.RUNX1	chr6	99910122	99910132	-	0.000	0.000	Merged-chr6-99910177-32
NR2140--MA0684.1.RUNX3	chr12	81933737	81933746	-	0.000	0.000	Merged-chr12-81933629-26
NR1823--MA0002.2.RUNX1	chr11	106961728	106961738	-	0.000	0.000	Merged-chr11-106961822-47
NR774--MA0511.2.RUNX2	chr1	184576648	184576656	+	0.000	0.000	Merged-chr1-184576440-44
NR2263--MA0002.2.RUNX1	chr12	100508856	100508866	-	0.000	0.000	Merged-chr12-100508863-24
NR3960--MA0002.2.RUNX1	chr16	64758703	64758713	+	0.000	0.000	Merged-chr16-64758494-145
NR8697--MA0002.2.RUNX1	chr7	72344531	72344541	+	0.000	0.000	Merged-chr7-72344400-34
NR199--MA0002.2.RUNX1	chr1	64508664	64508674	-	0.000	0.000	Merged-chr1-64508658-48
NR6689--MA0684.1.RUNX3	chr4	34881101	34881110	+	0.000	0.000	Merged-chr4-34881201-30
NR5276--MA0511.2.RUNX2	chr2	30897091	30897099	+	0.000	0.000	Merged-chr2-30897276-26
NR9093--MA0511.2.RUNX2	chr7	143644145	143644153	+	0.000	0.000	Merged-chr7-143644190-29
NR5892--MA0002.2.RUNX1	chr3	5860542	5860552	-	0.000	0.000	Merged-chr3-5860580-55
NR8825--MA0002.2.RUNX1	chr7	101634724	101634734	+	0.000	0.000	Merged-chr7-101634721-37
NR10089--MA0002.2.RUNX1	chrX	38456179	38456189	+	0.000	0.000	Merged-chrX-38456262-56
NR1661--MA0002.2.RUNX1	chr11	68442540	68442550	+	0.000	0.000	Merged-chr11-68442579-25
