#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR122--MA0501.1.MAF::NFE2	chr1	40315683	40315697	-	0.000	0.000	Merged-chr1-40315664-11
NR8713--MA0089.1.MAFG::NFE2L1	chr4	144906880	144906885	-	0.000	0.000	Merged-chr4-144906777-28
NR2521--MA0117.2.Mafb	chr12	16474684	16474695	+	0.000	0.000	Merged-chr12-16474710-17
NR11579--MA0501.1.MAF::NFE2	chr8	115771214	115771228	-	0.000	0.000	Merged-chr8-115771261-45
NR5812--MA0089.1.MAFG::NFE2L1	chr18	69644805	69644810	-	0.000	0.000	Merged-chr18-69644802-19
NR2613--MA0496.2.MAFK	chr12	40244075	40244093	+	0.000	0.000	Merged-chr12-40244001-31
NR7866--MA0495.2.MAFF	chr3	123192153	123192173	+	0.000	0.000	Merged-chr3-123192207-28
NR4941--MA0495.2.MAFF	chr16	89974505	89974525	-	0.000	0.000	Merged-chr16-89974505-28
NR10455--MA0495.2.MAFF	chr7	16343735	16343755	+	0.000	0.000	Merged-chr7-16343810-22
NR5003--MA0117.2.Mafb	chr16	95152145	95152156	-	0.000	0.000	Merged-chr16-95151987-32
NR11386--MA0089.1.MAFG::NFE2L1	chr8	76902051	76902056	-	0.000	0.000	Merged-chr8-76902143-41
NR3188--MA0089.1.MAFG::NFE2L1	chr13	42114012	42114017	-	0.000	0.000	Merged-chr13-42113906-29
NR2551--MA0495.2.MAFF	chr12	25851735	25851755	+	0.000	0.000	Merged-chr12-25851772-17
NR3940--MA0089.1.MAFG::NFE2L1	chr14	74918882	74918887	-	0.000	0.000	Merged-chr14-74918775-39
NR11573--MA0591.1.Bach1::Mafk	chr8	115227107	115227121	+	0.000	0.000	Merged-chr8-115227272-68
NR213--MA0117.2.Mafb	chr1	60990266	60990277	+	0.000	0.000	Merged-chr1-60990456-63
NR9961--MA0501.1.MAF::NFE2	chr6	100601867	100601881	+	0.000	0.000	Merged-chr6-100601796-17
